Circuit Name,De-Energization Date and Time (PDT),Restoration Date and Time (PDT),Counties,HFTD Tier(s),Total Customers,Residential Customers,Commercial / Industrial Customers,Medical Baseline Customers,Other Customers
AUBERRY 1101*,1/19/2021 01:06,1/20/2021 12:55,"AUBERRY, SHAVER
LAKE, TOLLHOUSE","Tier 3, Tier
2",923,827,94,61,2
BALCH NO 1 1101*,1/19/2021 05:53,1/20/2021 09:32,FRESNO,Tier 2,25,13,12,1,0
CAL WATER 1102*,1/19/2021 06:49,1/20/2021 08:00,BAKERSFIELD,"Partially
Outside
HFTD, Tier
2",13,0,10,0,3
DUNLAP 1102*,1/19/2021 05:46,1/20/2021 16:20,"BADGER, KINGS
CANYON,
MIRAMONTE","Partially
Outside
HFTD, Tier
2",663,597,56,28,10
DUNLAP 1103*,1/19/2021 02:46,1/20/2021 16:47,"DUNLAP, HUME,
KINGS CANYON,
MIRAMONTE",Tier 2,477,407,65,19,5
LAMONT 1102*,1/19/2021 06:43,1/20/2021 08:18,BAKERSFIELD,Tier 2,5,0,5,0,0
MARIPOSA 2101*,1/19/2021 00:09,1/26/2021 16:10,MARIPOSA,"Tier 3, Tier
2",1363,1281,79,115,3
MARIPOSA 2102*,1/19/2021 00:24,1/24/2021 14:02,MARIPOSA,Tier 2,81,77,3,6,1
MESA 1101*,1/19/2021 08:14,1/20/2021 10:50,"ARROYO GRANDE,
NIPOMO","Partially
Outside
HFTD, Tier
3, Tier 2",85,65,14,4,6
OAKHURST 1103*,1/18/2021 23:46,N/A,"FISH CAMP,
OAKHURST,
WAWONA,
YOSEMITE
NATIONAL PARK","Tier 3, Tier
2",703,609,94,12,0
"SAN JOAQUIN #3
1101*",1/19/2021 00:23,1/21/2021 17:32,NORTH FORK,Tier 2,75,73,2,3,0
"SAN JOAQUIN #3
1103*",1/18/2021 23:02,1/23/2021 17:40,NORTH FORK,Tier 3,149,144,5,13,0
SAND CREEK 1103*,1/19/2021 05:57,1/19/2021 16:39,BADGER,Tier 2,161,127,29,3,5
SANTA MARIA 1108*,1/19/2021 08:10,1/20/2021 09:44,"NIPOMO, SANTA
MARIA","Partially
Outside
HFTD, Tier
3, Tier 2",202,160,22,6,20
SCE TEHACHAPI 1101*,1/19/2021 02:36,1/20/2021 09:16,TEHACHAPI,Tier 2,3,2,1,0,0
SISQUOC 1103*,1/19/2021 08:06,1/20/2021 09:41,SANTA MARIA,"Partially
Outside
HFTD, Tier
3, Tier 2",154,119,24,1,11
"SO. CAL. EDISON #3
1101*",1/19/2021 01:13,1/20/2021 11:39,NORTH FORK,"Tier 3, Tier
2",15,14,1,2,0
TEJON 1103*,1/19/2021 06:52,1/20/2021 08:30,ARVIN,Tier 2,2,0,2,0,0
