Impacted Circuit,Total Customers,Residential Customers,Commercial / Industrial Customers,Medical Baseline Customers,Other Customers
BANGOR 1101,"2,299","2,029",232,152,38
BIG BEND 1101,190,168,20,11,2
BIG BEND 1102,368,326,36,16,6
BROWNS VALLEY 1101,565,492,66,37,7
CHALLENGE 1102,819,709,107,51,3
DOBBINS 1101,847,731,100,44,16
KANAKA 1101,609,553,49,34,7
NARROWS 2101,503,454,42,26,7
NARROWS 2102,"3,392","3,242",136,163,14
NARROWS 2105,"3,904","3,495",387,170,22
SMARTVILLE 1101,255,221,29,15,5
WYANDOTTE 1102,33,29,3,2,1
WYANDOTTE 1103,"1,603","1,466",128,119,9
WYANDOTTE 1105,331,320,10,37,1
WYANDOTTE 1106,166,135,12,13,19
WYANDOTTE 1107,"1,911","1,782",103,147,26
WYANDOTTE 1109,"2,287","2,044",208,222,35
WYANDOTTE 1110,"1,638","1,582",53,167,3
BANGOR 1101,2299,2029,232,154,38
BIG BEND 1101,190,168,20,11,2
BIG BEND 1102,368,326,36,16,6
"BROWNS VALLEY1101",565,492,66,37,7
BRUNSWICK 1102,1379,798,581,42,0
BRUNSWICK 1105,3400,3264,130,156,6
BRUNSWICK 1106,4475,4254,210,209,11
BUCKS CREEK 1101,3,0,3,0,0
BUTTE 1105,228,207,19,10,2
CALISTOGA 1101,1077,812,181,19,84
CHALLENGE 1102,817,707,107,51,3
CLARK ROAD 1101,14,0,14,0,0
CLARK ROAD 11025,1056,911,123,65,22
DOBBINS 1101,846,730,100,43,16
FORESTHILL 1101,2210,2061,148,142,1
FORESTHILL 1102,421,399,22,13,0
FULTON 1107,168,113,50,7,5
KANAKA 1101,609,553,49,34,7
MONTICELLO 1101,18,8,7,0,3
NARROWS 2101,503,454,42,26,7
NARROWS 2102,3392,3242,136,163,14
NARROWS 2105,3904,3496,386,171,22
NOTRE DAME 1104,217,185,29,5,3
ORO FINO 1101,2277,2205,70,220,2
ORO FINO 1102,1952,1817,123,103,12
OROVILLE 0402,359,204,155,9,0
OROVILLE 0403,243,209,33,13,1
OROVILLE 1101,2464,2114,336,204,14
OROVILLE 1102,652,429,223,46,0
OROVILLE 1103,515,474,40,50,1
OROVILLE 1104,1265,1145,120,96,0
PARADISE 1103,805,574,230,34,1
PARADISE 1104,783,647,136,50,0
PARADISE 1105,1016,794,221,54,1
RINCON 1103,147,127,17,3,3
SMARTVILLE 1101,255,221,29,15,5
WYANDOTTE 1102,33,29,3,2,1
WYANDOTTE 1103,1600,1465,126,119,9
WYANDOTTE 1105,331,320,10,37,1
WYANDOTTE 1106,166,135,12,13,19
WYANDOTTE 1107,1911,1782,103,147,26
WYANDOTTE 1109,2286,2043,208,222,35
WYANDOTTE 1110,1638,1583,52,167,3
