Circuit Name,De-Energization Date and Time (PDT),Restoration Date and Time (PDT),Counties,HFTD Tier(s),Total Customers,Residential Customers,Commercial / Industrial Customers,Medical Baseline Customers,Other Customers
ALLEGHANY 1101,10/14/2020 10:30,10/16/2020 11:07,"DOWNIEVILLE,
GOODYEARS BAR,
SIERRA CITY","Partially
Outside
HFTD,
Tier 3,
Tier 2",957,810,145,25,2
BANGOR 1101*,10/14/2020 19:14,10/16/2020 9:32,"DOBBINS, OREGON
HOUSE",Tier 2,110,106,4,8,0
BIG BASIN 1101*,10/14/2020 20:00,10/15/2020 12:27,BOULDER CREEK,Tier 3,48,45,3,1,0
BIG BASIN 1102*,10/14/2020 20:00,10/15/2020 17:54,"BOULDER CREEK,
LOS GATOS","Tier 3,
Tier 2",193,177,15,11,1
BIG BEND 1101,10/14/2020 18:20,10/16/2020 16:18,OROVILLE,"Tier 3,
Tier 2",237,211,24,16,2
BIG BEND 1102,10/14/2020 18:20,10/16/2020 16:18,BERRY CREEK,Tier 3,80,70,8,5,2
BRIDGEVILLE 1102*,10/15/2020 18:06,10/16/2020 10:21,"BLOCKSBURG,
BRIDGEVILLE","Tier 3,
Tier 2",39,35,2,0,2
BUCKS CREEK 1101,10/14/2020 18:11,10/16/2020 15:44,"OROVILLE,
STORRIE","Tier 3,
Tier 2",4,0,3,0,1
BUTTE 1105*,10/14/2020 18:13,10/16/2020 13:11,CHICO,"Tier 3,
Tier 2",244,226,16,18,2
CALISTOGA 1101*,10/14/2020 18:11,10/17/2020 6:20,CALISTOGA,"Partially
Outside
HFTD,
Tier 3,
Tier 2",1224,931,201,38,92
CALISTOGA 1102*,10/14/2020 18:11,10/17/2020 6:20,CALISTOGA,"Partially
Outside
HFTD,
Tier 3,
Tier 2",608,505,85,20,18
CAMP EVERS 2105*,10/14/2020 20:03,10/15/2020 15:11,"FELTON, LOS
GATOS",Tier 3,118,113,5,5,0
CAMP EVERS 2106*,10/14/2020 20:01,10/15/2020 17:55,"LOS GATOS,
REDWOOD
ESTATES, SANTA
CRUZ, SCOTTS
VALLEY",Tier 3,1140,1058,76,70,6
CAYETANO 2109*,10/14/2020 20:43,10/16/2020 11:36,LIVERMORE,"Partially
Outside
HFTD,
Tier 3,
Tier 2",174,121,42,11,11
CEDAR CREEK 1101,10/14/2020 19:17,10/16/2020 17:42,"BELLA VISTA, BIG
BEND,
MONTGOMERY
CREEK, OAK RUN,
ROUND MOUNTAIN","Tier 3,
Tier 2",731,651,74,48,6
CHALLENGE 1101,10/14/2020 19:08,10/16/2020 14:00,"CHALLENGE,
CLIPPER MILLS, LA
PORTE,
STRAWBERRY
VALLEY","Tier 3,
Tier 2",669,575,94,41,0
CHALLENGE 1102,10/14/2020 19:08,10/16/2020 14:00,"BROWNSVILLE,
CHALLENGE,
DOBBINS,
FORBESTOWN","Tier 3,
Tier 2",404,362,40,35,2
CLARK ROAD 1102*,10/14/2020 17:00,10/16/2020 16:36,"OROVILLE,
PARADISE","Partially
Outside
HFTD,
Tier 3,
Tier 2",839,745,79,77,15
CLAYTON 2212*,10/14/2020 20:10,10/16/2020 12:14,CLAYTON,Tier 3,205,194,11,19,0
CLAYTON 2215*,10/14/2020 20:10,10/16/2020 11:58,WALNUT CREEK,"Partially
Outside
HFTD,
Tier 3,
Tier 2",427,387,38,23,2
CLOVERDALE 1102*,10/14/2020 18:25,10/16/2020 15:07,GEYSERVILLE,Tier 3,39,23,7,1,9
"COLUMBIA HILL
1101*",10/14/2020 19:21,10/16/2020 8:05,NORTH SAN JUAN,Tier 3,18,17,0,1,1
DESCHUTES 1101*,10/14/2020 19:10,10/16/2020 15:05,"OAK RUN,
SHINGLETOWN","Partially
Outside
HFTD,
Tier 3,
Tier 2",295,284,8,30,3
DOBBINS 1101*,10/14/2020 19:11,10/16/2020 11:16,"CAMPTONVILLE,
DOBBINS, OREGON
HOUSE","Partially
Outside
HFTD,
Tier 3,
Tier 2",668,582,72,56,14
