Circuit,Total Customers,Residential Customers,Commercial / Industrial Customers,Medical Baseline Customers,Other Customers
ALLEGHANY 1101,1038,876,160,11,2
ALLEGHANY 1102,151,127,24,3,0
ALPINE 1101,278,273,5,0,0
ALPINE 1102,303,269,34,1,0
ANNAPOLIS 1101,9,5,3,0,1
APPLE HILL 1103,1256,1090,160,61,6
APPLE HILL 1104,2425,2245,170,118,10
APPLE HILL 2102,4384,4008,337,215,39
BANGOR 1101,2297,2028,232,157,37
BELL 1107,833,784,38,31,11
BELL 1108,725,653,57,26,15
BIG BEND 1101,192,169,21,10,2
BIG BEND 1102,366,324,36,16,6
BONNIE NOOK 1101,496,421,67,14,8
BONNIE NOOK 1102,522,454,61,15,7
BROWNS VALLEY 1101,569,494,68,36,7
BRUNSWICK 1102,1378,796,582,43,0
BRUNSWICK 1103,3197,2476,713,62,8
BRUNSWICK 1104,2520,2184,334,90,2
BRUNSWICK 1105,3665,3394,265,166,6
BRUNSWICK 1106,4473,4252,210,211,11
BRUNSWICK 1107,2659,2261,390,104,8
BRUNSWICK 1110,3309,2892,414,149,3
BUTTE 1105,230,209,19,10,2
CALAVERAS CEMENT 1101,750,656,86,23,8
CALISTOGA 1101,1551,1218,234,26,99
CALISTOGA 1102,2116,1623,426,31,67
CALPINE 11442,15,2,13,0,0
CALWATER 1102,13,0,10,0,3
CHALLENGE 1101,670,576,94,12,0
CHALLENGE 1102,822,712,107,52,3
CLARK ROAD 1101,15,0,15,0,0
CLARK ROAD 11023,1056,912,122,64,22
CLOVERDALE 1101,882,821,50,42,11
CLOVERDALE 1102,919,742,101,32,76
COLUMBIA HILL 1101,1121,982,126,38,13
DIAMOND SPRINGS 1103,1496,1309,186,77,1
DIAMOND SPRINGS 1104,466,407,59,35,0
DIAMOND SPRINGS 1105,2459,2158,297,139,4
DIAMOND SPRINGS 1106,2337,2239,96,139,2
DIAMOND SPRINGS 1107,1294,1230,64,64,0
DOBBINS 1101,845,729,100,47,16
DRUM 1101,191,144,41,1,6
DUNBAR 1101,2649,2451,166,125,32
DUNBAR 1103,291,220,54,3,17
EL DORADO P H 2101,4560,4292,259,201,9
EL DORADO P H 2102,1592,1455,136,72,1
ELECTRA 1101,1878,1705,162,102,11
FITCH MOUNTAIN 1111,58,23,23,0,12
FITCH MOUNTAIN 1113,545,499,34,12,12
FORESTHILL 1101,2214,2064,149,141,1
FORESTHILL 1102,421,399,22,13,0
FROGTOWN 1701,1740,1417,300,79,23
FULTON 1102,861,548,254,12,59
FULTON 1104,3,3,0,0,0
FULTON 1107,736,494,236,27,6
GEYSERVILLE 1101,1113,705,226,18,182
GEYSERVILLE 11024,787,438,199,8,150
GRASS VALLEY 1101,746,494,247,25,5
GRASS VALLEY 1103,1449,1278,162,69,9
HALF MOON BAY 1103,651,553,88,13,10
HALSEY 1101,1671,1540,131,63,0
HALSEY 1102,873,793,71,46,9
HIGGINS 1103,1934,1793,139,110,2
HIGGINS 1104,2707,2646,60,148,1
HIGGINS 1107,1678,1582,96,88,0
HIGGINS 1109,1617,1409,185,82,23
HIGGINS 1110,1358,1312,46,62,0
HOPLAND 1101,162,124,30,9,8
KANAKA 1101,607,550,50,33,7
LAMONT 1102,5,0,5,0,0
LINCOLN 1104,217,201,15,15,1
LUCERNE 1103,1,1,0,0,0
MARTELL 1101,634,594,35,45,5
MIDDLETOWN 1101 5,1339,1182,144,46,13
MONROE 2103,10,1,6,0,3
MONROE 2107,106,102,4,4,0
MONTICELLO 1101,28,13,12,0,3
MOUNTAIN QUARRIES 2101,2447,2263,174,112,10
NARROWS 2101,504,455,42,25,7
NARROWS 2102,3388,3239,135,165,14
NARROWS 2105,3901,3494,385,173,22
NOTRE DAME 1104,217,185,29,5,3
OLETA 1102,500,420,62,21,18
ORO FINO 1101,2279,2206,71,224,2
ORO FINO 1102,1951,1816,123,104,12
PARADISE 1103,857,613,243,36,1
