Circuit,HFTD Tier(s),Start Date and Time,Key Communities,Restoration Date and Time,,
ANDERSON-1103*,"TIER 2, PARTIALLY OUTSIDE HFTD",11/20/2019 08:14,"ANDERSON, MILLVILLE, REDDING",11/20/2019 18:50,,
ARBUCKLE-1104*,"TIER 2, PARTIALLY OUTSIDE HFTD",11/20/2019 08:40,ARBUCKLE,11/21/2019 07:34,,
CALISTOGA-1101,"TIER 3, TIER 2, PARTIALLY OUTSIDE HFTD",11/20/2019 07:16,CALISTOGA,11/21/2019 16:16,,
CALISTOGA-1102,"TIER 3, TIER 2, PARTIALLY OUTSIDE HFTD",11/20/2019 07:16,"CALISTOGA, SAINT HELENA",11/21/2019 11:58,,
CEDAR CREEK- 1101,"TIER 3, TIER 2, PARTIALLY OUTSIDE HFTD",11/20/2019 06:20,"BELLA VISTA, BIG BEND, MONTGOMERY CREEK, OAK RUN, ROUND MOUNTAIN",11/21/2019 17:33,,
CLOVERDALE- 1102*,TIER 3,11/20/2019 08:00,CLOVERDALE,11/21/2019 09:07,,
CORTINA-1101*,"TIER 2, PARTIALLY OUTSIDE HFTD",11/20/2019 08:33,WILLIAMS,11/21/2019 07:40,,
COTTONWOOD- 1103*,"TIER 2, PARTIALLY OUTSIDE HFTD",11/20/2019 08:30,"COTTONWOOD, RED BLUFF",11/21/2019 14:57,,
DESCHUTES-1101*,"TIER 3, TIER 2, PARTIALLY OUTSIDE HFTD",11/20/2019 08:25,"MILLVILLE, OAK RUN, PALO CEDRO, SHINGLETOWN",11/21/2019 11:42,,
DESCHUTES-1104*,"TIER 2, PARTIALLY OUTSIDE HFTD",11/20/2019 08:24,"ANDERSON, MILLVILLE, PALO CEDRO",11/21/2019 16:12,,
DUNBAR-1101*,TIER 3,11/20/2019 07:03,"GLEN ELLEN, KENWOOD, SANTA ROSA",11/21/2019 11:52,,
DUNBAR-1103*,"TIER 3, TIER 2, PARTIALLY OUTSIDE HFTD",11/20/2019 07:14,GLEN ELLEN,11/21/2019 21:55,,
ELK CREEK-1101,"TIER 2, PARTIALLY OUTSIDE HFTD",11/20/2019 09:14,"ELK CREEK, ORLAND, STONYFORD, WILLOWS",11/21/2019 11:34,,
FULTON-1107*,TIER 3,11/20/2019 07:12,SANTA ROSA,11/21/2019 11:26,,
GIRVAN-1101,"TIER 3, TIER 2, PARTIALLY OUTSIDE HFTD",11/20/2019 08:28,"ANDERSON, COTTONWOOD, IGO, ONO, REDDING",11/21/2019 10:21,,
GLENN-1101*,"TIER 2, PARTIALLY OUTSIDE HFTD",11/20/2019 09:29,ORLAND,11/20/2019 17:45,,
HIGHLANDS-1102,"TIER 3, TIER 2, PARTIALLY OUTSIDE HFTD",11/20/2019 07:57,"CLEARLAKE, CLEARLAKE OAKS",11/21/2019 11:55,,
HIGHLANDS-1103,"TIER 2, PARTIALLY OUTSIDE HFTD",11/20/2019 07:57,"CLEARLAKE, HIDDEN VALLEY LAKE, LOWER LAKE, MIDDLETOWN",11/21/2019 12:19,,
HIGHLANDS-1104,"TIER 2, PARTIALLY OUTSIDE HFTD",11/20/2019 07:57,"CLEARLAKE, LOWER LAKE",11/20/2019 20:49,,
HOPLAND-1101*,"TIER 2, PARTIALLY OUTSIDE HFTD",11/20/2019 07:31,HOPLAND,11/21/2019 08:46,,
JESSUP-1101*,"TIER 3, TIER 2, PARTIALLY OUTSIDE HFTD",11/20/2019 08:11,"ANDERSON, COTTONWOOD, IGO, REDDING",11/21/2019 13:10,,
JESSUP-1102*,"TIER 2, PARTIALLY OUTSIDE HFTD",11/20/2019 08:17,ANDERSON,11/21/2019 10:39,,
JESSUP-1103*,"TIER 2, PARTIALLY OUTSIDE HFTD",11/20/2019 08:07,"ANDERSON, REDDING",11/21/2019 08:04,,
KANAKA-1101,TIER 3,11/20/2019 17:54,"FEATHER FALLS, OROVILLE",11/21/2019 10:44,,
LOGAN CREEK- 2102*,"TIER 2, PARTIALLY OUTSIDE HFTD",11/20/2019 09:17,WILLOWS,11/20/2019 16:43,,
MADISON-2101*,"TIER 2, PARTIALLY OUTSIDE HFTD",11/20/2019 07:40,"BROOKS, CAPAY, ESPARTO, GUINDA, RUMSEY",11/21/2019 10:40,,
MIDDLETOWN- 1101,"TIER 3, TIER 2, PARTIALLY OUTSIDE HFTD",11/20/2019 07:16,"CALISTOGA, COBB, KELSEYVILLE, LOCH LOMOND, MIDDLETOWN",11/21/2019 12:11,,
MIDDLETOWN- 1102,"TIER 3, TIER 2, PARTIALLY OUTSIDE HFTD",11/20/2019 07:16,"HIDDEN VALLEY LAKE, MIDDLETOWN",11/21/2019 10:53,,
MIDDLETOWN- 1103,"TIER 3, TIER 2, PARTIALLY OUTSIDE HFTD",11/20/2019 03:38,MIDDLETOWN,11/21/2019 11:37,,
MONTICELLO-1101,"TIER 2, PARTIALLY OUTSIDE HFTD",11/20/2019 08:08,"LAKE BERRYESSA, NAPA, SUISUN CITY",11/21/2019 16:21,,
OREGON TRAIL- 1103*,TIER 2,11/20/2019 08:15,BELLA VISTA,11/21/2019 09:07,,
OREGON TRAIL- 1104*,TIER 2,11/20/2019 08:14,"PALO CEDRO, REDDING",11/20/2019 16:51,,
PANORAMA-1101*,"TIER 2, PARTIALLY OUTSIDE HFTD",11/20/2019 08:15,COTTONWOOD,11/21/2019 08:34,,
PANORAMA-1102*,"TIER 2, PARTIALLY OUTSIDE HFTD",11/20/2019 08:13,"ANDERSON, RED BLUFF",11/21/2019 09:31,,
PUEBLO-1104*,"TIER 2, PARTIALLY OUTSIDE HFTD",11/20/2019 07:11,NAPA,11/21/2019 10:24,,
PUEBLO-1105*,"TIER 2, PARTIALLY OUTSIDE HFTD",11/20/2019 07:15,NAPA,11/21/2019 10:20,,
PUEBLO-2102*,"TIER 3, PARTIALLY OUTSIDE HFTD",11/20/2019 07:09,"NAPA, OAKVILLE, YOUNTVILLE",11/21/2019 13:25,,
PUEBLO-2103*,"TIER 3, TIER 2",11/20/2019 08:02,NAPA,11/21/2019 13:43,,
PUTAH CREEK- 1102*,TIER 2,11/20/2019 07:38,WINTERS,11/21/2019 08:58,,
RED BLUFF-1101*,"TIER 2, PARTIALLY OUTSIDE HFTD",11/20/2019 08:16,RED BLUFF,11/21/2019 14:45,,
RED BLUFF-1103*,"TIER 2, PARTIALLY OUTSIDE HFTD",11/20/2019 08:14,RED BLUFF,11/21/2019 11:26,,
RED BLUFF-1104*,"TIER 2, PARTIALLY OUTSIDE HFTD",11/20/2019 08:10,"COTTONWOOD, RED BLUFF",11/21/2019 12:47,,
RED BLUFF-1105*,"TIER 2, PARTIALLY OUTSIDE HFTD",11/20/2019 08:07,RED BLUFF,11/21/2019 09:40,,
RINCON-1101,"TIER 3, TIER 2, PARTIALLY OUTSIDE HFTD",11/20/2019 07:09,SANTA ROSA,11/21/2019 11:58,,
RINCON-1103,"TIER 3, TIER 2, PARTIALLY OUTSIDE HFTD",11/20/2019 07:05,SANTA ROSA,11/21/2019 13:54,,
SANTA ROSA A- 1104*,"TIER 3, TIER 2, PARTIALLY OUTSIDE HFTD",11/20/2019 07:18,SANTA ROSA,11/21/2019 09:12,,
SILVERADO-2102*,"TIER 2, PARTIALLY OUTSIDE HFTD",11/20/2019 07:09,"LAKE BERRYESSA, NAPA, OAKVILLE, RUTHERFORD, SAINT HELENA, YOUNTVILLE",11/21/2019 15:10,,
SILVERADO-2103*,"TIER 3, PARTIALLY OUTSIDE HFTD",11/20/2019 08:46,"RUTHERFORD, SAINT HELENA",11/21/2019 09:46,,
SILVERADO-2104*,"TIER 3, TIER 2, PARTIALLY OUTSIDE HFTD",11/20/2019 06:45,"ANGWIN, CALISTOGA, DEER PARK, POPE VALLEY, SAINT HELENA",11/21/2019 15:08,,
SILVERADO-2105*,"TIER 3, PARTIALLY OUTSIDE HFTD",11/20/2019 06:48,"CALISTOGA, SAINT HELENA",11/21/2019 13:57,,
TYLER-1105*,"TIER 2, PARTIALLY OUTSIDE HFTD",11/20/2019 08:22,RED BLUFF,11/21/2019 12:40,,
VACAVILLE-1108*,"TIER 2, PARTIALLY OUTSIDE HFTD",11/20/2019 07:14,VACAVILLE,11/21/2019 09:13,,
VOLTA-1101,"TIER 3, TIER 2, PARTIALLY OUTSIDE HFTD",11/20/2019 08:11,"MANTON, MILL CREEK, MINERAL, PAYNES CREEK, RED BLUFF, SHINGLETOWN",11/21/2019 15:20,,
VOLTA-1102,"TIER 3, TIER 2, PARTIALLY OUTSIDE HFTD",11/20/2019 08:11,SHINGLETOWN,11/21/2019 14:57,,
WHITMORE-1101*,"TIER 3, TIER 2",11/20/2019 08:19,"OAK RUN, WHITMORE",11/21/2019 14:11,,
WYANDOTTE- 1103*,TIER 3,11/20/2019 17:52,BERRY CREEK,11/21/2019 09:46,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
