,index,circuit_name,deenergize_time,restoration_time,time_out_min,key_communities,hftd_tier,total_affected,residential_affected,zip_code,longitude,latitude
0,19,MOUNTAINQUARRIES-2101,2018-10-14 21:09:00,2018-10-16 14:10:00,2461.0,"Cool, Garden Valley, Georgetown, Greenwood",3.0,1131.0,976.0,,,
1,185,BEN LOMOND0401,2019-10-09 22:44:00,2019-10-11 20:08:00,2724.0,"BEN LOMOND, FELTON",3.0,743.0,680.0,,,
2,186,BEN LOMOND1101,2019-10-09 22:44:00,2019-10-11 19:32:00,2688.0,"BROOKDALE, BOULDER CREEK, BEN LOMOND",3.0,726.0,698.0,,,
3,191,BIG TREES0402,2019-10-09 22:43:00,2019-10-11 15:02:00,2419.0,"FELTON, SANTA CRUZ",3.0,858.0,804.0,,,
4,268,FITCH MOUNTAIN1113,2019-10-09 03:22:00,2019-10-12 14:45:00,5003.0,HEALDSBURG,3.0,2314.0,1792.0,,,
5,297,HALF MOON BAY1101,2019-10-09 23:15:00,2019-10-10 18:08:00,1133.0,"EL GRANADA, HALF MOON BAY, MOSS BEACH, WOODSIDE, SAN MATEO",3.0,2560.0,2047.0,,,
6,298,HALF MOON BAY1102,2019-10-09 23:11:00,2019-10-10 18:36:00,1165.0,"HALF MOON BAY, MONTARA, EL GRANADA, MOSS BEACH",3.0,4856.0,4502.0,,,
7,299,HALF MOON BAY1103,2019-10-09 23:11:00,2019-10-11 16:39:00,2488.0,"HALF MOON BAY, PESCADERO, LA HONDA, SAN GREGORIO, LOMA MAR, WOODSIDE",3.0,4863.0,3992.0,,,
8,319,HUM BAY BANK NO.111101,2019-10-09 01:40:00,2019-10-10 00:20:00,1360.0,"EUREKA, FIELDS LANDING",0.0,1009.0,888.0,,,
9,320,HUM BAY BANK NO.111102,2019-10-09 01:40:00,2019-10-10 01:10:00,1410.0,EUREKA,2.0,3029.0,2794.0,,,
10,327,JARVIS1111,2019-10-10 00:04:00,2019-10-10 16:43:00,999.0,FREMONT,3.0,532.0,497.0,,,
11,340,LAS AROMAS0401,2019-10-09 23:24:00,2019-10-11 08:03:00,1959.0,ORINDA,2.0,424.0,413.0,,,
12,369,MIWUK SUB1701,2019-10-09 15:22:00,2019-10-11 18:50:00,3088.0,"MI WUK VILLAGE, TWAIN HARTE, LONG BARN, TUOLUMNE",3.0,3651.0,3399.0,,,
13,370,MIWUK SUB1702,2019-10-09 15:22:00,2019-10-11 16:51:00,2969.0,"TWAIN HARTE, SONORA",3.0,3773.0,3512.0,,,
14,379,MOUNTAIN QUARRIES2101,2019-10-09 03:25:00,2019-10-11 17:38:00,3733.0,"COOL, PILOT HILL, GREENWOOD, GEORGETOWN, GARDEN VALLEY",3.0,3613.0,3299.0,,,
15,417,PEORIA FLAT1701,2019-10-09 15:27:00,2019-10-12 09:27:00,3960.0,"GROVELAND, CHINESE CAMP, JAMESTOWN",2.0,1862.0,1664.0,,,
16,418,PEORIA FLAT1704,2019-10-09 15:25:00,2019-10-11 16:07:00,2922.0,"COPPEROPOLIS, JAMESTOWN, OAKDALE, KNIGHTS FERRY",2.0,3137.0,2802.0,,,
17,419,PEORIA FLAT1705,2019-10-09 15:23:00,2019-10-12 10:21:00,4018.0,"JAMESTOWN, SONORA",2.0,2461.0,2115.0,,,
18,426,PINECREST0401,2019-10-09 15:31:00,2019-10-11 17:48:00,3017.0,PINECREST,3.0,207.0,178.0,,,
19,437,POSO MOUNTAIN2101,2019-10-10 10:29:00,2019-10-12 05:25:00,2576.0,BAKERSFIELD,2.0,135.0,76.0,,,
