circuit_name,deenergize_time,restoration_time,time_out_min,key_communities,hftd_tier,total_affected,residential_affected,zip_code,longitude,latitude,substn_present,total_pop,median_age,median_income,white_pct,tmin_d-4,tmax_d-4,wspd_d-4,tmin_d-3,tmax_d-3,wspd_d-3,tmin_d-2,tmax_d-2,wspd_d-2,tmin_d-1,tmax_d-1,wspd_d-1,tmin_d-0,tmax_d-0,wspd_d-0
APPLE HILL-1103,2018-10-14 21:00:00,2018-10-15 16:29:00,1169.0,"Camino, Placerville",3.0,1809.0,1488.0,95709,-120.677165094886,38.7396829674102,True,5634.0,50.9,71659.0,0.9416045438409656,13.0,21.0,8.5,10.0,19.0,6.4,14.0,23.0,10.7,14.0,23.0,9.2,,,
APPLE HILL-1104,2018-10-14 21:17:00,2018-10-15 18:37:00,1280.0,"Camino, Placerville, Pollock Pines,",3.0,2261.0,2043.0,95709,-120.677165094886,38.7396829674102,True,5634.0,50.9,71659.0,0.9416045438409656,13.0,21.0,8.5,10.0,19.0,6.4,14.0,23.0,10.7,14.0,23.0,9.2,,,
APPLE HILL-2102,2018-10-14 21:05:00,2018-10-16 18:04:00,2699.0,"Camino, Grizzly Flats, Mount Aukum, Placerville, Pollock Pines, Somerset",3.0,4489.0,4013.0,95709,-120.677165094886,38.7396829674102,True,5634.0,50.9,71659.0,0.9416045438409656,13.0,21.0,8.5,10.0,19.0,6.4,14.0,23.0,10.7,14.0,23.0,9.2,,,
BONNIE NOOK-1102,2018-10-14 21:54:00,2018-10-15 18:04:00,1210.0,Alta,3.0,533.0,454.0,95701,-120.809292450506,39.2147078693068,True,1064.0,58.2,85294.0,0.9229323308270677,8.3,12.8,5.3,8.3,15.6,7.3,8.3,20.0,10.0,11.1,20.6,9.6,,,
CALISTOGA-1101,2018-10-14 20:34:00,2018-10-15 21:27:00,1493.0,Calistoga,3.0,1596.0,1216.0,94515,-122.578610444001,38.592088042243,True,7525.0,47.7,85263.0,0.7918936877076412,11.1,19.4,6.6,11.1,22.8,6.4,6.1,28.9,5.6,6.7,25.0,7.2,,,
CALISTOGA-1102,2018-10-14 20:34:00,2018-10-16 17:37:00,2703.0,Calistoga,3.0,2132.0,1600.0,94515,-122.578610444001,38.592088042243,True,7525.0,47.7,85263.0,0.7918936877076412,11.1,19.4,6.6,11.1,22.8,6.4,6.1,28.9,5.6,6.7,25.0,7.2,,,
CLEAR LAKE-1101,2018-10-14 20:30:00,2018-10-15 16:13:00,1183.0,"Kelseyville, Lakeport, Finley",3.0,491.0,300.0,95453,-122.894000771299,39.0077675085857,True,11209.0,48.4,55625.0,0.7286109376393969,7.8,24.4,3.8,9.4,24.4,3.3,7.2,29.4,2.1,7.2,31.1,1.4,,,
DIAMONDSPRINGS-1103,2018-10-14 21:25:00,2018-10-15 15:11:00,1066.0,"Diamond Springs, Placerville",3.0,2224.0,1779.0,95667,-120.825894807298,38.6934122861058,True,35452.0,50.4,74324.0,0.9177761480311407,13.0,21.0,8.5,10.0,19.0,6.4,14.0,23.0,10.7,14.0,23.0,9.2,,,
DIAMONDSPRINGS-1104,2018-10-14 21:20:00,2018-10-15 14:47:00,1047.0,"Diamond Springs, El Dorado, Placerville",3.0,1014.0,934.0,95667,-120.825894807298,38.6934122861058,True,35452.0,50.4,74324.0,0.9177761480311407,13.0,21.0,8.5,10.0,19.0,6.4,14.0,23.0,10.7,14.0,23.0,9.2,,,
DIAMONDSPRINGS-1107,2018-10-14 21:35:00,2018-10-15 16:32:00,1137.0,"Placerville, Shingle Springs",3.0,1844.0,1443.0,95667,-120.825894807298,38.6934122861058,True,35452.0,50.4,74324.0,0.9177761480311407,13.0,21.0,8.5,10.0,19.0,6.4,14.0,23.0,10.7,14.0,23.0,9.2,,,
