,index,circuit_name,deenergize_time,restoration_time,time_out_min,key_communities,hftd_tier,total_affected,residential_affected,zip_code,longitude,latitude,Substation Name

0,19,MOUNTAINQUARRIES-2101,10/14/18 21:09,10/16/18 14:10,2461,"Cool, Garden Valley, Georgetown, Greenwood",3,1131,976,95634,120.6890 W,38.9167 N,Mt. Quarries Sub

1,185,BEN LOMOND0401,10/9/19 22:44,10/11/19 20:08,2724,"BEN LOMOND, FELTON",3,743,680,95006,122.1519 W,37.1833 N,Big Basin Sub

2,186,BEN LOMOND1101,10/9/19 22:44,10/11/19 19:32,2688,"BROOKDALE, BOULDER CREEK, BEN LOMOND",3,726,698,95006,122.1519 W,37.1833 N,Big Basin Sub

3,191,BIG TREES0402,10/9/19 22:43,10/11/19 15:02,2419,"FELTON, SANTA CRUZ",3,858,804,95018,121.8900 W,37.3400 N,Burns Sub

4,268,FITCH MOUNTAIN1113,10/9/19 3:22,10/12/19 14:45,5003,HEALDSBURG,3,2314,1792,95448,122.8761 W,38.6323 N,Fitch Mountain Sub

5,297,HALF MOON BAY1101,10/9/19 23:15,10/10/19 18:08,1133,"EL GRANADA, HALF MOON BAY, MOSS BEACH, WOODSIDE, SAN MATEO",3,2560,2047,94019,122.4354 W,37.4903 N,Half Moon Bay Sub

6,298,HALF MOON BAY1102,10/9/19 23:11,10/10/19 18:36,1165,"HALF MOON BAY, MONTARA, EL GRANADA, MOSS BEACH",3,4856,4502,94019,122.4354 W,37.4903 N,Half Moon Bay Sub

7,299,HALF MOON BAY1103,10/9/19 23:11,10/11/19 16:39,2488,"HALF MOON BAY, PESCADERO, LA HONDA, SAN GREGORIO, LOMA MAR, WOODSIDE",3,4863,3992,94019,122.4354 W,37.4903 N,Half Moon Bay Sub

8,319,HUM BAY BANK NO.111101,10/9/19 1:40,10/10/19 0:20,1360,"EUREKA, FIELDS LANDING",0,1009,888,95501,124.1461 W,40.8135 N,Humboldt Bay Gen Sta Sub

9,320,HUM BAY BANK NO.111102,10/9/19 1:40,10/10/19 1:10,1410,EUREKA,2,3029,2794,95501,124.1461 W,40.8135 N,Humboldt Bay Gen Sta Sub

10,327,JARVIS1111,10/10/19 0:04,10/10/19 16:43,999,FREMONT,3,532,497,94536,122.0042 W,37.5641 N,Jarvis Sub

11,340,LAS AROMAS0401,10/9/19 23:24,10/11/19 8:03,1959,ORINDA,2,424,413,94563,122.1860 W,37.8913 N,Las Aromas Sub

12,369,MIWUK SUB1701,10/9/19 15:22,10/11/19 18:50,3088,"MI WUK VILLAGE, TWAIN HARTE, LONG BARN, TUOLUMNE",3,3651,3399,95383,120.2305 W,38.0380 N,Mi-Wuk Sub

13,370,MIWUK SUB1702,10/9/19 15:22,10/11/19 16:51,2969,"TWAIN HARTE, SONORA",3,3773,3512,95383,120.2305 W,38.0380 N,Mi-Wuk Sub

14,379,MOUNTAIN QUARRIES2101,10/9/19 3:25,10/11/19 17:38,3733,"COOL, PILOT HILL, GREENWOOD, GEORGETOWN, GARDEN VALLEY",3,3613,3299,95634,120.6890 W,38.9167 N,Mt. Quarries Sub

15,417,PEORIA FLAT1701,10/9/19 15:27,10/12/19 9:27,3960,"GROVELAND, CHINESE CAMP, JAMESTOWN",2,1862,1664,95327,120.4818 W,37.8476 N,Peoria Sub

16,418,PEORIA FLAT1704,10/9/19 15:25,10/11/19 16:07,2922,"COPPEROPOLIS, JAMESTOWN, OAKDALE, KNIGHTS FERRY",2,3137,2802,95327,120.4818 W,37.8476 N,Peoria Sub

17,419,PEORIA FLAT1705,10/9/19 15:23,10/12/19 10:21,4018,"JAMESTOWN, SONORA",2,2461,2115,95327,120.4818 W,37.8476 N,Peoria Sub

18,426,PINECREST0401,10/9/19 15:31,10/11/19 17:48,3017,PINECREST,3,207,178,95314,119.8327 W,38.3411 N,MISSING

19,437,POSO MOUNTAIN2101,10/10/19 10:29,10/12/19 5:25,2576,BAKERSFIELD,2,135,76,93301,119.0169 W,35.3874 N,Poso Mountain Sub

20,438,POSO MOUNTAIN2103,10/10/19 10:23,10/11/19 18:21,1918,BAKERSFIELD,2,25,10,93301,119.0169 W,35.3874 N,Poso Mountain Sub

21,439,POSO MOUNTAIN2104,10/10/19 10:18,10/11/19 19:59,2021,BAKERSFIELD,2,9,2,93301,119.0169 W,35.3874 N,Poso Mountain Sub

22,451,RAWSON1103,10/9/19 0:27,10/10/19 18:39,2532,"RED BLUFF, SAN PABLO",2,2489,2007,94803,122.2767 W,37.9587 N,San Pablo Sub

23,496,SPAULDING1101,10/9/19 2:22,10/12/19 9:30,4748,"EMIGRANT GAP, SODA SPRINGS",3,161,81,95715,120.7005 W,39.2445 N,Spaulding Ph #1 Sub

24,498,SPRUCE0401,10/9/19 22:49,10/10/19 15:38,1009,"KENSINGTON, BERKELEY",3,690,682,94701,122.2704 W,37.8683 N,Spruce Sub

25,499,SPRUCE0402,10/9/19 22:49,10/10/19 16:44,1075,BERKELEY,2,622,607,94701,122.2704 W,37.8683 N,Spruce Sub

26,509,STILLWATER STATION1101,10/9/19 0:34,10/11/19 14:48,3734,REDDING,2,695,593,96001,122.4617 W,40.5442 N,MISSING

27,510,STILLWATER STATION1102,10/9/19 0:34,10/11/19 15:36,3782,REDDING,2,1371,1320,96001,122.4617 W,40.5442 N,MISSING

