,time_out_min
548,5396.0
111,1062.0
949,5522.0
819,1506.0
882,5682.0
1962,2735.0
814,3943.0
480,3932.0
1186,2318.0
1497,1247.0
1200,3704.0
432,3439.0
987,2806.0
1764,1442.0
1395,734.0
919,2796.0
69,956.0
635,6653.0
144,2547.0
1462,3095.0
1856,1748.0
1860,1719.0
2009,1327.0
1546,1473.0
414,2294.0
986,2789.0
430,2906.0
1176,2145.0
1173,3849.0
494,3696.0
556,5234.0
284,1764.0
1718,642.0
1146,8030.0
437,2572.0
1121,1019.0
840,3941.0
1261,2037.0
1829,514.0
1766,1382.0
1781,2411.0
837,5508.0
1038,2835.0
58,883.0
761,2228.0
1977,3638.0
1779,1396.0
1541,2194.0
445,775.0
962,2209.0
748,3720.0
908,4120.0
54,891.0
367,3796.0
1529,1970.0
777,2789.0
322,2073.0
865,5330.0
966,2720.0
1437,3093.0
816,4175.0
878,1553.0
1757,2658.0
361,4889.0
15,2430.0
708,5667.0
213,3905.0
1599,1592.0
1221,7832.0
1193,2634.0
900,2642.0
1336,1132.0
1514,2663.0
1089,1871.0
626,5622.0
830,2596.0
1742,2560.0
727,5894.0
1277,1036.0
883,2530.0
1040,1374.0
1752,1312.0
1567,2475.0
783,3963.0
1858,2107.0
1368,920.0
571,6847.0
695,2571.0
621,5615.0
1624,3980.0
1391,727.0
1406,2949.0
531,5219.0
1458,2535.0
2006,2535.0
453,3605.0
1576,2740.0
561,2365.0
1729,1088.0
1510,2177.0
1309,2871.0
1519,2714.0
1643,2349.0
1169,2631.0
1430,2950.0
842,3164.0
491,3445.0
994,5376.0
1950,1009.0
1283,2004.0
143,2657.0
1995,3901.0
713,5625.0
308,1152.0
99,762.0
418,2472.0
1770,2786.0
1265,1248.0
1659,3119.0
955,4345.0
274,3646.0
1958,1452.0
1824,705.0
533,3914.0
755,5710.0
974,3841.0
398,3878.0
704,5744.0
1734,2231.0
1109,3101.0
944,3820.0
1440,3091.0
1189,2102.0
1840,4761.0
1817,582.0
370,5285.0
801,2692.0
600,2818.0
184,5017.0
1597,1361.0
138,2450.0
1697,2580.0
106,750.0
1184,4597.0
866,6079.0
1566,1381.0
1787,1168.0
394,3570.0
495,3696.0
1300,2572.0
2014,2191.0
1913,1958.0
1097,1980.0
1801,1896.0
603,2427.0
722,3679.0
905,4592.0
864,5354.0
1583,1430.0
1405,2949.0
770,5592.0
729,3907.0
1338,2703.0
1731,1516.0
1629,1710.0
607,3363.0
1760,2620.0
1751,1432.0
2007,3498.0
149,3919.0
409,1150.0
1100,2452.0
668,2567.0
1160,2247.0
14,2741.0
307,2480.0
1133,2346.0
104,813.0
738,5695.0
368,4791.0
103,1904.0
1602,2600.0
1993,5169.0
715,5510.0
1571,1412.0
1273,1186.0
112,667.0
1172,2764.0
1310,2813.0
467,3319.0
22,1275.0
628,5748.0
479,1733.0
465,2585.0
1314,2465.0
297,2754.0
390,1577.0
776,2889.0
990,5414.0
216,1295.0
1069,1485.0
220,3784.0
1105,2363.0
939,6887.0
936,3911.0
1908,1826.0
267,3280.0
260,3823.0
126,2477.0
735,2969.0
650,2245.0
519,5640.0
869,2212.0
1425,2517.0
1651,1340.0
1150,2744.0
581,5589.0
1888,1675.0
728,3943.0
1582,2621.0
476,3653.0
1634,1065.0
1573,2485.0
996,5111.0
894,2384.0
178,2853.0
1473,1404.0
1807,2463.0
410,3979.0
2030,1858.0
1042,1723.0
989,5692.0
643,6949.0
44,2805.0
1532,3095.0
1479,2849.0
1951,1075.0
1324,1078.0
737,10.0
185,3500.0
1508,2978.0
327,2272.0
1343,2863.0
72,915.0
897,2643.0
456,995.0
1159,2727.0
547,5479.0
552,2548.0
1331,1045.0
176,2433.0
323,1066.0
843,2845.0
1720,1535.0
1773,1502.0
1932,1133.0
1954,1198.0
1049,2327.0
1453,2847.0
1468,2644.0
684,7315.0
658,2543.0
1417,1428.0
524,4321.0
757,3871.0
1608,4160.0
758,5688.0
881,5866.0
457,1986.0
1078,1533.0
953,5517.0
1427,2751.0
1179,2227.0
1452,2766.0
1938,1959.0
1215,2444.0
158,3647.0
667,5812.0
1188,1844.0
365,2538.0
349,3951.0
1523,2822.0
640,5854.0
190,3379.0
1960,2354.0
2015,2224.0
452,2292.0
1390,1927.0
90,985.0
1589,2671.0
1050,1580.0
1614,3049.0
1210,1237.0
74,836.0
1762,1648.0
1982,2398.0
513,1313.0
1400,971.0
1230,2217.0
1956,1241.0
1940,2969.0
526,6915.0
1872,1659.0
218,1292.0
601,2894.0
1693,2278.0
1968,5565.0
1435,3117.0
1322,1051.0
1476,2509.0
1003,2337.0
438,2575.0
976,4256.0
422,3965.0
1108,2568.0
1260,2301.0
687,5564.0
1342,2593.0
319,2291.0
472,1049.0
1344,2829.0
537,2370.0
396,3701.0
187,2429.0
821,4121.0
88,1836.0
711,7010.0
913,2812.0
1304,2682.0
1147,2185.0
1349,2852.0
1621,3101.0
937,6919.0
1407,2318.0
977,4907.0
1601,2690.0
1135,1922.0
1158,2110.0
1592,1879.0
693,2603.0
1700,1196.0
501,1630.0
952,5533.0
1170,2327.0
1004,2197.0
799,6784.0
1280,1120.0
1341,2503.0
1878,2048.0
38,794.0
192,3823.0
623,5546.0
1350,3127.0
1689,1473.0
1900,1979.0
5,2703.0
443,1310.0
2028,897.0
1906,2058.0
1207,2476.0
80,1334.0
1710,1258.0
1071,1624.0
573,5437.0
478,1542.0
1384,930.0
1980,3918.0
578,5528.0
6,1183.0
1794,2590.0
85,1192.0
575,3613.0
1660,3002.0
1564,3845.0
1830,1618.0
37,1084.0
1814,1457.0
1622,2880.0
442,1371.0
528,2569.0
135,1552.0
277,1631.0
395,3641.0
1241,1170.0
1498,2772.0
545,5579.0
415,3933.0
805,3760.0
1674,1262.0
712,5532.0
567,5397.0
1325,2574.0
1083,1921.0
271,3495.0
893,3704.0
402,3456.0
1434,3116.0
551,3049.0
1971,2302.0
1869,1775.0
61,1335.0
1625,1485.0
265,3801.0
1502,2716.0
378,2332.0
1665,2693.0
1792,1256.0
576,3627.0
586,3910.0
1620,2509.0
159,3728.0
1231,2004.0
439,1405.0
1727,2374.0
520,5639.0
1046,1638.0
1983,2426.0
1236,1153.0
100,627.0
290,1163.0
759,4103.0
1143,2024.0
1398,678.0
204,2402.0
440,1346.0
1874,1370.0
384,2561.0
2025,2066.0
1051,1691.0
914,4002.0
1043,2113.0
1575,1551.0
665,6678.0
984,2468.0
1721,1538.0
154,3895.0
2005,2272.0
286,5160.0
1075,1829.0
242,1729.0
225,1290.0
2023,1324.0
1584,1264.0
1061,1582.0
1748,1037.0
1843,1809.0
641,2818.0
257,1478.0
1802,1211.0
217,2345.0
1626,1619.0
580,6007.0
293,3608.0
1776,2672.0
1989,5557.0
1021,5412.0
1920,1795.0
1719,1534.0
833,5687.0
1534,2900.0
1991,2107.0
1610,1587.0
1708,1090.0
1987,2522.0
276,3730.0
1692,2171.0
852,4172.0
483,2109.0
270,2130.0
446,1208.0
1352,2556.0
1854,1700.0
1036,2825.0
655,2457.0
248,3900.0
1266,1177.0
1876,1882.0
502,3608.0
1820,601.0
405,1721.0
132,1628.0
960,2198.0
584,3800.0
460,1625.0
540,2855.0
1313,2438.0
791,6756.0
1359,2785.0
1227,1318.0
680,2561.0
485,2525.0
1415,2851.0
577,4127.0
164,3519.0
616,2889.0
644,6958.0
109,773.0
389,2513.0
376,3344.0
1448,2646.0
60,1335.0
1768,1504.0
1548,1925.0
1668,2256.0
505,1424.0
417,2307.0
1797,2541.0
1007,2486.0
886,5691.0
536,2420.0
1204,4237.0
246,2549.0
1064,1702.0
475,3759.0
1955,1377.0
1354,2567.0
1712,2149.0
826,5510.0
981,2352.0
554,2496.0
529,5308.0
1482,1375.0
2004,2500.0
698,5500.0
1613,2803.0
764,3870.0
1826,541.0
342,1616.0
182,2196.0
1140,2408.0
1113,3013.0
956,4450.0
7,1066.0
332,3667.0
324,1230.0
1723,1550.0
612,5850.0
747,6858.0
630,4834.0
1347,2419.0
850,5661.0
1640,1385.0
1214,3101.0
1033,5415.0
1136,2374.0
681,6523.0
726,2313.0
1442,2219.0
1244,2217.0
1923,841.0
1232,1131.0
1972,2363.0
1345,2726.0
619,2581.0
355,1233.0
1862,1836.0
122,3505.0
1180,2035.0
1747,1234.0
1211,1102.0
1198,2599.0
1745,1569.0
102,1927.0
172,4991.0
1194,1077.0
1035,5883.0
1467,2832.0
1339,2703.0
1499,2641.0
78,1074.0
379,4814.0
147,2555.0
1201,2592.0
1142,2432.0
760,2358.0
1316,1363.0
1703,2393.0
288,1750.0
1930,2419.0
1543,1396.0
1022,6773.0
1463,2904.0
43,849.0
1276,2202.0
391,3025.0
226,1083.0
1220,9.0
664,6217.0
1539,1689.0
20,1283.0
598,5306.0
1126,2562.0
317,2692.0
1724,1378.0
331,3713.0
450,1067.0
1540,2315.0
83,796.0
768,4193.0
1464,2674.0
927,2325.0
982,5822.0
113,740.0
1076,1632.0
469,2507.0
1077,1717.0
632,4862.0
1511,1656.0
590,2537.0
932,2936.0
796,6885.0
1009,2238.0
885,6913.0
1961,2556.0
496,3895.0
985,5453.0
1469,4032.0
651,5241.0
1963,3597.0
1333,3038.0
911,3848.0
624,6778.0
1128,4061.0
772,5569.0
1828,522.0
1129,2890.0
739,6653.0
36,1084.0
823,2344.0
1714,1535.0
1431,2941.0
1070,1611.0
854,6319.0
825,2691.0
1255,1036.0
1524,3078.0
1743,2615.0
200,2975.0
1577,1088.0
879,2830.0
193,3941.0
1212,2087.0
870,5571.0
1536,4029.0
1185,2839.0
1733,2231.0
1609,1295.0
236,2689.0
298,2621.0
773,5622.0
669,2444.0
435,1205.0
678,4043.0
1505,3104.0
918,2345.0
1666,2805.0
1910,1339.0
1866,719.0
1623,3029.0
1912,1106.0
1259,2070.0
1377,721.0
1392,2076.0
318,1169.0
926,4263.0
1593,2473.0
1264,1986.0
784,5383.0
1737,1336.0
957,5241.0
1457,1337.0
1902,1719.0
221,3480.0
858,6876.0
523,4060.0
1088,1557.0
136,1813.0
1177,1995.0
1449,2927.0
1335,3777.0
1685,1594.0
591,4042.0
1569,2530.0
1055,772.0
1387,432.0
2031,790.0
1744,2476.0
1166,3915.0
93,915.0
1298,2785.0
1371,1820.0
1818,1115.0
719,4041.0
1424,2427.0
162,4786.0
1023,3055.0
1474,3124.0
1713,1511.0
503,1472.0
1346,2893.0
570,5566.0
1123,2617.0
2001,1259.0
1715,1596.0
812,2225.0
1163,2679.0
1753,2483.0
1964,2839.0
1478,2503.0
671,2237.0
898,2830.0
1001,2337.0
199,2636.0
560,5777.0
1759,1010.0
706,4018.0
1388,885.0
889,2520.0
675,4074.0
1694,2685.0
1507,2487.0
1154,1035.0
631,3793.0
79,1074.0
1545,2829.0
1079,1679.0
202,2906.0
1841,1561.0
1699,2802.0
951,5617.0
1190,1146.0
1833,1959.0
1777,1565.0
798,6818.0
1122,3822.0
702,2188.0
917,2593.0
723,3902.0
596,5577.0
303,2499.0
1175,2085.0
1509,1685.0
588,2427.0
249,3495.0
1380,635.0
449,922.0
353,3437.0
1141,2656.0
52,1529.0
369,3887.0
563,4183.0
1303,2388.0
660,5305.0
151,1643.0
1605,3075.0
1037,5473.0
701,2187.0
1994,5706.0
945,2320.0
166,2086.0
1091,1786.0
1702,2243.0
385,3742.0
530,1472.0
194,2279.0
867,7216.0
1986,2522.0
1863,1724.0
1319,2661.0
771,5655.0
315,3833.0
125,3802.0
1386,1973.0
1696,2493.0
1555,1246.0
725,2173.0
610,5786.0
1711,1104.0
745,5595.0
890,2311.0
622,7084.0
0,1169.0
1939,3088.0
173,3769.0
351,3614.0
1048,1729.0
229,3593.0
724,2578.0
251,2572.0
477,3875.0
696,4190.0
304,1684.0
1533,1886.0
1557,2857.0
1311,2628.0
1919,1866.0
1850,1956.0
444,2574.0
189,3517.0
1000,2561.0
532,5764.0
809,5520.0
282,3474.0
901,3731.0
1367,2758.0
609,5837.0
84,1192.0
227,2635.0
2012,1323.0
1886,2076.0
1178,2236.0
1475,2600.0
539,2679.0
634,2620.0
1278,1273.0
1418,1493.0
1378,1942.0
352,3632.0
751,3693.0
1615,2974.0
30,1275.0
222,3461.0
699,5303.0
8,1047.0
847,5617.0
534,2519.0
967,2551.0
892,5480.0
1822,701.0
1948,2532.0
599,5672.0
1675,2213.0
1795,2835.0
625,5672.0
28,2645.0
1068,1458.0
1292,2578.0
1810,1089.0
1301,2856.0
191,4788.0
555,5795.0
2013,2452.0
1355,2539.0
806,2705.0
195,2364.0
947,2312.0
1683,2535.0
1287,987.0
1250,1202.0
1191,2185.0
1976,3902.0
648,2591.0
1927,2461.0
1413,2992.0
815,3945.0
272,3396.0
171,3106.0
1155,3852.0
279,1628.0
562,2367.0
127,3397.0
1782,1268.0
743,1731.0
140,2442.0
1328,1027.0
1302,2404.0
1274,1124.0
73,915.0
364,3767.0
29,1210.0
1041,1939.0
779,2312.0
1662,2987.0
10,1226.0
1717,6878.0
1805,1044.0
474,4904.0
1490,3136.0
285,2059.0
1512,2594.0
1528,2610.0
1010,4092.0
1875,1807.0
749,3823.0
1112,2684.0
1107,4041.0
762,2563.0
902,2661.0
87,906.0
413,2287.0
97,736.0
473,2606.0
740,5621.0
686,5726.0
733,2755.0
1966,2674.0
488,2332.0
1915,2036.0
1553,1296.0
337,3782.0
1412,1377.0
381,3273.0
374,2391.0
264,3413.0
129,1295.0
57,1179.0
1579,2552.0
259,3599.0
429,2686.0
1808,2806.0
746,5760.0
744,1587.0
786,5855.0
254,3865.0
278,1632.0
350,3604.0
980,2506.0
1924,847.0
481,4982.0
484,2148.0
1487,3103.0
326,1151.0
553,2070.0
459,1622.0
142,2566.0
963,2204.0
1879,1928.0
1633,4266.0
546,5387.0
1706,2626.0
471,2482.0
1253,1208.0
451,970.0
1716,3909.0
180,1491.0
775,5648.0
238,1677.0
1916,2052.0
92,766.0
234,3786.0
1247,1058.0
1881,1368.0
863,5326.0
1695,2765.0
1769,1402.0
1432,2263.0
196,3686.0
1819,775.0
1217,2374.0
11,1297.0
836,5555.0
793,7150.0
594,2613.0
26,3623.0
1931,5003.0
235,3805.0
2016,2194.0
1026,5876.0
1295,1148.0
1081,1848.0
1495,2576.0
787,2418.0
1106,3845.0
1771,2473.0
1047,1908.0
1090,1848.0
509,3191.0
1590,1919.0
377,2295.0
95,829.0
1263,2067.0
818,3004.0
1868,1453.0
241,1768.0
386,3610.0
752,2187.0
1370,1944.0
637,5756.0
1628,2163.0
808,5582.0
1789,1447.0
838,5467.0
1595,2932.0
1016,6941.0
690,2409.0
1530,1987.0
718,4039.0
228,3821.0
1565,2510.0
1246,879.0
223,2518.0
1701,2785.0
255,3576.0
146,3610.0
1574,1253.0
419,3672.0
1749,1109.0
500,1677.0
1909,2224.0
915,2843.0
181,1380.0
1646,1229.0
1501,1285.0
314,4966.0
1884,1943.0
1447,1018.0
1394,853.0
261,1050.0
427,1365.0
1831,1742.0
1657,2569.0
294,3453.0
1411,1724.0
1218,2792.0
995,5276.0
82,796.0
1330,1028.0
17,1270.0
