X,Y,OBJECTID,Owner,Path,Source,Type,HIFLD_ID,Name,Max_Voltage,ZIP_CODE,STATE,COUNTY,CITY,Lon,Lat
-13608019.1834,4547328.302,1,Other,,CEC,SUBSTATION,310025,Jenney,115,94501,CA,Alameda County,Alameda,-122.242916190076,37.7724357154676
-13654155.8073,4616931.1615,2,PG&E,,CEC,SUBSTATION,306474,Corona,115,94954,CA,Sonoma County,Petaluma,-122.657368534231,38.2650127047925
-13539338.9708,4548179.7836,3,PG&E,,CEC,SUBSTATION,310124,South Bay 1,,94514,CA,Alameda County,Unincorporated,-121.62595134314,37.7784816101578
-13545044.8736,4543940.5804,4,PG&E,,CEC,SUBSTATION,306256,Altamont,60,94551,CA,Alameda County,Unincorporated,-121.677208340655,37.7483765023642
-13587799.2447,4535905.499,5,PG&E,,CEC,SUBSTATION,303892,Castro Valley,230,94546,CA,Alameda County,Unincorporated,-122.061277390173,37.6912809843576
-13606423.851,4557887.181,6,PG&E,,CEC,SUBSTATION,303608,Claremont,115,94618,CA,Alameda County,Oakland,-122.228585075864,37.8473734552127
-13582918.7645,4522479.6828,7,Other,,CEC,SUBSTATION,303469,Cryogenics,115,94587,CA,Alameda County,Union City,-122.017435290774,37.5957819341632
-13748979.7825,4879615.9929,8,PG&E,,CEC,SUBSTATION,307419,Kekawaka,60,95595,CA,Trinity County,Unincorporated,-123.509186796409,40.0940307349166
-13587427.73,4517031.2912,9,PG&E,,CEC,SUBSTATION,307780,Dumbarton,115,94555,CA,Alameda County,Fremont,-122.057940016855,37.556992018214
-13593958.9777,4526596.5433,10,PG&E,East Bay,CEC,SUBSTATION,301389,Eastshore,230,94545,CA,Alameda County,Hayward,-122.116611213831,37.6250785878158
-13602551.4901,4542576.8933,11,PG&E,,CEC,SUBSTATION,303133,Edes,115,94603,CA,Alameda County,Oakland,-122.193799065496,37.7386895431528
-13576742.9963,4514836.8731,12,PG&E,,CEC,SUBSTATION,302108,Fremont,115,94538,CA,Alameda County,Fremont,-121.961957421571,37.5413631140401
-13574235.0932,4508146.2269,13,Other,,CEC,SUBSTATION,305808,Nummi,115,94538,CA,Alameda County,Fremont,-121.939428544419,37.4936913182854
-13598737.6408,4533090.5317,14,PG&E,,CEC,SUBSTATION,303596,Grant,115,94579,CA,Alameda County,San Leandro,-122.159538674361,37.6712680392574
-13608336.2025,4561948.09,15,Other,,CEC,SUBSTATION,305871,Grizzly,115,94720,CA,Alameda County,Oakland,-122.245764021398,37.8761740015629
-13562262.4889,4532623.3478,16,PG&E,,CEC,SUBSTATION,308301,Luka,60,94566,CA,Alameda County,Unincorporated,-121.831876810504,37.6679460836703
-13582925.016,4522413.4567,17,PG&E,,CEC,,306175,Air Liquide,115,94587,CA,Alameda County,Union City,-122.01749144961,37.5953105578757
-13570625.6616,4538332.8379,18,Other,,CEC,SUBSTATION,303791,Kaiser,,94568,CA,Alameda County,Dublin,-121.907004468928,37.7085337583635
-13551282.7869,4537248.0944,19,PG&E,,CEC,SUBSTATION,301848,Las Positas,230,94551,CA,Alameda County,Livermore,-121.733244469123,37.7008242328294
-13556543.7862,4534322.5639,20,PG&E,,CEC,SUBSTATION,307237,Livermore,60,94551,CA,Alameda County,Livermore,-121.780504829751,37.6800278079613
-13592315.5566,4527577.8488,21,PG&E,East Bay,CEC,SUBSTATION,305785,Mt. Eden,,94545,CA,Alameda County,Hayward,-122.101848110592,37.6320601100397
-13579448.6166,4509153.9051,22,PG&E,,CEC,SUBSTATION,306611,Newark,230,94538,CA,Alameda County,Fremont,-121.986262422237,37.5008731153781
-13569161.3564,4538770.4334,23,PG&E,,CEC,SUBSTATION,305695,Parks,,94568,CA,Alameda County,Dublin,-121.893850391487,37.7116436247963
-13565340.6075,4533271.5314,24,PG&E,,CEC,SUBSTATION,300539,Radum,60,94566,CA,Alameda County,Pleasanton,-121.85952801976,37.6725550146511
-13538670.2142,4551078.0663,25,PG&E,,CEC,SUBSTATION,302831,Ralph,,94514,CA,Alameda County,Unincorporated,-121.619943800618,37.7990569898635
-13596333.972,4508044.7608,26,PG&E,,CEC,SUBSTATION,308197,Ravenswood,230,94025,CA,San Mateo County,Menlo Park,-122.137946150405,37.4929681240831
-13597474.1263,4538627.067,27,PG&E,,CEC,SUBSTATION,304946,San Leandro U,115,94578,CA,Alameda County,San Leandro,-122.148188330931,37.7106247749454
-13604855.331,4545999.3052,28,PG&E,,CEC,SUBSTATION,306989,Oakland J,115,94621,CA,Alameda County,Oakland,-122.214494820978,37.762998264281
-13566471.1661,4521232.2583,29,PG&E,,CEC,SUBSTATION,306148,Sunol,,94586,CA,Alameda County,Unincorporated,-121.869684001036,37.5869026582872
-13532538.0762,4538876.3597,30,PG&E,15X,CEC,SUBSTATION,305530,Tesla,500,95377,CA,Alameda County,Unincorporated,-121.564857867683,37.7123963931528
-13563464.0945,4524371.2126,31,PG&E,,CEC,SUBSTATION,300606,Vallecitos,,94586,CA,Alameda County,Unincorporated,-121.842671017308,37.6092439871984
-13549349.2199,4538696.6451,32,PG&E,,CEC,SUBSTATION,306744,Vasco,60,94551,CA,Alameda County,Livermore,-121.715874941143,37.711119241469
-13564773.9437,4532868.502,33,PG&E,,CEC,SUBSTATION,306816,Vineyard,,94566,CA,Alameda County,Pleasanton,-121.854437592466,37.669689294754
-13449854.4248,4637332.9083,34,PG&E,,CEC,SUBSTATION,306187,Amfor,60,95685,CA,Amador County,Unincorporated,-120.822097989391,38.4087669994302
-13462420.4345,4627879.291,35,PG&E,,CEC,SUBSTATION,300035,Clay,60,95640,CA,Amador County,Ione,-120.93498037585,38.3421906119132
-13464932.8454,4632380.978,36,Other,,CEC,SUBSTATION,300305,Ione,60,95640,CA,Amador County,Unincorporated,-120.957549746726,38.3739010435691
