Impacted Circuit,Total Customers,Residential Customers,Commercial / Industrial Customers,Medical Baseline Customers,Other Customers
BANGOR 1101,"2,290","2,021",231,150,38
BUTTE 1105,190,173,15,8,2
"CLARK ROAD
1101",13,0,13,0,0
"CLARK ROAD
11024","1,039",902,116,61,21
"MONTICELLO
1101","1,330","1,097",187,50,46
"NOTRE
DAME 1104",223,190,30,6,3
"ORO FINO
1101","2,281","2,208",71,221,2
"OROVILLE
0402",355,203,152,9,0
"OROVILLE
0403",245,211,33,12,1
"OROVILLE
1101","2,443","2,103",326,201,14
"OROVILLE
1102",651,427,224,44,0
"OROVILLE
1103",510,471,38,48,1
"OROVILLE
1104","1,269","1,150",119,93,0
"PARADISE
1103",737,518,218,28,1
"PARADISE
1104",670,566,104,40,0
"PUTAH
CREEK 1102",276,201,50,9,25
"WYANDOTTE
1102",146,72,63,5,11
"WYANDOTTE
1103","1,602","1,466",127,118,9
"WYANDOTTE
1106",164,135,12,12,17
"WYANDOTTE
1107","1,912","1,785",102,144,25
"WYANDOTTE
1109","2,171","1,933",204,212,34
