Circuit Name,De-Energization Date and Time (PDT),Restoration Date and Time (PDT),Counties,HFTD Tier(s),Total Customers,Residential Customers,Commercial / Industrial Customers,Medical Baseline Customers,Other Customers
ALLEGHANY 1101*,9/7/20 21:57,9/10/20 16:31,"ALLEGHANY,
DOWNIEVILLE,
GOODYEARS BAR,
SIERRA CITY","Partially
Outside
HFTD,
Tier 3,
Tier 2",1028,865,161,22,2
ALLEGHANY 1102*,9/7/20 21:57,9/9/20 15:28,"ALLEGHANY,
WASHINGTON",Tier 3,151,127,24,3,0
ALPINE 1101*,9/7/20 23:03,9/9/20 17:34,"ANGELS CAMP,
BEAR VALLEY","Partially
Outside
HFTD",276,271,5,2,0
ALPINE 1102*,9/7/20 23:03,9/9/20 17:33,"ANGELS CAMP,
BEAR VALLEY","Partially
Outside
HFTD",303,269,34,4,0
ANTLER 1101,9/8/20 01:08,9/9/20 10:08,LAKEHEAD,"Partially
Outside
HFTD,
Tier 3,
Tier 2",913,771,126,53,16
APPLE HILL 1103,9/8/20 01:15,9/9/20 16:06,"CAMINO,
PLACERVILLE","Partially
Outside
HFTD,
Tier 3,
Tier 2",1260,1094,160,74,6
APPLE HILL 1104,9/8/20 01:13,9/9/20 14:24,"CAMINO,
PLACERVILLE,
POLLOCK PINES","Partially
Outside
HFTD,
Tier 3,
Tier 2",2413,2232,171,157,10
APPLE HILL 2102,9/8/20 01:08,9/9/20 18:00,"CAMINO, FAIR
PLAY, GRIZZLY
FLATS, MOUNT
AUKUM,
PLACERVILLE,
POLLOCK PINES,
SOMERSET","Partially
Outside
HFTD,
Tier 3,
Tier 2",4375,3999,336,292,40
BANGOR 1101*,9/7/20 16:55,9/11/20 16:04,"BROWNSVILLE,
DOBBINS, OREGON
HOUSE, RACKERBY","Tier 3,
Tier 2",291,263,26,21,2
BIG BEND 1101*,9/7/20 15:34,9/10/20 18:01,OROVILLE,"Tier 3,
Tier 2",234,208,24,16,2
BIG BEND 1102*,9/7/20 22:34,"Not restored due to
fire access issues",BERRY CREEK,Tier 3,318,277,35,11,6
BIG MEADOWS 2101,9/7/20 21:53,9/9/20 17:02,"ALMANOR,
CANYON DAM,
CHESTER,
GREENVILLE,
LAKE ALMANOR,
PRATTVILLE,
WESTWOOD","Partially
Outside
HFTD,
Tier 2",2538,2270,264,94,4
BONNIE NOOK 1101*,9/7/20 23:27,9/9/20 13:20,"ALTA, COLFAX,
DUTCH FLAT,
GOLD RUN",Tier 3,486,413,65,19,8
BONNIE NOOK 1102*,9/7/20 23:27,9/9/20 14:50,ALTA,Tier 3,521,453,61,20,7
BRIDGEVILLE 1101*,9/8/20 00:16,9/10/20 16:21,BRIDGEVILLE,"Partially
Outside
HFTD,
Tier 3,
Tier 2",86,69,12,4,5
BRIDGEVILLE 1102*,9/8/20 00:27,9/10/20 19:48,"BLOCKSBURG,
BRIDGEVILLE,
CARLOTTA","Partially
Outside
HFTD,
Tier 3,
Tier 2",262,219,28,11,15
BRUNSWICK 1102,9/7/20 22:09,9/9/20 16:57,"GRASS VALLEY,
NEVADA CITY","Partially
Outside
HFTD,
Tier 3,
Tier 2",1378,800,578,62,0
BRUNSWICK 1103,9/7/20 15:09,9/9/20 18:50,NEVADA CITY,"Partially
Outside
HFTD,
Tier 3,
Tier 2",3177,2459,706,107,12
BRUNSWICK 1104,9/7/20 15:09,9/9/20 18:08,"GRASS VALLEY,
NEVADA CITY","Partially
Outside
HFTD,
Tier 3,
Tier 2",2508,2176,330,143,2
BRUNSWICK 1105,9/7/20 22:10,9/9/20 17:03,"GRASS VALLEY,
NEVADA CITY","Partially
Outside
HFTD,
Tier 3,
Tier 2",3675,3403,266,218,6
BRUNSWICK 1106,9/7/20 22:10,9/9/20 18:54,GRASS VALLEY,"Partially
Outside
HFTD,
Tier 3,
Tier 2",4480,4257,212,279,11
BRUNSWICK 1107,9/7/20 15:10,9/9/20 17:23,GRASS VALLEY,"Partially
Outside
HFTD,
Tier 3,
Tier 2",2650,2248,394,155,8
BRUNSWICK 1110,9/7/20 15:10,9/9/20 17:03,"GRASS VALLEY,
NEVADA CITY","Partially
Outside
HFTD,
Tier 2",3048,2643,402,179,3
BUCKS CREEK 1101*,9/7/20 21:53,9/10/20 19:06,"OROVILLE,
STORRIE","Tier 3,
Tier 2",4,0,3,0,1
BUCKS CREEK 1102*,9/7/20 21:53,9/10/20 13:33,"BELDEN, QUINCY,
STORRIE","Tier 3,
Tier 2",120,52,66,4,2
BUCKS CREEK 1103*,9/7/20 21:53,9/10/20 16:51,QUINCY,"Tier 3,
Tier 2",311,262,49,5,0
BURNEY 1101,9/8/20 02:09,9/9/20 13:07,"BURNEY, CASSEL,
JOHNSON PARK","Partially
Outside
HFTD,
Tier 2",1761,1527,205,143,29
BURNEY 1102,9/8/20 02:09,9/9/20 13:11,BURNEY,"Partially
Outside
HFTD,
Tier 2",522,392,126,39,4
BUTTE 1105*,9/7/20 22:33,9/9/20 19:45,CHICO,"Tier 3,
Tier 2",266,245,19,19,2
CAL WATER 1102*,9/8/20 19:13,9/9/20 12:12,BAKERSFIELD,"Partially
Outside
HFTD,
Tier 2",13,0,10,0,3
CALISTOGA 1101*,9/7/20 20:08,9/10/20 11:50,CALISTOGA,"Partially
Outside
HFTD,
Tier 3,
Tier 2",1549,1220,227,52,102
CALISTOGA 1102*,9/7/20 21:22,9/9/20 16:59,CALISTOGA,"Partially
Outside
HFTD,
Tier 3,
Tier 2",919,678,177,20,64
CEDAR CREEK 1101,9/8/20 00:03,9/10/20 15:33,"BELLA VISTA, BIG
BEND,
MONTGOMERY
CREEK, OAK RUN,
ROUND MOUNTAIN","Tier 3,
Tier 2",731,650,75,49,6
CHALLENGE 1101,9/7/20 21:43,"Not restored due to
fire access issues","CHALLENGE,
CLIPPER MILLS, LA
PORTE,
STRAWBERRY
VALLEY","Tier 3,
Tier 2",668,576,92,39,0
CHALLENGE 1102,9/7/20 21:43,9/11/20 17:25,"BROWNSVILLE,
CHALLENGE,
DOBBINS,
FORBESTOWN","Tier 3,
Tier 2",827,723,102,73,2
CHESTER 1101*,9/7/20 21:53,9/9/20 16:35,CHESTER,"Partially
Outside
HFTD,
Tier 2",939,741,197,41,1
CHESTER 1102*,9/7/20 21:53,9/9/20 16:36,CHESTER,"Partially
Outside
HFTD,
Tier 2",651,506,143,29,2
CLARK ROAD 1102,9/7/20 22:02,9/10/20 17:43,"OROVILLE,
PARADISE","Partially
Outside
HFTD,
Tier 3,
Tier 2",1093,944,127,90,22
"COLUMBIA HILL
1101*",9/7/20 15:26,9/9/20 15:36,"CAMPTONVILLE,
NEVADA CITY,
NORTH SAN JUAN","Tier 3,
Tier 2",1126,986,126,84,14
"CRESCENT MILLS
2101",9/7/20 21:39,9/9/20 18:31,"CRESCENT MILLS,
GREENVILLE,
TAYLORSVILLE","Partially
Outside
HFTD,
Tier 2",838,689,119,50,30
CURTIS 1701,9/7/20 18:05,9/8/20 19:27,SONORA,"Partially
Outside
HFTD,
Tier 2",1792,1213,571,114,8
CURTIS 1702,9/7/20 23:08,9/9/20 14:03,"SONORA,
SOULSBYVILLE,
TUOLUMNE","Partially
Outside
HFTD,
Tier 3,
Tier 2",4307,3808,486,366,13
CURTIS 1703,9/7/20 23:10,9/9/20 15:48,"GROVELAND,
JAMESTOWN,
SONORA","Partially
Outside
HFTD,
Tier 3,
Tier 2",3734,3171,535,233,28
CURTIS 1704,9/7/20 23:05,9/9/20 14:11,"COLUMBIA,
SONORA","Partially
Outside
HFTD,
Tier 3,
Tier 2",2492,2188,290,214,14
CURTIS 1705,9/7/20 23:14,9/9/20 11:34,"SONORA,
SOULSBYVILLE,
TUOLUMNE","Partially
Outside
HFTD,
Tier 3,
Tier 2",2742,2298,438,266,6
DESCHUTES 1101*,9/8/20 00:56,9/9/20 08:58,OAK RUN,"Tier 3,
Tier 2",24,23,1,1,0
