Circuit Name,HFTD Tier(s),De-Energization Date and Time (PDT),Counties,Restoration Date and Time (PDT),,,,,,,,
ALLEGHANY 1101,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
02:24","SIERRA CITY,
DOWNIEVILLE,
ALLEGHANY,
GOODYEARS BAR","10/12/2019
12:57",,,,,,,,
ALLEGHANY 1102,TIER 3,"10/09/2019
02:24","WASHINGTON,
ALLEGHANY","10/11/2019
18:03",,,,,,,,
ALPINE 1101,NON-HFTD,"10/09/2019
15:14","BEAR VALLEY,
ANGELS CAMP",43750,,,,,,,,
ALPINE 1102,NON-HFTD,"10/09/2019
15:14","BEAR VALLEY,
ANGELS CAMP","10/11/2019
18:20",,,,,,,,
ALTO 1120*,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:19",MILL VALLEY,"10/10/2019
15:25",,,,,,,,
ALTO 1125*,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:27","MILL VALLEY, MUIR
BEACH","10/11/2019
10:52",,,,,,,,
ANDERSON 1101,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:36","ANDERSON,
COTTONWOOD","10/11/2019
09:58",,,,,,,,
ANDERSON 1102,NON-HFTD,"10/09/2019
01:36",ANDERSON,"10/10/2019
21:09",,,,,,,,
ANDERSON 1103,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:36","ANDERSON, REDDING","10/11/2019
16:58",,,,,,,,
ANITA 1106*,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:17",CHICO,"10/10/2019
17:34",,,,,,,,
ANNAPOLIS 1101,TIER 2,"10/09/2019
02:50","ANNAPOLIS,
STEWARTS POINT","10/11/2019
11:27",,,,,,,,
APPLE HILL 1103,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
03:33","PLACERVILLE,
CAMINO","10/11/2019
17:09",,,,,,,,
APPLE HILL 2102i,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
03:33","SOMERSET,
PLACERVILLE, MOUNT
AUKUM, CAMINO,
POLLOCK PINES,
GRIZZLY FLATS, FAIR
PLAY","10/11/2019
17:55",,,,,,,,
ARBUCKLE 1103,NON-HFTD,"10/09/2019
00:27",ARBUCKLE,"10/09/2019
22:02",,,,,,,,
ARBUCKLE 1104,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:27","ARBUCKLE,
DUNNIGAN","10/10/2019
15:30",,,,,,,,
ARCATA 1105,NON-HFTD,"10/09/2019
00:52","MCKINLEYVILLE,
ARCATA","10/10/2019
02:37",,,,,,,,
ARCATA 1106,NON-HFTD,"10/09/2019
00:47",ARCATA,"10/10/2019
03:55",,,,,,,,
ARCATA 1121,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:52",ARCATA,"10/10/2019
01:58",,,,,,,,
ARCATA 1122,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:52","ARCATA, BAYSIDE,
EUREKA, KNEELAND","10/10/2019
03:00",,,,,,,,
ARCATA 1123,NON-HFTD,"10/09/2019
00:52",ARCATA,"10/10/2019
02:44",,,,,,,,
ARVIN 1101,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/10/2019
09:47","ARVIN, BAKERSFIELD","10/11/2019
16:00",,,,,,,,
AUBURN 1101,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
03:25",AUBURN,"10/10/2019
20:12",,,,,,,,
