Distribution / Transmission,Circuit Name,DeEnergization Date and Time,All-Clear Date and Time,Restoration Date and Time,Key Communities,HFTD Tier(s),Total Customers,Residential,Commercial/Industrial,Medical Baseline,AFN other than MBL,Other
Distribution,ANDERSON 1103*,11/10/21 06:20,11/10/21 17:45,12/10/21 09:18,SHASTA,"Partially Outside HFTD, Tier 2",68,63,2,7,25,3
Distribution,ANTELOPE 1101*,11/10/21 07:22,12/10/21 10:23,12/10/21 12:24,KERN,"Partially Outside HFTD, Tier 2",7,1,6,0,0,0
Distribution,ARBUCKLE 1101*,11/10/21 06:51,12/10/21 12:20,12/10/21 15:06,COLUSA,Outside HFTD,3,2,0,0,0,1
Distribution,ARBUCKLE 1104*,11/10/21 07:01,12/10/21 12:20,12/10/21 15:40,"YOLO, COLUSA","Partially Outside HFTD, Tier 2",12,8,3,0,1,1
Distribution,AVENAL 2101*,11/10/21 07:35,12/10/21 10:23,12/10/21 17:46,KINGS,Outside HFTD,4,0,4,0,0,0
Distribution,BIG BEND 1101,11/10/21 04:02,12/10/21 07:22,12/10/21 11:28,BUTTE,"Tier 3, Tier 2",264,238,24,17,93,2
Distribution,BRENTWOOD 2105*,11/10/21 09:11,12/10/21 12:53,12/10/21 17:26,CONTRA COSTA,"Partially Outside HFTD, Tier 2",73,34,32,3,4,7
Distribution,BUCKS CREEK 1103,11/10/21 04:23,12/10/21 07:22,12/10/21 15:20,PLUMAS,"Partially Outside HFTD, Tier 3, Tier 2",314,263,51,4,6,0
Distribution,CALISTOGA 1101*,11/10/21 07:11,12/10/21 12:02,12/10/21 15:56,NAPA,"Tier 3, Tier 2",88,62,22,0,6,4
Distribution,CALPINE 1144,11/10/21 08:01,12/10/21 12:02,14/10/21 15:22,"SONOMA, LAKE","Partially Outside HFTD, Tier 3, Tier 2",15,2,13,0,0,0
Distribution,CALPINE 1146,11/10/21 08:01,12/10/21 12:02,14/10/21 15:22,"SONOMA, LAKE",Outside HFTD,0,0,0,0,0,0
Distribution,CAMBRIA 1102*,11/10/21 12:40,12/10/21 08:53,12/10/21 14:41,SAN LUIS OBISPO,"Partially Outside HFTD, Tier 2",28,23,5,0,5,0
Distribution,CANTUA 1103*,11/10/21 07:28,12/10/21 10:23,12/10/21 17:16,FRESNO,Outside HFTD,2,0,2,0,0,0
Distribution,CARBONA 1101*,11/10/21 08:46,12/10/21 12:53,12/10/21 14:55,SAN JOAQUIN,Outside HFTD,2,0,1,0,0,1
Distribution,CHOLAME 2102*,11/10/21 07:27,12/10/21 08:53,12/10/21 12:49,"MONTEREY, SAN LUIS OBISPO","Partially Outside HFTD, Tier 2",33,16,15,1,2,2
Distribution,CLARK ROAD 1102*,11/10/21 04:07,12/10/21 07:22,12/10/21 10:58,BUTTE,"Partially Outside HFTD, Tier 3, Tier 2",480,419,54,50,101,7
Distribution,CLAYTON 2212*,11/10/21 08:58,12/10/21 12:53,12/10/21 15:51,CONTRA COSTA,"Partially Outside HFTD, Tier 3, Tier 2",522,433,84,53,57,5
Distribution,CLOVERDALE 1102*,11/10/21 06:35,12/10/21 07:22,12/10/21 10:52,SONOMA,"Tier 3, Tier 2",38,23,7,1,0,8
Distribution,COALINGA NO 1 1108*,11/10/21 07:48,12/10/21 10:23,12/10/21 18:31,FRESNO,Outside HFTD,77,53,18,3,7,6
Distribution,COALINGA NO 1 1109*,11/10/21 07:29,12/10/21 10:23,12/10/21 20:08,FRESNO,Outside HFTD,6,0,5,0,0,1
Distribution,COALINGA NO 2 1105*,11/10/21 07:22,12/10/21 10:23,12/10/21 15:58,FRESNO,Outside HFTD,87,60,19,3,13,8
Distribution,CORNING 1101*,11/10/21 01:40,11/10/21 19:43,12/10/21 12:06,TEHAMA,"Partially Outside HFTD, Tier 2",895,807,73,104,439,15
Distribution,CORNING 1102*,11/10/21 01:34,11/10/21 19:43,12/10/21 15:20,TEHAMA,"Partially Outside HFTD, Tier 2",292,231,51,15,77,10
Distribution,CORTINA 1101*,11/10/21 06:57,12/10/21 12:20,12/10/21 14:49,COLUSA,Tier 2,8,4,4,1,2,0
