Circuit Name,Total Customers,Residential Customers,Commercial / Industrial Customers,Medical Baseline Customers,Other Customers
"ALHAMBRA-
1105",1712,1588,120,80,4
"ALHAMBRA
1105",1699,1573,122,80,4
"ALLEGHANY
1101",1037,875,160,11,2
"ALLEGHANY
1102",152,128,24,3,0
ALPINE 1101,277,272,5,0,0
ALPINE 1102,304,270,34,1,0
ALTO 1120,4152,3779,370,70,3
ALTO 1121,2483,2276,203,35,4
ALTO 1122,2845,2592,250,31,3
ALTO 1123,4693,4284,396,63,13
ALTO 1124,4011,3573,438,43,0
ALTO 1125,3924,3705,217,48,2
"ANDERSON
1101",1612,1411,196,113,5
"ANDERSON
1102",1323,974,341,60,8
"ANDERSON
1103",886,783,91,50,12
ANITA 1106,65,60,2,1,3
"ANNAPOLIS
1101",218,161,47,5,10
ANTLER 1101,919,779,124,37,16
"APPLE HILL
1103",1256,1090,160,61,6
"APPLE HILL
1104",2205,2027,168,107,10
"APPLE HILL
2102",4379,4006,333,215,40
"ARBUCKLE
1104",13,9,3,0,1
ARCATA 1105,4000,3782,173,89,45
ARCATA 1106,1482,1281,178,28,23
ARCATA 1121,2705,2336,343,36,26
ARCATA 1122,3089,2709,351,77,29
ARCATA 1123,185,119,56,1,10
"ARLINGTON
0401",137,134,3,1,0
"AUBERRY
1101",3183,2854,312,189,17
"AUBERRY
1102",1587,1449,131,116,7
AUBURN 1101,706,533,172,19,1
AUBURN 1102,1372,1186,183,28,3
BANGOR 1101,2299,2030,232,157,37
BASALT 1106,119,24,57,1,38
"BAY
MEADOWS
2102",1133,1089,43,22,1
"BEAR
VALLEY 2101",1130,922,193,44,15
"BEAR
VALLEY 2105",1199,1041,149,61,9
BELL 1107,855,803,41,34,11
BELL 1108,1859,1753,90,96,16
BELL 1109,352,312,38,19,2
BELL 1110,63,58,4,2,1
"BELLEVUE
1102",134,93,34,3,7
"BELLEVUE
2103",1104,896,144,27,64
"BELMONT
1103",1994,1906,88,19,0
"BELMONT
1110",706,684,22,7,0
"BEN
LOMOND
0401",744,681,62,43,1
"BEN
LOMOND 1101",727,699,27,37,1
"BERESFORD
0403",579,555,24,12,0
"BIG BASIN
1101",2347,2150,191,129,6
"BIG BASIN
1102",1798,1653,141,99,4
"BIG BEND
1101",192,169,21,10,2
"BIG BEND
1102",366,324,36,16,6
"BIG LAGOON
1101",145,126,15,2,4
"BIG RIVER
1101",2530,2052,465,62,13
"BIG TREES
0402",857,803,54,41,0
"BLUE LAKE
1101",77,33,26,1,18
"BLUE LAKE
1102",1826,1608,208,60,10
BOLINAS 1101,1596,1420,172,21,4
"BONNIE
NOOK 1101",496,421,67,14,8
"BONNIE
NOOK 1102",522,454,61,15,7
BOSTON 0401,189,184,5,3,0
"BRENTWOOD
SUB 2105",72,34,32,2,6
"BRIDGEVILL
E 1101",86,72,11,3,3
"BRIDGEVILL
E 1102",264,222,27,9,15
"BROWNS
VALLEY 1101",569,494,68,36,7
"BRUNSWICK
1102",1378,796,582,43,0
"BRUNSWICK
1103",3198,2477,713,62,8
"BRUNSWICK
1104",2521,2185,334,90,2
"BRUNSWICK
1105",3666,3395,265,166,6
"BRUNSWICK
1106",4474,4253,210,211,11
"BRUNSWICK
1107",2657,2259,390,104,8
"BRUNSWICK
1110",3074,2665,406,141,3
BRYANT 0401,184,155,29,5,0
BRYANT 0402,586,573,13,16,0
"BUCKS
CREEK 1101",4,0,3,0,1
"BUCKS
CREEK 1102",123,55,66,3,2
"BUCKS
CREEK 1103",314,264,50,1,0
BURNS 2101,28,28,0,1,0
BUTTE 1105,230,209,19,10,2
"CALAVERAS
CEMENT 1101",3292,2746,521,172,25
"CALISTOGA
1101",1551,1218,234,26,99
"CALISTOGA
1102",2115,1622,426,31,67
"CALPELLA
1101",1464,1268,177,50,19
"CALPELLA
1102",1232,934,280,49,18
"CALWATER
1102",13,0,10,0,3
"CAMP EVERS
2103",3235,2990,223,179,22
"CAMP EVERS
2104",1623,1525,96,83,2
"CAMP EVERS
2105",3649,3428,219,215,2
"CAMP EVERS
2106",4677,4273,392,265,12
"CAMPHORA
1101",327,111,99,2,117
"CARLOTTA
1121",1077,942,105,43,30
"CAROLANDS
0404",945,919,26,20,0
"CARQUINEZ
1103",3424,2891,528,85,5
"CARQUINEZ
1104",46,27,19,1,0
"CARQUINEZ
1105",2837,2479,355,89,3
"CASTRO
VALLEY 1101",1239,1216,23,33,0
"CASTRO
VALLEY 1104",1908,1848,60,58,0
"CASTRO
VALLEY 1106",2090,2010,77,80,3
"CASTRO
VALLEY 1108",2790,2632,150,83,8
"CASTRO
VALLEY 1111",1378,1315,63,36,0
"CAYETANO
2109",246,157,73,9,16
"CAYETANO
2111",38,29,6,3,3
"CEDAR
CREEK 1101",732,649,78,41,5
"CHALLENGE
1101",671,577,94,12,0
"CHALLENGE
1102",822,712,107,52,3
"CLARK ROAD
1101",15,0,15,0,0
"CLARK ROAD
1102",1053,909,122,64,22
