Circuit Name,Total Customers,Residential Customers,Commercial / Industrial Customers,Medical Baseline Customers,Other Customers
ANDERSON 1103,436,389,38,26,9
ARBUCKLE 1104,13,9,3,0,1
CALISTOGA 1101,1548,1214,234,26,100
CALISTOGA 1102,2113,1620,426,31,67
"CEDAR CREEK
1101",490,444,42,29,4
CLOVERDALE 1102,15,14,0,1,1
CORTINA 1101,8,4,4,1,0
"COTTONWOOD
1103",1490,1390,78,102,22
DESCHUTES 1101,904,831,58,46,15
DESCHUTES 1104,491,445,30,24,16
DUNBAR 1101,136,106,21,2,9
DUNBAR 1103,148,113,31,0,4
ELK CREEK 1101,849,685,137,36,27
FULTON 1107,378,220,152,9,6
GIRVAN 1101,1266,1130,131,72,5
GLENN 1101,5,3,1,0,1
HIGHLANDS 1102,3399,3023,363,254,13
HIGHLANDS 1103,2426,2118,274,139,34
HIGHLANDS 1104,2710,2488,217,211,5
HOPLAND 1101,162,124,30,9,8
JESSUP 1101,1710,1552,155,127,3
JESSUP 1102,1520,1466,54,114,0
JESSUP 1103,360,322,35,27,3
KANAKA 1101,41,29,10,3,2
"LOGAN CREEK
2102",9,4,3,0,2
MADISON 2101,341,229,50,6,62
"MIDDLETOWN
1101",1907,1598,286,65,23
"MIDDLETOWN
1102",1817,1613,191,83,13
"MIDDLETOWN
1103",145,97,36,3,12
MONTICELLO 1101,1334,1097,190,51,47
"OREGON TRAIL
1103",138,129,7,13,2
"OREGON TRAIL
1104",67,65,1,3,1
PANORAMA 1101,772,758,14,66,0
PANORAMA 1102,215,163,34,15,18
PUEBLO 1104,611,499,94,9,18
PUEBLO 1105,449,299,88,12,62
PUEBLO 2102,220,149,42,2,29
PUEBLO 2103,181,121,34,3,26
"PUTAH CREEK
1102",9,0,9,0,0
RED BLUFF 1101,745,707,28,58,10
RED BLUFF 1103,212,198,13,14,1
RED BLUFF 1104,852,741,87,50,24
RED BLUFF 1105,936,874,48,61,14
REDBUD 1101,9,8,1,0,0
RINCON 1101,3471,3254,202,162,15
RINCON 1103,2013,1913,85,79,15
"SANTA ROSA A
1104",428,202,218,11,8
SILVERADO 2102,986,515,254,3,217
SILVERADO 2103,362,239,61,0,62
SILVERADO 2104,2372,1994,237,64,141
SILVERADO 2105,921,743,108,14,70
TYLER 1105,763,653,69,55,41
VACAVILLE 1108,78,45,28,0,5
VOLTA 1101,1277,1072,175,38,30
VOLTA 1102,2513,2348,154,178,11
WHITMORE 1101,190,172,15,8,3
WYANDOTTE 1103,241,215,23,17,3
