time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-14,10.4,6.7,17.4,0.0,,30.0,4.5,,1026.7,
2021-01-15,10.9,3.6,20.0,0.0,,26.0,5.7,,1025.1,
2021-01-16,10.9,5.7,18.3,0.0,,88.0,4.0,,1021.6,
2021-01-17,11.7,5.0,20.9,0.0,,10.0,5.1,,1018.7,
2021-01-18,12.1,6.3,20.3,0.0,,321.0,6.9,,1012.3,
2021-01-19,11.8,6.8,18.7,0.0,,317.0,9.7,,1010.7,
2021-01-20,9.5,2.4,18.1,0.0,,341.0,5.7,,1018.7,
2021-01-21,10.3,2.1,19.3,0.0,,101.0,6.9,,1017.6,
2021-01-22,8.9,6.5,12.8,5.8,,103.0,7.0,,1013.4,
2021-01-23,8.0,5.3,12.6,1.2,,334.0,8.0,,1013.5,
