time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-24 19:00:00,20.6,-8.8,13.0,0.0,,,,,1020.0,,
2019-10-24 20:00:00,20.6,-9.8,12.0,0.0,,90.0,14.8,,1019.9,,
2019-10-24 21:00:00,21.1,-8.4,13.0,0.0,,,7.6,,1019.3,,
2019-10-24 22:00:00,21.1,-10.5,11.0,0.0,,,9.4,,1018.6,,
2019-10-24 23:00:00,21.1,-9.4,12.0,0.0,,,5.4,,1018.6,,
2019-10-25 00:00:00,20.0,-9.3,13.0,0.0,,,0.0,,1019.1,,
2019-10-25 01:00:00,18.3,-10.6,13.0,,,70.0,11.2,,1019.7,,
2019-10-25 02:00:00,17.2,-10.6,14.0,,,,9.4,,1020.0,,
2019-10-25 03:00:00,16.1,-11.4,14.0,,,,11.2,,1020.8,,
2019-10-25 04:00:00,16.1,-11.4,14.0,,,60.0,11.2,,1020.7,,
2019-10-25 05:00:00,16.1,-12.4,13.0,,,,11.2,,1020.2,,
2019-10-25 06:00:00,17.2,-12.5,12.0,,,40.0,7.6,,1019.4,,
2019-10-25 07:00:00,16.1,-11.4,14.0,0.0,,60.0,5.4,,1019.6,,
2019-10-25 08:00:00,16.1,-11.4,14.0,,,50.0,7.6,,1019.6,,
2019-10-25 09:00:00,17.2,-11.5,13.0,0.0,,50.0,5.4,,1018.8,,
2019-10-25 10:00:00,16.1,-11.4,14.0,0.0,,60.0,5.4,,1019.1,,
2019-10-25 11:00:00,16.7,-11.0,14.0,0.0,,,0.0,,1018.8,,
2019-10-25 12:00:00,16.1,-10.6,15.0,0.0,,,0.0,,1019.0,,
2019-10-25 13:00:00,16.7,-10.1,15.0,0.0,,,0.0,,1019.2,,
2019-10-25 14:00:00,15.6,-9.4,17.0,0.0,,120.0,5.4,,1020.0,,
2019-10-25 15:00:00,15.6,-8.0,19.0,0.0,,,0.0,,1020.5,,
2019-10-25 16:00:00,17.2,-4.7,22.0,0.0,,,0.0,,1020.6,,
2019-10-25 17:00:00,18.3,-6.5,18.0,0.0,,,5.4,,1020.3,,
2019-10-25 18:00:00,20.0,-6.6,16.0,0.0,,200.0,9.4,,1019.2,,
2019-10-25 19:00:00,20.6,-3.8,19.0,0.0,,,5.4,,1019.2,,
2019-10-25 20:00:00,21.1,-4.2,18.0,0.0,,,9.4,,1018.2,,
2019-10-25 21:00:00,21.1,-4.2,18.0,0.0,,,9.4,,1017.3,,
2019-10-25 22:00:00,21.7,-2.9,19.0,0.0,,,9.4,,1017.2,,
2019-10-25 23:00:00,21.1,-2.7,20.0,0.0,,280.0,11.2,,1017.0,,
2019-10-26 00:00:00,20.0,-3.7,20.0,0.0,,280.0,11.2,,1016.9,,
2019-10-26 01:00:00,18.3,-2.1,25.0,,,260.0,5.4,,1016.8,,
2019-10-26 02:00:00,16.1,-0.6,32.0,,,,0.0,,1017.4,,
2019-10-26 03:00:00,15.0,-1.2,33.0,,,,0.0,,1017.6,,
2019-10-26 04:00:00,16.1,-1.5,30.0,,,50.0,5.4,,1016.7,,
2019-10-26 05:00:00,15.6,-2.9,28.0,,,,0.0,,1016.2,,
