time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2020-10-12 11:00:00,15.0,-6.6,22.0,0.0,,0.0,0.0,,1019.1,,
2020-10-12 12:00:00,15.0,-9.2,18.0,0.0,,10.0,5.4,,1019.1,,
2020-10-12 13:00:00,15.0,-9.2,18.0,0.0,,50.0,5.4,,1019.2,,
2020-10-12 14:00:00,15.0,-8.5,19.0,0.0,,0.0,5.4,,1020.2,,
2020-10-12 15:00:00,16.1,-9.8,16.0,0.0,,60.0,5.4,,1020.4,,
2020-10-12 16:00:00,17.2,-7.4,18.0,0.0,,0.0,0.0,,1020.5,,
2020-10-12 17:00:00,18.9,-11.2,12.0,0.0,,0.0,0.0,,1020.0,,
2020-10-12 18:00:00,19.4,-7.9,15.0,0.0,,270.0,9.4,,1020.0,,
2020-10-12 19:00:00,20.6,-7.9,14.0,0.0,,250.0,11.2,,1019.3,,
2020-10-12 20:00:00,21.1,-7.5,14.0,0.0,,330.0,7.6,,1018.9,,
2020-10-12 21:00:00,22.2,-5.7,15.0,0.0,,290.0,14.8,,1017.9,,
2020-10-12 22:00:00,21.7,-6.1,15.0,0.0,,270.0,13.0,,1017.6,,
2020-10-12 23:00:00,21.7,-7.0,14.0,0.0,,,11.2,,1017.3,,
2020-10-13 00:00:00,21.1,-6.6,15.0,0.0,,270.0,11.2,,1017.1,,
2020-10-13 01:00:00,20.0,-5.8,17.0,0.0,,250.0,9.4,,1017.0,,
2020-10-13 02:00:00,18.3,-4.4,21.0,0.0,,300.0,5.4,,1017.9,,
2020-10-13 03:00:00,16.7,-4.6,23.0,0.0,,0.0,0.0,,1018.2,,
2020-10-13 04:00:00,16.7,-4.6,23.0,0.0,,50.0,7.6,,1017.9,,
2020-10-13 05:00:00,17.2,-5.3,21.0,0.0,,50.0,5.4,,1017.4,,
2020-10-13 06:00:00,16.7,-7.1,19.0,0.0,,0.0,0.0,,1017.5,,
2020-10-13 07:00:00,16.7,-8.5,17.0,0.0,,50.0,5.4,,1017.0,,
2020-10-13 08:00:00,17.2,-8.1,17.0,0.0,,350.0,5.4,,1016.7,,
2020-10-13 09:00:00,16.7,-7.8,18.0,0.0,,40.0,7.6,,1016.7,,
2020-10-13 10:00:00,16.7,-7.1,19.0,0.0,,30.0,5.4,,1016.6,,
2020-10-13 11:00:00,16.7,-7.1,19.0,0.0,,40.0,5.4,,1016.5,,
2020-10-13 12:00:00,16.1,-5.6,22.0,0.0,,40.0,7.6,,1017.2,,
2020-10-13 13:00:00,16.7,-4.0,24.0,0.0,,50.0,7.6,,1017.7,,
2020-10-13 14:00:00,16.7,-3.4,25.0,0.0,,0.0,0.0,,1018.1,,
2020-10-13 15:00:00,16.1,-3.4,26.0,0.0,,350.0,5.4,,1019.6,,
