time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-07 16:00:00,23.9,-0.4,20.0,0.0,,160.0,0.0,,1014.9,,
2019-10-07 17:00:00,30.0,-1.4,13.0,0.0,,,0.0,,1014.5,,
2019-10-07 18:00:00,32.2,-3.3,10.0,0.0,,290.0,7.6,,1013.9,,
2019-10-07 19:00:00,33.3,0.0,12.0,0.0,,290.0,16.6,,1013.4,,
2019-10-07 20:00:00,33.3,2.2,14.0,0.0,,270.0,14.8,,1012.7,,
2019-10-07 21:00:00,33.9,1.6,13.0,0.0,,280.0,20.5,,1012.0,,
2019-10-07 22:00:00,31.7,5.3,19.0,0.0,,270.0,16.6,,1011.7,,
2019-10-07 23:00:00,29.4,7.3,25.0,0.0,,290.0,16.6,,1011.9,,
2019-10-08 00:00:00,27.8,7.6,28.0,0.0,,270.0,14.8,,1011.9,,
2019-10-08 01:00:00,25.0,7.2,32.0,0.0,,270.0,7.6,,1012.0,,
2019-10-08 02:00:00,18.9,7.3,47.0,0.0,,310.0,5.4,,1012.6,,
2019-10-08 03:00:00,18.3,6.2,45.0,0.0,,60.0,5.4,,1012.5,,
2019-10-08 04:00:00,15.0,4.4,49.0,0.0,,120.0,0.0,,1012.3,,
2019-10-08 05:00:00,13.3,5.0,57.0,0.0,,,0.0,,1012.0,,
2019-10-08 06:00:00,12.2,4.9,61.0,0.0,,,0.0,,1011.9,,
2019-10-08 07:00:00,12.2,4.4,59.0,0.0,,,0.0,,1011.6,,
2019-10-08 08:00:00,11.1,3.9,61.0,0.0,,,0.0,,1011.3,,
2019-10-08 09:00:00,9.4,2.7,63.0,0.0,,,0.0,,1011.3,,
2019-10-08 10:00:00,9.4,2.7,63.0,0.0,,90.0,0.0,,1011.0,,
2019-10-08 11:00:00,9.4,4.0,69.0,0.0,,90.0,0.0,,1010.6,,
2019-10-08 12:00:00,7.8,2.9,71.0,0.0,,110.0,0.0,,1010.9,,
2019-10-08 13:00:00,8.3,3.3,71.0,0.0,,,0.0,,1011.1,,
2019-10-08 14:00:00,8.3,2.1,65.0,0.0,,80.0,7.6,,1011.5,,
2019-10-08 15:00:00,13.9,3.9,51.0,0.0,,120.0,0.0,,1011.5,,
2019-10-08 16:00:00,22.2,1.8,26.0,0.0,,140.0,0.0,,1011.6,,
2019-10-08 17:00:00,26.1,2.1,21.0,0.0,,280.0,5.4,,1011.8,,
2019-10-08 18:00:00,28.9,3.0,19.0,0.0,,,11.2,,1011.5,,
2019-10-08 19:00:00,29.4,4.1,20.0,0.0,,260.0,18.4,,1011.2,,
2019-10-08 20:00:00,30.0,4.6,20.0,0.0,,260.0,18.4,,1010.6,,
2019-10-08 21:00:00,28.9,6.9,25.0,0.0,,260.0,16.6,,1010.2,,
2019-10-08 22:00:00,29.4,4.1,20.0,0.0,,280.0,18.4,,1009.6,,
2019-10-08 23:00:00,28.9,3.7,20.0,0.0,,290.0,18.4,,1009.4,,
2019-10-09 00:00:00,26.7,5.0,25.0,0.0,,280.0,22.3,,1009.8,,
2019-10-09 01:00:00,23.3,4.3,29.0,0.0,,270.0,16.6,,1010.1,,
2019-10-09 02:00:00,20.0,5.6,39.0,0.0,,260.0,5.4,,1010.8,,
2019-10-09 03:00:00,16.1,4.5,46.0,0.0,,,0.0,,1011.2,,
2019-10-09 04:00:00,15.0,4.9,51.0,0.0,,50.0,7.6,,1010.9,,
2019-10-09 05:00:00,12.8,1.8,47.0,0.0,,,0.0,,1011.1,,
2019-10-09 06:00:00,11.1,2.1,54.0,0.0,,280.0,0.0,,1011.0,,
2019-10-09 07:00:00,10.6,2.2,56.0,0.0,,260.0,0.0,,1010.8,,
2019-10-09 08:00:00,10.0,2.1,58.0,0.0,,,0.0,,1010.7,,
2019-10-09 09:00:00,8.9,1.8,61.0,0.0,,,0.0,,1010.8,,
2019-10-09 10:00:00,7.8,1.2,63.0,0.0,,70.0,0.0,,1010.5,,
2019-10-09 11:00:00,7.2,1.1,65.0,0.0,,130.0,5.4,,1010.2,,
2019-10-09 12:00:00,7.8,1.6,65.0,0.0,,,0.0,,1010.4,,
2019-10-09 13:00:00,7.2,1.7,68.0,0.0,,,0.0,,1010.5,,
2019-10-09 14:00:00,7.2,1.7,68.0,0.0,,80.0,0.0,,1010.9,,
2019-10-09 15:00:00,12.2,3.4,55.0,0.0,,,0.0,,1011.3,,
2019-10-09 16:00:00,17.2,5.5,46.0,0.0,,,0.0,,1011.6,,
2019-10-09 17:00:00,21.7,5.2,34.0,0.0,,,5.4,,1011.5,,
2019-10-09 18:00:00,24.4,9.6,39.0,0.0,,310.0,14.8,,1010.9,,
2019-10-09 19:00:00,24.4,10.7,42.0,0.0,,310.0,11.2,,1010.5,,
2019-10-09 20:00:00,26.1,9.4,35.0,0.0,,240.0,14.8,,1009.6,,
2019-10-09 21:00:00,25.0,12.2,45.0,0.0,,240.0,14.8,,1009.1,,
2019-10-09 22:00:00,24.4,11.7,45.0,0.0,,230.0,18.4,,1009.2,,
2019-10-09 23:00:00,22.8,12.1,51.0,0.0,,250.0,18.4,,1009.3,,
2019-10-10 00:00:00,21.7,11.1,51.0,0.0,,250.0,14.8,,1009.1,,
2019-10-10 01:00:00,18.3,11.6,65.0,0.0,,220.0,14.8,,1009.6,,
2019-10-10 02:00:00,14.4,11.2,81.0,0.0,,320.0,11.2,,1010.1,,
2019-10-10 03:00:00,13.9,11.1,83.0,0.0,,250.0,0.0,,1010.3,,
2019-10-10 04:00:00,14.4,11.7,84.0,0.0,,,0.0,,1010.5,,
2019-10-10 05:00:00,14.4,11.2,81.0,0.0,,120.0,5.4,,1010.5,,
2019-10-10 06:00:00,15.0,11.2,78.0,0.0,,190.0,5.4,,1010.6,,
2019-10-10 07:00:00,14.4,10.6,78.0,0.0,,210.0,5.4,,1010.4,,
2019-10-10 08:00:00,14.4,10.0,75.0,0.0,,220.0,5.4,,1010.3,,
2019-10-10 09:00:00,13.9,9.9,77.0,0.0,,140.0,0.0,,1010.3,,
2019-10-10 10:00:00,12.8,8.9,77.0,0.0,,170.0,0.0,,1010.2,,
2019-10-10 11:00:00,12.8,8.9,77.0,0.0,,250.0,0.0,,1010.1,,
2019-10-10 12:00:00,10.6,8.4,86.0,0.0,,50.0,7.6,,1010.5,,
2019-10-10 13:00:00,10.0,7.2,83.0,0.0,,170.0,0.0,,1010.8,,
2019-10-10 14:00:00,8.9,6.7,86.0,0.0,,,0.0,,1012.0,,
2019-10-10 15:00:00,10.0,7.2,83.0,0.0,,,0.0,,1012.7,,
2019-10-10 16:00:00,15.0,9.4,69.0,0.0,,,0.0,,1012.6,,
2019-10-10 17:00:00,17.2,10.1,63.0,0.0,,160.0,5.4,,1012.6,,
2019-10-10 18:00:00,20.6,8.9,47.0,0.0,,,7.6,,1012.4,,
2019-10-10 19:00:00,23.9,7.1,34.0,0.0,,280.0,14.8,,1012.1,,
2019-10-10 20:00:00,25.0,6.7,31.0,0.0,,300.0,13.0,,1011.5,,
2019-10-10 21:00:00,27.2,6.0,26.0,0.0,,260.0,11.2,,1010.4,,
2019-10-10 22:00:00,29.4,-6.8,9.0,0.0,,60.0,18.4,,1010.0,,
2019-10-10 23:00:00,28.3,-7.6,9.0,0.0,,70.0,22.3,,1009.8,,
2019-10-11 00:00:00,26.7,-8.8,9.0,0.0,,80.0,25.9,,1010.4,,
2019-10-11 01:00:00,24.4,-9.2,10.0,0.0,,80.0,24.1,,1010.7,,
2019-10-11 02:00:00,17.2,-9.7,15.0,0.0,,210.0,5.4,,1011.8,,
2019-10-11 03:00:00,19.4,-11.9,11.0,0.0,,50.0,9.4,,1012.1,,
2019-10-11 04:00:00,18.3,-13.9,10.0,0.0,,40.0,16.6,,1012.3,,
2019-10-11 05:00:00,18.9,-14.7,9.0,0.0,,40.0,22.3,,1012.4,,
2019-10-11 06:00:00,19.4,-15.8,8.0,0.0,,60.0,16.6,,1012.6,,
2019-10-11 07:00:00,19.4,-17.4,7.0,0.0,,50.0,18.4,,1012.4,,
2019-10-11 08:00:00,18.9,-17.7,7.0,0.0,,50.0,16.6,,1012.2,,
2019-10-11 09:00:00,18.9,-19.5,6.0,0.0,,50.0,18.4,,1012.3,,
2019-10-11 10:00:00,18.3,-20.0,6.0,0.0,,40.0,20.5,,1012.0,,
2019-10-11 11:00:00,17.8,-18.6,7.0,0.0,,40.0,16.6,,1012.1,,
2019-10-11 12:00:00,17.8,-18.6,7.0,0.0,,40.0,16.6,,1012.5,,
2019-10-11 13:00:00,17.8,-18.6,7.0,0.0,,50.0,16.6,,1012.8,,
2019-10-11 14:00:00,17.2,-19.0,7.0,0.0,,40.0,16.6,,1013.5,,
2019-10-11 15:00:00,20.0,-16.9,7.0,0.0,,50.0,14.8,,1013.9,,
2019-10-11 16:00:00,23.9,-15.9,6.0,0.0,,80.0,16.6,,1014.1,,
2019-10-11 17:00:00,25.0,-15.1,6.0,0.0,,80.0,24.1,,1014.1,,
2019-10-11 18:00:00,26.7,-13.9,6.0,0.0,,70.0,22.3,,1013.8,,
