time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2020-10-23 16:00:00,16.1,11.1,72.0,0.0,,40.0,7.6,,1015.7,,
2020-10-23 17:00:00,18.3,11.1,63.0,0.0,,0.0,0.0,,1015.4,,
2020-10-23 18:00:00,19.4,11.2,59.0,0.0,,180.0,7.6,,1014.8,,
2020-10-23 19:00:00,21.1,11.7,55.0,0.0,,330.0,9.4,,1014.5,,
2020-10-23 20:00:00,21.7,11.7,53.0,0.0,,270.0,13.0,,1014.0,,
2020-10-23 21:00:00,22.8,11.2,48.0,0.0,,270.0,13.0,,1013.4,,
2020-10-23 22:00:00,23.9,11.6,46.0,0.0,,290.0,18.4,,1013.1,,
2020-10-23 23:00:00,20.0,12.3,61.0,0.0,,280.0,20.5,,1013.6,,
2020-10-24 00:00:00,18.9,12.9,68.0,0.0,,260.0,14.8,,1013.9,,
2020-10-24 01:00:00,16.7,12.8,78.0,0.0,,270.0,11.2,,1014.2,,
2020-10-24 02:00:00,15.0,12.1,83.0,0.0,,290.0,9.4,,1014.5,,
2020-10-24 03:00:00,13.9,11.8,87.0,0.0,,290.0,9.4,,1015.0,,
2020-10-24 04:00:00,13.3,11.7,90.0,0.0,,0.0,0.0,,1015.3,,
2020-10-24 05:00:00,13.9,11.8,87.0,0.0,,0.0,0.0,,1015.5,,
2020-10-24 06:00:00,15.6,12.7,83.0,0.0,,0.0,0.0,,1015.6,,
2020-10-24 07:00:00,15.6,13.3,86.0,0.0,,0.0,0.0,,1015.5,,
2020-10-24 08:00:00,16.1,12.8,81.0,0.0,,0.0,0.0,,1015.3,,
2020-10-24 09:00:00,15.6,12.7,83.0,0.0,,0.0,0.0,,1015.0,,
2020-10-24 10:00:00,15.6,12.7,83.0,0.0,,0.0,0.0,,1015.1,,
2020-10-24 11:00:00,15.6,12.7,83.0,0.0,,70.0,11.2,,1014.7,,
2020-10-24 12:00:00,15.0,12.9,87.0,0.0,,0.0,0.0,,1015.1,,
2020-10-24 13:00:00,15.6,12.7,83.0,0.0,,0.0,0.0,,1015.5,,
2020-10-24 14:00:00,15.6,12.7,83.0,0.0,,0.0,0.0,,1015.7,,
2020-10-24 15:00:00,15.6,12.2,80.0,0.0,,20.0,7.6,,1016.0,,
2020-10-24 16:00:00,16.1,12.3,78.0,0.0,,80.0,7.6,,1016.2,,
2020-10-24 17:00:00,16.7,12.2,75.0,0.0,,0.0,11.2,,1016.3,,
2020-10-24 18:00:00,17.8,12.3,70.0,0.0,,0.0,0.0,,1015.9,,
2020-10-24 19:00:00,18.9,11.7,63.0,0.0,,280.0,5.4,,1015.4,,
2020-10-24 20:00:00,19.4,11.7,61.0,0.0,,280.0,9.0,,1014.8,,
2020-10-24 21:00:00,21.7,11.7,53.0,0.0,,290.0,9.4,,1013.5,,
2020-10-24 22:00:00,22.2,11.6,51.0,0.0,,290.0,11.2,,1012.5,,
2020-10-24 23:00:00,21.1,12.8,59.0,0.0,,250.0,13.0,,1012.6,,
2020-10-25 00:00:00,18.9,13.3,70.0,0.0,,270.0,14.8,,1012.6,,
2020-10-25 01:00:00,17.2,13.3,78.0,0.0,,270.0,14.8,,1012.7,,
2020-10-25 02:00:00,16.7,13.2,80.0,0.0,,280.0,11.2,,1013.0,,
2020-10-25 03:00:00,16.7,13.2,80.0,0.0,,280.0,9.4,,1013.1,,
2020-10-25 04:00:00,16.0,13.1,83.0,0.0,,280.0,11.2,,1013.5,,
2020-10-25 05:00:00,16.1,13.4,84.0,0.0,,290.0,7.6,,1013.3,,
2020-10-25 06:00:00,15.6,13.3,86.0,0.0,,280.0,7.6,,1013.5,,
2020-10-25 07:00:00,16.1,13.4,84.0,0.0,,300.0,9.4,,1013.3,,
2020-10-25 08:00:00,15.6,14.0,90.0,0.0,,270.0,5.4,,1013.2,,
2020-10-25 09:00:00,15.6,14.0,90.0,0.0,,270.0,5.4,,1013.3,,
2020-10-25 10:00:00,15.0,13.4,90.0,0.0,,260.0,9.4,,1013.1,,
2020-10-25 11:00:00,15.0,12.9,87.0,0.0,,270.0,9.4,,1012.8,,
2020-10-25 12:00:00,15.0,12.9,87.0,0.0,,250.0,5.4,,1012.9,,
2020-10-25 13:00:00,15.0,12.9,87.0,0.0,,270.0,9.4,,1013.0,,
2020-10-25 14:00:00,14.4,12.3,87.0,0.0,,290.0,9.4,,1013.2,,7.0
2020-10-25 15:00:00,13.9,12.8,93.0,0.3,,290.0,9.4,,1013.7,,
2020-10-25 16:00:00,14.4,13.3,93.0,0.0,,280.0,9.4,,1014.0,,7.0
2020-10-25 17:00:00,13.9,12.3,90.0,0.0,,230.0,13.0,,1013.6,,7.0
2020-10-25 18:00:00,15.0,12.9,87.0,,,260.0,20.5,,1013.3,,
2020-10-25 19:00:00,16.7,12.8,78.0,0.3,,220.0,16.6,,1012.3,,
2020-10-25 20:00:00,17.8,10.7,63.0,0.0,,250.0,22.3,,1012.2,,
2020-10-25 21:00:00,17.8,9.4,58.0,0.0,,250.0,20.5,,1012.3,,
2020-10-25 22:00:00,17.8,8.9,56.0,0.0,,230.0,24.1,,1010.8,,7.0
2020-10-25 23:00:00,13.3,12.2,93.0,0.3,,270.0,14.8,,1011.4,,5.0
2020-10-26 00:00:00,13.9,12.8,93.0,,,310.0,9.4,,1011.2,,
