time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-27 11:00:00,7.0,-7.8,34.0,,,30.0,13.0,,,,
2019-10-27 12:00:00,7.0,-7.8,34.0,,,20.0,14.8,,,,
2019-10-27 13:00:00,5.0,-8.2,38.0,,,70.0,7.6,,,,
2019-10-27 14:00:00,3.0,-7.0,48.0,,,330.0,5.4,,,,
2019-10-27 15:00:00,3.0,-7.0,48.0,,,350.0,9.4,,,,
2019-10-27 16:00:00,7.0,-7.8,34.0,,,30.0,13.0,,,,
2019-10-27 17:00:00,9.0,-8.1,29.0,,,360.0,16.6,,,,
2019-10-27 18:00:00,,,,,,,,,,,
2019-10-27 19:00:00,12.0,-12.3,17.0,,,,0.0,,,,
2019-10-27 20:00:00,13.0,-8.8,21.0,,,120.0,7.6,,,,
2019-10-27 21:00:00,,,,,,,,,,,
2019-10-27 22:00:00,14.0,-9.3,19.0,,,130.0,9.4,,,,
2019-10-27 23:00:00,,,,,,,,,,,
2019-10-28 00:00:00,14.0,-9.3,19.0,,,360.0,7.6,,,,
2019-10-28 01:00:00,11.0,-8.8,24.0,,,340.0,7.6,,,,
2019-10-28 02:00:00,9.0,-9.0,27.0,,,340.0,5.4,,,,
2019-10-28 03:00:00,,,,,,,,,,,
2019-10-28 04:00:00,,,,,,,,,,,
2019-10-28 05:00:00,,,,,,,,,,,
2019-10-28 06:00:00,,,,,,,,,,,
2019-10-28 07:00:00,0.0,-8.0,55.0,,,270.0,5.4,,,,
2019-10-28 08:00:00,,,,,,,,,,,
2019-10-28 09:00:00,-1.0,-8.0,59.0,,,250.0,7.6,,,,
2019-10-28 10:00:00,-1.0,-8.9,55.0,,,270.0,7.6,,,,
2019-10-28 11:00:00,-2.0,-9.0,59.0,,,270.0,7.6,,,,
2019-10-28 12:00:00,,,,,,,,,,,
2019-10-28 13:00:00,-2.0,-10.1,54.0,,,270.0,7.6,,,,
2019-10-28 14:00:00,-2.0,-10.1,54.0,,,270.0,9.4,,,,
2019-10-28 15:00:00,-3.0,-9.9,59.0,,,260.0,7.6,,,,
2019-10-28 16:00:00,1.0,-9.9,44.0,,,,0.0,,,,
2019-10-28 17:00:00,,,,,,,,,,,
2019-10-28 18:00:00,6.0,-6.0,42.0,,,,0.0,,,,
2019-10-28 19:00:00,9.0,-8.1,29.0,,,,0.0,,,,
2019-10-28 20:00:00,12.0,-9.1,22.0,,,,0.0,,,,
2019-10-28 21:00:00,,,,,,,,,,,
2019-10-28 22:00:00,,,,,,,,,,,
2019-10-28 23:00:00,18.0,-11.9,12.0,,,,0.0,,,,
2019-10-29 00:00:00,17.0,-9.0,16.0,,,,0.0,,,,
2019-10-29 01:00:00,11.0,-3.9,35.0,,,270.0,5.4,,,,
2019-10-29 02:00:00,9.0,-4.9,37.0,,,280.0,7.6,,,,
2019-10-29 03:00:00,7.0,-5.1,42.0,,,270.0,7.6,,,,
2019-10-29 04:00:00,5.0,-6.9,42.0,,,,0.0,,,,
