time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2021-08-15 19:00:00,38.9,7.6,15.0,0.0,,158.0,5.0,,1015.0,,
2021-08-15 20:00:00,40.0,7.5,14.0,0.0,,162.0,6.8,,1014.0,,
2021-08-15 21:00:00,40.9,5.9,12.0,0.0,,166.0,8.3,,1013.1,,
2021-08-15 22:00:00,41.0,4.7,11.0,0.0,,187.0,6.8,,1012.1,,
2021-08-15 23:00:00,40.7,4.5,11.0,0.0,,225.0,5.4,,1011.6,,
2021-08-16 00:00:00,40.0,5.2,12.0,0.0,,273.0,5.8,,1011.1,,
2021-08-16 01:00:00,38.1,7.0,15.0,0.0,,311.0,9.7,,1011.6,,
2021-08-16 02:00:00,36.1,7.2,17.0,0.0,,322.0,9.0,,1011.9,,
2021-08-16 03:00:00,33.0,7.1,20.0,0.0,,318.0,9.0,,1012.3,,
2021-08-16 04:00:00,30.4,7.6,24.0,0.0,,308.0,6.8,,1012.7,,
2021-08-16 05:00:00,28.4,9.2,30.0,0.0,,301.0,6.8,,1013.1,,
2021-08-16 06:00:00,26.6,10.3,36.0,0.0,,302.0,8.3,,1013.1,,
2021-08-16 07:00:00,25.2,11.0,41.0,0.0,,300.0,6.8,,1013.0,,
2021-08-16 08:00:00,24.3,11.6,45.0,0.0,,305.0,5.8,,1012.6,,
2021-08-16 09:00:00,23.7,12.4,49.0,0.0,,309.0,5.8,,1012.5,,
2021-08-16 10:00:00,23.1,10.9,46.0,0.0,,310.0,5.8,,1012.0,,
2021-08-16 11:00:00,22.6,11.3,49.0,0.0,,311.0,5.4,,1012.1,,
2021-08-16 12:00:00,22.3,11.7,51.0,0.0,,313.0,5.8,,1012.1,,
2021-08-16 13:00:00,22.0,11.7,52.0,0.0,,312.0,6.1,,1012.2,,
2021-08-16 14:00:00,22.6,12.0,51.0,0.0,,312.0,5.8,,1012.4,,
2021-08-16 15:00:00,26.3,11.6,40.0,0.0,,317.0,5.8,,1012.5,,
2021-08-16 16:00:00,29.7,11.7,33.0,0.0,,327.0,4.3,,1011.8,,
2021-08-16 17:00:00,32.5,11.1,27.0,0.0,,336.0,3.2,,1010.8,,
2021-08-16 18:00:00,34.4,9.6,22.0,0.0,,326.0,0.7,,1009.9,,
2021-08-16 19:00:00,35.7,8.5,19.0,0.0,,165.0,6.5,,1008.7,,
2021-08-16 20:00:00,36.7,7.7,17.0,0.0,,169.0,9.4,,1007.8,,
2021-08-16 21:00:00,37.2,7.2,16.0,0.0,,176.0,10.1,,1006.8,,
2021-08-16 22:00:00,37.3,8.2,17.0,0.0,,187.0,9.0,,1005.8,,
2021-08-16 23:00:00,37.1,8.0,17.0,0.0,,234.0,6.8,,1005.3,,
2021-08-17 00:00:00,35.5,8.4,19.0,0.0,,294.0,11.9,,1005.4,,
2021-08-17 01:00:00,33.5,9.5,23.0,0.0,,308.0,12.2,,1005.7,,
2021-08-17 02:00:00,31.0,10.4,28.0,0.0,,309.0,11.2,,1006.5,,
2021-08-17 03:00:00,28.1,10.8,34.0,0.0,,310.0,10.4,,1007.2,,
2021-08-17 04:00:00,26.0,9.4,35.0,0.0,,304.0,9.4,,1008.1,,
2021-08-17 05:00:00,25.2,9.1,36.0,0.0,,316.0,11.5,,1008.8,,
2021-08-17 06:00:00,24.2,8.2,36.0,0.0,,320.0,11.2,,1009.2,,
2021-08-17 07:00:00,22.8,8.5,40.0,0.0,,318.0,9.4,,1009.4,,
2021-08-17 08:00:00,21.7,9.2,45.0,0.0,,316.0,8.3,,1009.4,,
2021-08-17 09:00:00,20.8,9.7,49.0,0.0,,312.0,7.6,,1009.2,,
2021-08-17 10:00:00,20.2,10.0,52.0,0.0,,311.0,7.2,,1009.1,,
2021-08-17 11:00:00,19.7,10.4,55.0,0.0,,312.0,6.8,,1008.8,,
2021-08-17 12:00:00,19.2,10.5,57.0,0.0,,314.0,6.5,,1008.8,,
2021-08-17 13:00:00,18.8,11.8,64.0,0.0,,310.0,7.2,,1008.4,,
2021-08-17 14:00:00,19.3,11.8,62.0,0.0,,313.0,6.1,,1008.9,,
2021-08-17 15:00:00,22.0,11.1,50.0,0.0,,325.0,5.4,,1009.3,,
2021-08-17 16:00:00,24.5,10.4,41.0,0.0,,344.0,6.8,,1009.2,,
2021-08-17 17:00:00,25.8,10.4,38.0,0.0,,353.0,10.4,,1009.4,,
2021-08-17 18:00:00,26.7,9.5,34.0,0.0,,355.0,12.6,,1009.5,,
2021-08-17 19:00:00,27.8,7.1,27.0,0.0,,359.0,13.7,,1009.3,,
2021-08-17 20:00:00,28.7,4.2,21.0,0.0,,1.0,14.8,,1008.9,,
2021-08-17 21:00:00,29.4,1.8,17.0,0.0,,360.0,15.8,,1008.5,,
2021-08-17 22:00:00,29.7,-0.6,14.0,0.0,,356.0,17.6,,1008.2,,
2021-08-17 23:00:00,29.4,-4.1,11.0,0.0,,353.0,18.4,,1007.8,,
2021-08-18 00:00:00,28.3,-5.0,11.0,0.0,,354.0,17.6,,1007.8,,
2021-08-18 01:00:00,26.9,-6.1,11.0,0.0,,355.0,15.5,,1008.1,,
2021-08-18 02:00:00,24.8,-4.5,14.0,0.0,,355.0,12.6,,1008.7,,
2021-08-18 03:00:00,21.6,-3.0,19.0,0.0,,350.0,12.2,,1010.0,,
2021-08-18 04:00:00,19.3,-1.8,24.0,0.0,,336.0,10.4,,1011.5,,
2021-08-18 05:00:00,18.0,1.1,32.0,0.0,,325.0,10.1,,1012.4,,
2021-08-18 06:00:00,16.5,3.2,41.0,0.0,,323.0,11.9,,1012.8,,
2021-08-18 07:00:00,15.2,3.7,46.0,0.0,,321.0,14.4,,1013.3,,
2021-08-18 08:00:00,14.5,4.2,50.0,0.0,,324.0,14.0,,1013.7,,
2021-08-18 09:00:00,13.8,4.6,54.0,0.0,,325.0,13.3,,1014.1,,
2021-08-18 10:00:00,13.3,5.0,57.0,0.0,,324.0,11.5,,1014.2,,
2021-08-18 11:00:00,12.8,5.7,62.0,0.0,,326.0,9.7,,1014.6,,
2021-08-18 12:00:00,12.4,6.2,66.0,0.0,,329.0,9.4,,1015.0,,
2021-08-18 13:00:00,12.1,6.6,69.0,0.0,,330.0,11.2,,1015.3,,
2021-08-18 14:00:00,12.5,6.5,67.0,0.0,,332.0,12.6,,1015.6,,
2021-08-18 15:00:00,15.3,5.2,51.0,0.0,,338.0,12.6,,1015.9,,
2021-08-18 16:00:00,18.0,4.2,40.0,0.0,,347.0,11.9,,1015.4,,
2021-08-18 17:00:00,21.2,3.4,31.0,0.0,,358.0,11.2,,1014.7,,
