time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2020-09-06 02:00:00,32.0,8.9,24.0,,,0.0,0.0,,,,
2020-09-06 03:00:00,31.0,9.3,26.0,,,20.0,5.4,,,,
2020-09-06 04:00:00,30.0,9.0,27.0,,,60.0,13.0,,,,
2020-09-06 05:00:00,30.0,10.0,29.0,,,60.0,14.8,,,,
2020-09-06 06:00:00,30.0,10.0,29.0,,,70.0,16.6,,,,
2020-09-06 07:00:00,30.0,5.3,21.0,,,90.0,9.4,,,,
2020-09-06 08:00:00,30.0,3.9,19.0,,,90.0,11.2,,,,
2020-09-06 09:00:00,28.0,2.2,19.0,,,90.0,11.2,,,,
2020-09-06 10:00:00,28.0,2.2,19.0,,,90.0,13.0,,,,
2020-09-06 11:00:00,29.0,-0.3,15.0,,,80.0,13.0,,,,
2020-09-06 12:00:00,29.0,2.3,18.0,,,70.0,20.5,,,,
2020-09-06 13:00:00,29.0,3.0,19.0,,,70.0,24.1,,,,
2020-09-06 14:00:00,29.0,3.0,19.0,,,80.0,16.6,,,,
2020-09-06 15:00:00,29.0,3.0,19.0,,,70.0,14.8,,,,
2020-09-06 16:00:00,29.0,3.0,19.0,,,90.0,13.0,,,,
2020-09-06 17:00:00,30.0,3.9,19.0,,,90.0,7.6,,,,
2020-09-06 18:00:00,33.0,4.7,17.0,,,130.0,7.6,,,,
2020-09-06 19:00:00,34.0,7.9,20.0,,,0.0,0.0,,,,
2020-09-06 20:00:00,35.0,7.2,18.0,,,220.0,7.6,,,,
2020-09-06 21:00:00,37.0,4.0,13.0,,,280.0,9.4,,,,
2020-09-06 22:00:00,39.0,4.4,12.0,,,280.0,9.4,,,,
2020-09-06 23:00:00,39.0,1.9,10.0,,,290.0,9.4,,,,
2020-09-07 00:00:00,39.0,3.2,11.0,,,270.0,11.2,,,,
2020-09-07 01:00:00,38.0,2.4,11.0,,,290.0,7.6,,,,
2020-09-07 02:00:00,37.0,1.7,11.0,,,300.0,5.4,,,,
2020-09-07 03:00:00,35.0,3.5,14.0,,,0.0,0.0,,,,
2020-09-07 04:00:00,34.0,3.7,15.0,,,40.0,9.4,,,,
2020-09-07 05:00:00,32.0,4.7,18.0,,,60.0,16.6,,,,
2020-09-07 06:00:00,30.0,5.3,21.0,,,80.0,16.6,,,,
2020-09-07 07:00:00,30.0,3.9,19.0,,,80.0,18.4,,,,
2020-09-07 08:00:00,29.0,3.0,19.0,,,80.0,18.4,,,,
2020-09-07 09:00:00,29.0,3.0,19.0,,,70.0,20.5,,,,
2020-09-07 10:00:00,29.0,3.0,19.0,,,80.0,20.5,,,,
2020-09-07 11:00:00,28.0,2.2,19.0,,,70.0,20.5,,,,
2020-09-07 12:00:00,29.0,2.3,18.0,,,80.0,18.4,,,,
2020-09-07 13:00:00,29.0,2.3,18.0,,,70.0,18.4,,,,
2020-09-07 14:00:00,28.0,2.2,19.0,,,80.0,18.4,,,,
2020-09-07 15:00:00,29.0,2.3,18.0,,,90.0,16.6,,,,
2020-09-07 16:00:00,30.0,3.9,19.0,,,80.0,14.8,,,,
2020-09-07 17:00:00,34.0,4.6,16.0,,,70.0,5.4,,,,
2020-09-07 18:00:00,34.0,7.9,20.0,,,230.0,5.4,,,,
2020-09-07 19:00:00,34.0,4.6,16.0,,,0.0,0.0,,,,
2020-09-07 20:00:00,34.0,4.6,16.0,,,270.0,7.6,,,,
2020-09-07 21:00:00,34.0,7.1,19.0,,,270.0,5.4,,,,
2020-09-07 22:00:00,35.0,4.5,15.0,,,260.0,5.4,,,,
2020-09-07 23:00:00,36.0,4.3,14.0,,,290.0,9.4,,,,
2020-09-08 00:00:00,36.0,5.3,15.0,,,290.0,9.4,,,,
2020-09-08 01:00:00,34.0,4.6,16.0,,,270.0,5.4,,,,
2020-09-08 02:00:00,33.0,6.3,19.0,,,220.0,5.4,,,,
2020-09-08 03:00:00,31.0,6.8,22.0,,,140.0,5.4,,,,
2020-09-08 04:00:00,29.0,7.0,25.0,,,110.0,11.2,,,,
2020-09-08 05:00:00,28.0,7.3,27.0,,,90.0,13.0,,,,
2020-09-08 06:00:00,28.0,4.9,23.0,,,80.0,16.6,,,,
2020-09-08 07:00:00,28.0,4.9,23.0,,,80.0,14.8,,,,
2020-09-08 08:00:00,27.0,4.1,23.0,,,70.0,18.4,,,,
2020-09-08 09:00:00,,,,,,,,,,,
2020-09-08 10:00:00,,,,,,,,,,,
2020-09-08 11:00:00,,,,,,,,,,,
2020-09-08 12:00:00,,,,,,,,,,,
2020-09-08 13:00:00,,,,,,,,,,,
2020-09-08 14:00:00,,,,,,,,,,,
2020-09-08 15:00:00,,,,,,,,,,,
2020-09-08 16:00:00,,,,,,,,,,,
2020-09-08 17:00:00,,,,,,,,,,,
2020-09-08 18:00:00,,,,,,,,,,,
2020-09-08 19:00:00,,,,,,,,,,,
2020-09-08 20:00:00,,,,,,,,,,,
2020-09-08 21:00:00,,,,,,,,,,,
2020-09-08 22:00:00,,,,,,,,,,,
2020-09-08 23:00:00,27.0,2.8,21.0,,,,,,,,
