time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-07 01:00:00,16.6,9.3,62.0,0.0,,283.0,7.4,,1018.1,,
2019-10-07 02:00:00,15.0,8.9,67.0,0.0,,259.0,5.5,,1018.2,,
2019-10-07 03:00:00,13.5,9.0,74.0,0.0,,211.0,3.7,,1018.4,,
2019-10-07 04:00:00,12.4,8.5,77.0,0.0,,167.0,3.7,,1018.5,,
2019-10-07 05:00:00,11.1,7.0,76.0,0.0,,126.0,3.7,,1018.7,,
2019-10-07 06:00:00,8.9,7.8,93.0,0.0,,131.0,0.0,,1018.1,,
2019-10-07 07:00:00,9.4,8.2,92.0,0.0,,112.0,3.7,,1018.9,,
2019-10-07 08:00:00,9.0,7.6,91.0,0.0,,111.0,3.7,,1018.7,,
2019-10-07 09:00:00,8.5,7.0,90.0,0.0,,93.0,3.7,,1018.1,,
2019-10-07 10:00:00,8.2,6.7,90.0,0.0,,81.0,3.7,,1017.8,,
2019-10-07 11:00:00,7.9,6.2,89.0,0.0,,73.0,3.7,,1017.5,,
2019-10-07 12:00:00,7.2,6.8,97.0,0.0,,94.0,0.0,,1016.8,,
2019-10-07 13:00:00,8.1,7.0,93.0,0.0,,98.0,3.7,,1018.6,,
2019-10-07 14:00:00,8.5,7.0,90.0,0.0,,96.0,3.7,,1018.7,,
2019-10-07 15:00:00,10.6,8.4,86.0,0.0,,278.0,3.7,,1018.6,,
2019-10-07 16:00:00,12.0,9.0,82.0,0.0,,277.0,3.7,,1018.4,,
2019-10-07 17:00:00,13.3,9.9,80.0,0.0,,277.0,3.7,,1018.2,,
2019-10-07 18:00:00,14.4,10.6,78.0,0.0,,280.0,7.6,,1017.7,,
2019-10-07 19:00:00,15.4,10.6,73.0,0.0,,289.0,9.3,,1017.9,,
2019-10-07 20:00:00,16.2,10.7,70.0,0.0,,295.0,9.3,,1017.5,,
