time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-24 21:00:00,19.4,10.1,55.0,0.0,,320.0,11.2,,1019.2,,
2019-10-24 22:00:00,20.6,10.1,51.0,0.0,,330.0,9.4,,1018.6,,
2019-10-24 23:00:00,18.9,10.7,59.0,0.0,,320.0,11.2,,1018.0,,
2019-10-25 00:00:00,18.3,11.1,63.0,0.0,,340.0,9.4,,1017.7,,
2019-10-25 01:00:00,15.0,10.6,75.0,,,340.0,9.4,,1017.6,,
2019-10-25 02:00:00,12.8,9.4,80.0,,,,0.0,,1017.4,,
2019-10-25 03:00:00,11.7,9.4,86.0,,,,0.0,,1017.8,,
2019-10-25 04:00:00,18.9,7.6,48.0,,,80.0,9.4,,1018.0,,
2019-10-25 05:00:00,20.6,7.2,42.0,,,80.0,11.2,,1018.2,,
2019-10-25 06:00:00,20.0,6.7,42.0,,,90.0,9.4,,1018.5,,
2019-10-25 07:00:00,18.3,7.1,48.0,,,140.0,9.4,,1018.9,,
2019-10-25 08:00:00,13.9,8.3,69.0,,,190.0,7.6,,1019.3,,
2019-10-25 09:00:00,14.4,7.2,62.0,0.0,,110.0,9.4,,1019.3,,
2019-10-25 10:00:00,11.7,7.8,77.0,0.0,,20.0,5.4,,1019.7,,
2019-10-25 11:00:00,11.7,7.8,77.0,0.0,,20.0,5.4,,1019.7,,
2019-10-25 12:00:00,9.4,6.7,83.0,0.0,,20.0,5.4,,1020.0,,
2019-10-25 13:00:00,10.0,7.8,86.0,0.0,,10.0,5.4,,1020.3,,
2019-10-25 14:00:00,13.9,6.0,59.0,0.0,,80.0,7.6,,1020.4,,
2019-10-25 15:00:00,11.7,6.2,69.0,0.0,,90.0,11.2,,1020.5,,
2019-10-25 16:00:00,12.2,8.9,80.0,0.0,,340.0,7.6,,1021.1,,
2019-10-25 17:00:00,14.4,9.4,72.0,0.0,,10.0,11.2,,1021.9,,
2019-10-25 18:00:00,18.3,8.3,52.0,0.0,,170.0,0.0,,1021.7,,
2019-10-25 19:00:00,14.4,10.6,78.0,0.0,,320.0,14.8,,1021.5,,
2019-10-25 20:00:00,17.8,9.9,60.0,0.0,,240.0,5.4,,1021.3,,
2019-10-25 21:00:00,15.6,9.5,67.0,0.0,,330.0,13.0,,1020.8,,
2019-10-25 22:00:00,15.0,11.2,78.0,0.0,,340.0,18.4,,1020.7,,
2019-10-25 23:00:00,15.6,11.8,78.0,0.0,,350.0,14.8,,1020.4,,
2019-10-26 00:00:00,14.4,11.7,84.0,0.0,,340.0,22.3,,1020.3,,
2019-10-26 01:00:00,19.4,7.8,47.0,,,150.0,5.4,,1019.9,,
2019-10-26 02:00:00,,,,,,,,,,,
2019-10-26 03:00:00,12.2,11.1,93.0,,,350.0,24.1,,1020.2,,
2019-10-26 04:00:00,12.2,11.1,93.0,,,350.0,25.9,,1020.4,,
2019-10-26 05:00:00,11.7,10.6,93.0,,,340.0,27.7,,1020.5,,
2019-10-26 06:00:00,11.7,9.9,89.0,,,340.0,25.9,,1020.5,,
2019-10-26 07:00:00,11.1,10.0,93.0,,,360.0,20.5,,1020.5,,
2019-10-26 08:00:00,10.6,10.0,96.0,,,,0.0,,1019.9,,
2019-10-26 09:00:00,10.6,10.6,100.0,0.0,,,0.0,,1020.1,,
2019-10-26 10:00:00,9.4,9.4,100.0,0.0,,50.0,5.4,,1019.8,,
2019-10-26 11:00:00,10.0,9.4,96.0,0.0,,360.0,13.0,,1019.4,,
2019-10-26 12:00:00,11.1,8.8,86.0,0.0,,360.0,22.3,,1019.0,,
2019-10-26 13:00:00,11.1,6.6,74.0,0.0,,350.0,24.1,,1019.2,,
2019-10-26 14:00:00,10.6,5.6,71.0,0.0,,350.0,27.7,,1019.0,,
2019-10-26 15:00:00,11.1,4.3,63.0,0.0,,350.0,20.5,,1019.3,,
2019-10-26 16:00:00,12.2,4.4,59.0,0.0,,360.0,24.1,,1019.4,,
2019-10-26 17:00:00,12.8,5.0,59.0,0.0,,350.0,27.7,,1019.6,,
2019-10-26 18:00:00,13.3,6.2,62.0,0.0,,350.0,29.5,,1019.3,,
2019-10-26 19:00:00,13.3,6.2,62.0,0.0,,340.0,38.9,,1018.9,,
2019-10-26 20:00:00,13.3,5.7,60.0,0.0,,340.0,40.7,,1018.5,,
2019-10-26 21:00:00,13.3,5.7,60.0,0.0,,340.0,42.5,,1017.7,,
2019-10-26 22:00:00,13.3,6.2,62.0,0.0,,340.0,44.6,,1017.0,,
2019-10-26 23:00:00,12.8,6.2,64.0,0.0,,340.0,46.4,,1016.8,,
2019-10-27 00:00:00,12.2,6.7,69.0,0.0,,340.0,44.6,,1016.5,,
2019-10-27 01:00:00,11.1,7.2,77.0,,,340.0,35.3,,1016.7,,
2019-10-27 02:00:00,11.1,7.2,77.0,,,350.0,31.7,,1017.3,,
2019-10-27 03:00:00,11.1,6.0,71.0,,,10.0,18.4,,1017.9,,
2019-10-27 04:00:00,10.6,-1.2,44.0,,,20.0,7.6,,1018.6,,
2019-10-27 05:00:00,11.7,0.2,45.0,,,10.0,24.1,,1018.4,,
2019-10-27 06:00:00,12.2,0.0,43.0,,,20.0,22.3,,1018.3,,
2019-10-27 07:00:00,11.7,-0.5,43.0,,,360.0,20.5,,1018.9,,
2019-10-27 08:00:00,12.2,-2.1,37.0,,,10.0,20.5,,1018.9,,
2019-10-27 09:00:00,11.7,-2.9,36.0,0.0,,10.0,20.5,,1018.8,,
2019-10-27 10:00:00,11.7,-3.3,35.0,0.0,,10.0,18.4,,1019.1,,
2019-10-27 11:00:00,11.7,-4.1,33.0,0.0,,20.0,14.8,,1019.4,,
2019-10-27 12:00:00,11.1,-3.4,36.0,0.0,,10.0,18.4,,1019.6,,
2019-10-27 13:00:00,10.0,-3.3,39.0,0.0,,340.0,14.8,,1020.5,,
2019-10-27 14:00:00,10.0,-2.7,41.0,0.0,,360.0,14.8,,1020.8,,
2019-10-27 15:00:00,11.1,-2.3,39.0,0.0,,10.0,22.3,,1020.8,,
2019-10-27 16:00:00,11.7,-0.5,43.0,0.0,,10.0,16.6,,1021.5,,
2019-10-27 17:00:00,12.8,0.5,43.0,0.0,,350.0,14.8,,1021.5,,
2019-10-27 18:00:00,12.2,4.4,59.0,0.0,,340.0,24.1,,1021.2,,
2019-10-27 19:00:00,13.9,2.8,47.0,0.0,,360.0,20.5,,1021.0,,
2019-10-27 20:00:00,14.4,3.2,47.0,0.0,,330.0,24.1,,1020.6,,
2019-10-27 21:00:00,13.3,4.4,55.0,0.0,,340.0,29.5,,1020.1,,
2019-10-27 22:00:00,13.3,5.7,60.0,0.0,,340.0,25.9,,1019.8,,
2019-10-27 23:00:00,12.8,6.6,66.0,0.0,,350.0,24.1,,1019.5,,
2019-10-28 00:00:00,12.2,7.3,72.0,0.0,,340.0,14.8,,1019.5,,
2019-10-28 01:00:00,11.7,6.2,69.0,,,350.0,20.5,,1019.3,,
2019-10-28 02:00:00,10.6,6.2,74.0,,,350.0,16.6,,1019.8,,
2019-10-28 03:00:00,11.7,1.6,50.0,,,20.0,13.0,,1020.0,,
2019-10-28 04:00:00,12.8,-2.3,35.0,,,50.0,13.0,,1019.9,,
2019-10-28 05:00:00,12.2,-4.0,32.0,,,70.0,7.6,,1020.0,,
2019-10-28 06:00:00,11.1,-3.8,35.0,,,40.0,11.2,,1020.2,,
2019-10-28 07:00:00,11.7,-4.9,31.0,,,30.0,11.2,,1020.2,,
2019-10-28 08:00:00,12.2,-5.8,28.0,,,60.0,13.0,,1019.9,,
2019-10-28 09:00:00,11.7,-5.8,29.0,0.0,,60.0,14.8,,1019.6,,
2019-10-28 10:00:00,10.6,-5.0,33.0,0.0,,70.0,9.4,,1019.6,,
2019-10-28 11:00:00,10.6,-5.0,33.0,0.0,,60.0,14.8,,1019.2,,
2019-10-28 12:00:00,10.6,-5.4,32.0,0.0,,60.0,14.8,,1018.9,,
2019-10-28 13:00:00,9.4,-5.7,34.0,0.0,,50.0,13.0,,1019.0,,
