time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2021-08-15 20:00:00,38.2,12.1,21.0,0.0,,273.0,4.7,,1010.7,,
2021-08-15 21:00:00,41.5,12.4,18.0,0.0,,255.0,1.4,,1009.4,,
2021-08-15 22:00:00,43.3,12.1,16.0,0.0,,216.0,2.5,,1008.1,,
2021-08-15 23:00:00,44.6,12.1,15.0,0.0,,211.0,6.8,,1006.9,,
2021-08-16 00:00:00,45.1,10.3,13.0,0.0,,195.0,8.3,,1006.3,,
2021-08-16 01:00:00,44.8,10.1,13.0,0.0,,167.0,10.4,,1005.8,,
2021-08-16 02:00:00,42.8,11.7,16.0,0.0,,156.0,14.0,,1005.7,,
2021-08-16 03:00:00,39.4,12.3,20.0,0.0,,155.0,13.7,,1006.0,,
2021-08-16 04:00:00,36.6,12.8,24.0,0.0,,148.0,13.3,,1006.7,,
2021-08-16 05:00:00,34.3,12.6,27.0,0.0,,129.0,9.4,,1007.2,,
2021-08-16 06:00:00,31.5,13.7,34.0,0.0,,110.0,6.5,,1008.1,,
2021-08-16 07:00:00,30.3,14.0,37.0,0.0,,134.0,5.8,,1007.9,,
2021-08-16 08:00:00,28.5,14.3,42.0,0.0,,127.0,5.8,,1007.7,,
2021-08-16 09:00:00,28.3,14.5,43.0,0.0,,135.0,4.0,,1007.6,,
2021-08-16 10:00:00,27.8,14.4,44.0,0.0,,185.0,2.9,,1007.4,,
2021-08-16 11:00:00,27.2,14.2,45.0,0.0,,144.0,2.5,,1007.2,,
2021-08-16 12:00:00,26.3,14.4,48.0,0.0,,169.0,2.9,,1007.2,,
2021-08-16 13:00:00,25.3,14.4,51.0,0.0,,187.0,4.0,,1007.3,,
2021-08-16 14:00:00,25.5,15.2,53.0,0.0,,200.0,1.4,,1007.7,,
2021-08-16 15:00:00,25.4,14.8,52.0,0.0,,217.0,3.6,,1008.4,,
2021-08-16 16:00:00,27.9,14.5,44.0,0.0,,245.0,2.9,,1008.1,,
2021-08-16 17:00:00,30.9,14.1,36.0,0.0,,266.0,3.6,,1007.8,,
