time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-07 01:00:00,14.4,9.4,72.0,0.0,,280.0,9.4,,1017.5,,
2019-10-07 02:00:00,11.7,9.4,86.0,0.0,,190.0,7.6,,1017.8,,
2019-10-07 03:00:00,10.6,9.4,92.0,0.0,,160.0,9.4,,1018.0,,
2019-10-07 04:00:00,11.1,9.4,89.0,0.0,,160.0,5.4,,1018.2,,
2019-10-07 05:00:00,10.0,8.3,89.0,0.0,,130.0,5.4,,1018.4,,
2019-10-07 06:00:00,8.9,7.8,93.0,0.0,,,0.0,,1018.1,,
2019-10-07 07:00:00,8.3,7.2,93.0,0.0,,70.0,7.6,,1018.0,,
2019-10-07 08:00:00,8.3,7.2,93.0,0.0,,,0.0,,1017.4,,
2019-10-07 09:00:00,7.8,6.7,93.0,0.0,,100.0,5.4,,1017.5,,
2019-10-07 10:00:00,7.2,6.1,93.0,0.0,,100.0,7.6,,1017.5,,
2019-10-07 11:00:00,7.2,6.8,97.0,0.0,,90.0,5.4,,1016.9,,
2019-10-07 12:00:00,7.2,6.8,97.0,0.0,,,0.0,,1016.8,,
2019-10-07 13:00:00,6.7,5.6,93.0,0.0,,,0.0,,1017.3,,
2019-10-07 14:00:00,6.7,6.1,96.0,0.0,,,0.0,,1017.5,,
2019-10-07 15:00:00,7.2,6.1,93.0,0.0,,,0.0,,1017.8,,
2019-10-07 16:00:00,11.1,10.0,93.0,0.0,,,0.0,,1017.6,,
2019-10-07 17:00:00,14.4,10.6,78.0,0.0,,,0.0,,1017.7,,
2019-10-07 18:00:00,14.4,10.6,78.0,0.0,,280.0,7.6,,1017.7,,
2019-10-07 19:00:00,16.1,10.6,70.0,0.0,,300.0,7.6,,1017.3,,
2019-10-07 20:00:00,15.0,11.2,78.0,0.0,,310.0,11.2,,1017.0,,
2019-10-07 21:00:00,16.1,10.6,70.0,0.0,,300.0,9.4,,1016.3,,
2019-10-07 22:00:00,15.6,10.6,72.0,0.0,,320.0,11.2,,1016.3,,
2019-10-07 23:00:00,15.0,10.0,72.0,0.0,,300.0,7.6,,1016.4,,
2019-10-08 00:00:00,15.6,9.9,69.0,0.0,,240.0,9.4,,1016.2,,
2019-10-08 01:00:00,13.3,10.7,84.0,0.0,,290.0,7.6,,1016.0,,
2019-10-08 02:00:00,10.6,8.9,89.0,0.0,,190.0,7.6,,1016.1,,
2019-10-08 03:00:00,10.6,8.9,89.0,0.0,,,0.0,,1016.5,,
2019-10-08 04:00:00,10.6,9.4,92.0,0.0,,110.0,5.4,,1017.1,,
2019-10-08 05:00:00,8.9,7.8,93.0,0.0,,110.0,7.6,,1016.9,,
2019-10-08 06:00:00,8.9,7.8,93.0,0.0,,,0.0,,1017.0,,
2019-10-08 07:00:00,8.3,7.9,97.0,0.0,,,0.0,,1017.0,,
2019-10-08 08:00:00,8.3,7.2,93.0,0.0,,100.0,5.4,,1016.7,,
2019-10-08 09:00:00,7.8,7.2,96.0,0.0,,80.0,7.6,,1016.6,,
2019-10-08 10:00:00,7.2,6.8,97.0,0.0,,90.0,5.4,,1016.5,,
2019-10-08 11:00:00,8.9,8.3,96.0,0.0,,,0.0,,1016.2,,
2019-10-08 12:00:00,8.9,7.8,93.0,0.0,,70.0,7.6,,1016.0,,
2019-10-08 13:00:00,9.4,8.9,97.0,0.0,,90.0,5.4,,1016.0,,
