time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2020-10-23 23:00:00,21.7,8.9,44.0,0.0,,320.0,22.3,,1013.8,,
2020-10-24 00:00:00,20.6,11.8,57.0,0.0,,310.0,18.4,,1013.9,,
2020-10-24 01:00:00,19.4,11.7,61.0,0.0,,330.0,18.4,,1014.1,,
2020-10-24 02:00:00,17.8,11.8,68.0,0.0,,330.0,22.3,,1014.6,,
2020-10-24 03:00:00,16.7,11.2,70.0,0.0,,310.0,11.2,,1015.1,,
2020-10-24 04:00:00,15.6,11.2,75.0,0.0,,320.0,13.0,,1015.4,,
2020-10-24 05:00:00,15.6,10.6,72.0,0.0,,320.0,5.4,,1015.7,,
2020-10-24 06:00:00,15.0,10.6,75.0,0.0,,310.0,5.4,,1016.2,,
2020-10-24 07:00:00,15.0,10.6,75.0,0.0,,0.0,0.0,,1016.1,,
2020-10-24 08:00:00,14.4,11.2,81.0,0.0,,220.0,7.6,,1016.0,,
2020-10-24 09:00:00,14.4,11.2,81.0,0.0,,90.0,7.6,,1015.8,,
2020-10-24 10:00:00,13.3,9.9,80.0,0.0,,0.0,0.0,,1015.7,,
2020-10-24 11:00:00,13.3,9.4,77.0,0.0,,0.0,0.0,,1015.6,,
2020-10-24 12:00:00,12.8,10.0,83.0,0.0,,0.0,0.0,,1015.7,,
2020-10-24 13:00:00,11.7,9.4,86.0,0.0,,0.0,0.0,,1016.0,,
2020-10-24 14:00:00,11.7,9.4,86.0,0.0,,180.0,7.6,,1016.0,,
2020-10-24 15:00:00,11.7,9.4,86.0,0.0,,150.0,5.4,,1016.0,,
2020-10-24 16:00:00,13.9,9.9,77.0,0.0,,150.0,7.6,,1016.3,,5.0
2020-10-24 17:00:00,16.1,10.6,70.0,0.0,,350.0,5.4,,1016.7,,
2020-10-24 18:00:00,18.3,11.1,63.0,0.0,,350.0,7.6,,1016.4,,
2020-10-24 19:00:00,18.9,11.2,61.0,0.0,,300.0,9.4,,1015.9,,
2020-10-24 20:00:00,20.0,11.2,57.0,0.0,,340.0,13.0,,1015.2,,
2020-10-24 21:00:00,21.1,11.1,53.0,0.0,,340.0,9.4,,1014.0,,
2020-10-24 22:00:00,21.1,11.1,53.0,0.0,,340.0,11.2,,1013.2,,
2020-10-24 23:00:00,21.7,11.1,51.0,0.0,,340.0,11.2,,1012.5,,
