time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2018-10-12 22:00:00,19.4,-7.1,16.0,0.0,,110.0,13.0,,1009.9,,
2018-10-12 23:00:00,20.0,-7.4,15.0,0.0,,300.0,11.2,,1009.3,,
2018-10-13 00:00:00,17.8,1.3,33.0,0.0,,250.0,9.4,,1010.1,,
2018-10-13 01:00:00,16.7,1.2,35.0,0.0,,280.0,9.4,,1010.2,,
2018-10-13 02:00:00,14.4,1.0,40.0,0.0,,350.0,5.4,,1010.7,,
2018-10-13 03:00:00,12.8,-2.7,34.0,0.0,,,9.4,,1011.4,,
2018-10-13 04:00:00,12.2,-5.8,28.0,0.0,,60.0,5.4,,1011.2,,
2018-10-13 05:00:00,12.8,-7.3,24.0,0.0,,40.0,7.6,,1010.7,,
2018-10-13 06:00:00,12.8,-9.0,21.0,0.0,,110.0,5.4,,1010.2,,
2018-10-13 07:00:00,12.8,-10.3,19.0,0.0,,40.0,9.4,,1010.6,,
2018-10-13 08:00:00,12.2,-8.9,22.0,0.0,,50.0,11.2,,1010.0,,
2018-10-13 09:00:00,11.1,-6.7,28.0,0.0,,40.0,9.4,,1010.1,,
2018-10-13 10:00:00,12.2,-8.9,22.0,0.0,,60.0,7.6,,1009.1,,
2018-10-13 11:00:00,12.2,-11.5,18.0,0.0,,60.0,7.6,,1008.3,,
2018-10-13 12:00:00,12.2,-12.2,17.0,0.0,,40.0,5.4,,1009.0,,
2018-10-13 13:00:00,13.3,-8.0,22.0,0.0,,,0.0,,1009.2,,
2018-10-13 14:00:00,12.2,-10.8,19.0,0.0,,,11.2,,1010.3,,
2018-10-13 15:00:00,13.9,-10.8,17.0,0.0,,20.0,9.4,,1010.4,,
2018-10-13 16:00:00,15.6,-6.7,21.0,0.0,,40.0,11.2,,1010.4,,
2018-10-13 17:00:00,17.8,-5.5,20.0,0.0,,,9.4,,1009.7,,
2018-10-13 18:00:00,19.4,-4.2,20.0,0.0,,170.0,9.4,,1009.2,,
2018-10-13 19:00:00,20.6,-4.6,18.0,0.0,,300.0,9.4,,1008.7,,
2018-10-13 20:00:00,20.0,-2.4,22.0,0.0,,270.0,13.0,,1008.9,,
2018-10-13 21:00:00,20.0,-0.6,25.0,0.0,,260.0,13.0,,1008.9,,
2018-10-13 22:00:00,19.4,-0.6,26.0,0.0,,240.0,13.0,,1008.5,,
2018-10-13 23:00:00,18.9,-1.0,26.0,0.0,,240.0,13.0,,1009.0,,
2018-10-14 00:00:00,18.9,0.0,28.0,0.0,,270.0,14.8,,1009.0,,
