time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2020-09-25 19:00:00,19.4,6.8,44.0,0.0,,,11.2,,1016.4,,
2020-09-25 20:00:00,20.6,5.0,36.0,0.0,,180.0,13.0,,1015.6,,
2020-09-25 21:00:00,21.1,1.9,28.0,0.0,,200.0,16.6,,1015.0,,
2020-09-25 22:00:00,21.7,5.6,35.0,0.0,,,11.2,,1014.2,,
2020-09-25 23:00:00,21.7,5.6,35.0,0.0,,230.0,14.8,,1014.0,,
2020-09-26 00:00:00,20.6,6.9,41.0,0.0,,240.0,13.0,,1014.6,,
2020-09-26 01:00:00,20.0,6.0,40.0,0.0,,290.0,11.2,,1014.8,,
2020-09-26 02:00:00,17.8,6.6,48.0,0.0,,270.0,5.4,,1015.8,,
2020-09-26 03:00:00,15.6,6.6,55.0,0.0,,0.0,0.0,,1016.7,,
2020-09-26 04:00:00,16.1,6.8,54.0,0.0,,40.0,5.4,,1016.4,,
2020-09-26 05:00:00,16.7,4.4,44.0,0.0,,350.0,5.4,,1016.4,,
2020-09-26 06:00:00,16.1,5.1,48.0,0.0,,0.0,0.0,,1016.0,,
2020-09-26 07:00:00,16.1,1.8,38.0,0.0,,340.0,9.4,,1015.8,,5.0
2020-09-26 08:00:00,16.1,2.1,39.0,0.0,,10.0,5.4,,1015.0,,5.0
2020-09-26 09:00:00,15.6,1.0,37.0,0.0,,10.0,5.4,,1015.3,,5.0
2020-09-26 10:00:00,15.0,2.8,44.0,0.0,,360.0,7.6,,1015.3,,5.0
2020-09-26 11:00:00,15.0,3.8,47.0,0.0,,10.0,9.4,,1015.1,,5.0
2020-09-26 12:00:00,15.6,1.0,37.0,0.0,,0.0,7.6,,1015.0,,
2020-09-26 13:00:00,15.6,1.0,37.0,0.0,,10.0,5.4,,1015.3,,
2020-09-26 14:00:00,15.0,1.8,41.0,0.0,,0.0,0.0,,1016.0,,
2020-09-26 15:00:00,15.6,5.5,51.0,0.0,,360.0,5.4,,1017.1,,
2020-09-26 16:00:00,17.2,5.5,46.0,0.0,,340.0,5.4,,1016.6,,
2020-09-26 17:00:00,18.3,5.5,43.0,0.0,,310.0,9.4,,1016.0,,
2020-09-26 18:00:00,18.9,6.0,43.0,0.0,,230.0,11.2,,1016.1,,
2020-09-26 19:00:00,20.0,5.6,39.0,0.0,,250.0,7.6,,1015.6,,
2020-09-26 20:00:00,21.7,6.0,36.0,0.0,,270.0,13.0,,1014.9,,
2020-09-26 21:00:00,21.7,6.8,38.0,0.0,,260.0,16.6,,1014.6,,
2020-09-26 22:00:00,22.2,7.2,38.0,0.0,,210.0,14.8,,1014.1,,
2020-09-26 23:00:00,21.1,7.7,42.0,0.0,,310.0,11.2,,1014.3,,
2020-09-27 00:00:00,20.0,8.3,47.0,0.0,,300.0,9.4,,1014.4,,
2020-09-27 01:00:00,18.3,8.3,52.0,0.0,,290.0,11.2,,1014.8,,
2020-09-27 02:00:00,17.8,7.2,50.0,0.0,,310.0,11.2,,1015.1,,
2020-09-27 03:00:00,16.7,7.3,54.0,0.0,,360.0,7.6,,1015.2,,
2020-09-27 04:00:00,17.2,7.8,54.0,0.0,,30.0,7.6,,1014.6,,
2020-09-27 05:00:00,17.8,4.4,41.0,0.0,,60.0,13.0,,1013.7,,
2020-09-27 06:00:00,17.8,3.3,38.0,0.0,,360.0,9.4,,1013.8,,
2020-09-27 07:00:00,17.8,2.9,37.0,0.0,,70.0,16.6,,1013.2,,
2020-09-27 08:00:00,17.8,2.9,37.0,0.0,,60.0,18.4,,1012.1,,
2020-09-27 09:00:00,17.2,2.4,37.0,0.0,,70.0,16.6,,1012.4,,
2020-09-27 10:00:00,17.2,1.6,35.0,0.0,,60.0,18.4,,1011.9,,
2020-09-27 11:00:00,17.2,1.2,34.0,0.0,,60.0,16.6,,1011.7,,
2020-09-27 12:00:00,16.7,1.2,35.0,0.0,,90.0,13.0,,1012.7,,
2020-09-27 13:00:00,16.1,1.0,36.0,0.0,,80.0,13.0,,1013.4,,
2020-09-27 14:00:00,16.1,1.0,36.0,0.0,,90.0,18.4,,1013.2,,
2020-09-27 15:00:00,16.7,1.5,36.0,0.0,,80.0,18.4,,1013.9,,
2020-09-27 16:00:00,17.2,1.6,35.0,0.0,,70.0,18.4,,1014.2,,
2020-09-27 17:00:00,19.4,2.3,32.0,0.0,,70.0,14.8,,1013.9,,
2020-09-27 18:00:00,21.1,2.4,29.0,0.0,,90.0,16.6,,1014.4,,
2020-09-27 19:00:00,22.8,1.2,24.0,0.0,,100.0,13.0,,1014.2,,
2020-09-27 20:00:00,25.0,0.5,20.0,0.0,,90.0,18.4,,1013.2,,
2020-09-27 21:00:00,25.6,1.0,20.0,0.0,,90.0,22.3,,1013.1,,
2020-09-27 22:00:00,26.7,2.6,21.0,0.0,,80.0,14.8,,1012.6,,
2020-09-27 23:00:00,25.0,2.4,23.0,0.0,,60.0,13.0,,1013.3,,
2020-09-28 00:00:00,24.4,1.3,22.0,0.0,,60.0,13.0,,1013.4,,
2020-09-28 01:00:00,23.3,0.4,22.0,0.0,,80.0,14.8,,1013.5,,
2020-09-28 02:00:00,21.1,-0.8,23.0,0.0,,80.0,16.6,,1014.5,,
2020-09-28 03:00:00,20.0,-1.2,24.0,0.0,,80.0,20.5,,1014.9,,
2020-09-28 04:00:00,19.4,-1.7,24.0,0.0,,70.0,13.0,,1015.2,,
2020-09-28 05:00:00,18.9,-1.6,25.0,0.0,,80.0,16.6,,1014.6,,
2020-09-28 06:00:00,18.9,-3.3,22.0,0.0,,80.0,20.5,,1014.6,,
2020-09-28 07:00:00,18.9,-4.6,20.0,0.0,,110.0,16.6,,1014.1,,
2020-09-28 08:00:00,19.4,-4.2,20.0,0.0,,80.0,16.6,,1013.8,,
2020-09-28 09:00:00,17.2,-4.1,23.0,0.0,,60.0,14.8,,1014.7,,
2020-09-28 10:00:00,16.7,-4.0,24.0,0.0,,70.0,13.0,,1014.7,,
2020-09-28 11:00:00,16.1,-4.0,25.0,0.0,,110.0,5.4,,1015.5,,
2020-09-28 12:00:00,16.7,-4.6,23.0,0.0,,90.0,5.4,,1015.2,,
2020-09-28 13:00:00,15.6,-4.9,24.0,0.0,,100.0,5.4,,1016.0,,
2020-09-28 14:00:00,15.0,-4.9,25.0,0.0,,90.0,5.4,,1016.8,,
