time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2020-10-23 17:00:00,8.0,4.9,81.0,,,0.0,0.0,,,,
2020-10-23 18:00:00,12.0,4.9,62.0,,,0.0,0.0,,,,
2020-10-23 19:00:00,14.0,6.1,59.0,,,280.0,13.0,,,,
2020-10-23 20:00:00,15.0,7.1,59.0,,,290.0,14.8,,,,
2020-10-23 21:00:00,15.0,7.1,59.0,,,290.0,22.3,,,,
2020-10-23 22:00:00,15.0,4.9,51.0,,,280.0,20.5,,,,
2020-10-23 23:00:00,14.0,5.1,55.0,,,270.0,27.7,,,,
2020-10-24 00:00:00,14.0,3.2,48.0,,,270.0,25.9,,,,
2020-10-24 01:00:00,13.0,3.9,54.0,,,270.0,18.4,,,,
2020-10-24 02:00:00,12.0,4.9,62.0,,,270.0,16.6,,,,
2020-10-24 03:00:00,12.0,4.9,62.0,,,270.0,13.0,,,,
2020-10-24 04:00:00,12.0,7.1,72.0,,,280.0,11.2,,,,
2020-10-24 05:00:00,10.0,7.1,82.0,,,310.0,7.6,,,,
2020-10-24 06:00:00,10.0,9.1,94.0,,,0.0,0.0,,,,
2020-10-24 07:00:00,10.0,7.9,87.0,,,0.0,0.0,,,,
2020-10-24 08:00:00,9.0,7.0,87.0,,,140.0,7.6,,,,
2020-10-24 09:00:00,9.0,7.0,87.0,,,120.0,11.2,,,,
2020-10-24 10:00:00,9.0,8.1,94.0,,,130.0,7.6,,,,
2020-10-24 11:00:00,9.0,7.0,87.0,,,130.0,11.2,,,,
2020-10-24 12:00:00,10.0,7.9,87.0,,,130.0,7.6,,,,
2020-10-24 13:00:00,8.0,8.0,100.0,,,140.0,7.6,,,,
2020-10-24 14:00:00,8.0,8.0,100.0,,,110.0,5.4,,,,
2020-10-24 15:00:00,9.0,8.1,94.0,,,0.0,0.0,,,,
2020-10-24 16:00:00,10.0,10.0,100.0,,,310.0,5.4,,,,
2020-10-24 17:00:00,12.0,12.0,100.0,,,,,,,,
2020-10-24 18:00:00,12.0,12.0,100.0,,,270.0,14.8,,,,
2020-10-24 19:00:00,12.0,12.0,100.0,,,280.0,18.4,,,,
2020-10-24 20:00:00,13.0,10.0,82.0,,,290.0,16.6,,,,
2020-10-24 21:00:00,14.0,8.0,67.0,,,290.0,18.4,,,,
2020-10-24 22:00:00,14.0,8.0,67.0,,,280.0,22.3,,,,
2020-10-24 23:00:00,14.0,8.0,67.0,,,280.0,24.1,,,,
2020-10-25 00:00:00,12.0,8.1,77.0,,,290.0,14.8,,,,
2020-10-25 01:00:00,10.0,7.1,82.0,,,280.0,16.6,,,,
2020-10-25 02:00:00,10.0,7.9,87.0,,,280.0,11.2,,,,
2020-10-25 03:00:00,9.0,8.1,94.0,,,300.0,13.0,,,,
2020-10-25 04:00:00,9.0,8.1,94.0,,,280.0,11.2,,,,
2020-10-25 05:00:00,9.0,8.1,94.0,,,280.0,9.4,,,,
2020-10-25 06:00:00,8.0,6.9,93.0,,,0.0,0.0,,,,
2020-10-25 07:00:00,8.0,8.0,100.0,,,0.0,0.0,,,,
2020-10-25 08:00:00,8.0,8.0,100.0,,,0.0,0.0,,,,
2020-10-25 09:00:00,8.0,8.0,100.0,,,0.0,0.0,,,,
2020-10-25 10:00:00,8.0,8.0,100.0,,,0.0,0.0,,,,
2020-10-25 11:00:00,8.0,8.0,100.0,,,0.0,0.0,,,,
2020-10-25 12:00:00,8.0,8.0,100.0,,,0.0,0.0,,,,
2020-10-25 13:00:00,8.0,8.0,100.0,,,0.0,0.0,,,,
2020-10-25 14:00:00,8.0,6.9,93.0,,,0.0,0.0,,,,
2020-10-25 15:00:00,7.0,7.0,100.0,,,0.0,0.0,,,,
2020-10-25 16:00:00,7.0,7.0,100.0,,,300.0,5.4,,,,
2020-10-25 17:00:00,8.0,8.0,100.0,,,0.0,0.0,,,,
2020-10-25 18:00:00,10.0,7.9,87.0,,,310.0,7.6,,,,
2020-10-25 19:00:00,12.0,8.1,77.0,,,310.0,5.4,,,,
2020-10-25 20:00:00,14.0,9.0,72.0,,,280.0,11.2,,,,
2020-10-25 21:00:00,15.0,8.9,67.0,,,280.0,16.6,,,,
2020-10-25 22:00:00,16.0,7.0,55.0,,,280.0,18.4,,,,
2020-10-25 23:00:00,14.0,6.1,59.0,,,290.0,18.4,,,,
2020-10-26 00:00:00,13.0,7.0,67.0,,,300.0,16.6,,,,
2020-10-26 01:00:00,12.0,4.0,58.0,,,300.0,5.4,,,,
2020-10-26 02:00:00,10.0,3.9,66.0,,,0.0,0.0,,,,
2020-10-26 03:00:00,9.0,6.1,82.0,,,140.0,9.4,,,,
2020-10-26 04:00:00,8.0,6.9,93.0,,,150.0,9.4,,,,
2020-10-26 05:00:00,8.0,6.9,93.0,,,130.0,13.0,,,,
2020-10-26 06:00:00,7.0,5.0,87.0,,,110.0,20.5,,,,
2020-10-26 07:00:00,5.0,4.0,93.0,,,140.0,18.4,,,,
2020-10-26 08:00:00,5.0,2.0,81.0,,,140.0,16.6,,,,
2020-10-26 09:00:00,10.0,0.0,75.0,,,120.0,14.8,,,,
2020-10-26 10:00:00,4.0,0.0,75.0,,,160.0,16.6,,,,
2020-10-26 11:00:00,4.0,-2.0,65.0,,,160.0,16.6,,,,
2020-10-26 12:00:00,5.0,-4.0,52.0,,,150.0,14.8,,,,
2020-10-26 13:00:00,4.0,-4.0,56.0,,,140.0,14.8,,,,
2020-10-26 14:00:00,5.0,-6.0,45.0,,,150.0,18.4,,,,
2020-10-26 15:00:00,4.0,-5.0,52.0,,,140.0,16.6,,,,
2020-10-26 16:00:00,8.0,-5.1,39.0,,,130.0,14.8,,,,
2020-10-26 17:00:00,9.0,-2.9,43.0,,,150.0,11.2,,,,
