time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2021-10-09 05:00:00,2.0,-2.0,75.0,0.3,,280.0,6.0,,1021.0,,
2021-10-09 06:00:00,2.0,-2.0,75.0,0.1,,280.0,6.0,,1021.0,,
2021-10-09 07:00:00,1.0,-2.1,80.0,0.0,,300.0,9.0,,1021.0,,
2021-10-09 08:00:00,1.0,-2.1,80.0,0.0,,300.0,7.0,,1022.0,,
2021-10-09 09:00:00,1.0,-2.1,80.0,0.0,,10.0,7.0,,1022.0,,
2021-10-09 10:00:00,0.0,-2.1,86.0,0.0,,347.0,2.5,,1023.0,,
2021-10-09 11:00:00,-1.0,-3.0,86.0,0.0,,332.0,1.4,,1023.0,,
2021-10-09 12:00:00,-2.0,-3.0,93.0,0.0,,6.0,2.9,,1023.0,,
2021-10-09 13:00:00,-3.0,-4.0,93.0,0.0,,23.0,3.2,,1024.0,,
2021-10-09 14:00:00,-3.0,-4.0,93.0,0.0,,20.0,4.7,,1024.0,,
2021-10-09 15:00:00,3.0,-1.9,70.0,0.0,,27.0,4.3,,1025.0,,
2021-10-09 16:00:00,4.0,-1.0,70.0,0.0,,59.0,4.0,,1025.0,,
2021-10-09 17:00:00,9.0,0.9,57.0,0.0,,96.0,4.7,,1025.0,,
2021-10-09 18:00:00,11.0,0.1,47.0,0.0,,150.0,11.0,,1025.0,,
2021-10-09 19:00:00,13.0,-1.0,38.0,0.0,,140.0,7.0,,1024.0,,
2021-10-09 20:00:00,15.0,-1.2,33.0,0.0,,120.0,7.0,,1024.0,,
2021-10-09 21:00:00,15.0,-2.0,31.0,0.0,,160.0,9.0,,1023.0,,
2021-10-09 22:00:00,17.0,-2.1,27.0,0.0,,150.0,13.0,,1023.0,,
2021-10-09 23:00:00,17.0,-2.1,27.0,0.0,,160.0,13.0,,1023.0,,
2021-10-10 00:00:00,16.0,-3.0,27.0,0.0,,150.0,7.0,,1023.0,,
2021-10-10 01:00:00,16.0,-2.0,29.0,0.0,,160.0,6.0,,1023.0,,
2021-10-10 02:00:00,11.0,1.0,50.0,0.0,,300.0,7.0,,1023.0,,
2021-10-10 03:00:00,8.0,-1.0,53.0,0.0,,360.0,4.3,,1024.0,,
2021-10-10 04:00:00,6.0,-1.0,61.0,0.0,,280.0,7.0,,1024.0,,
2021-10-10 05:00:00,6.0,-1.9,57.0,0.0,,310.0,9.0,,1025.0,,
2021-10-10 06:00:00,4.0,-3.1,60.0,0.0,,355.0,4.7,,1025.0,,
2021-10-10 07:00:00,1.0,-4.1,69.0,0.0,,300.0,6.0,,1025.0,,
2021-10-10 08:00:00,3.0,-4.0,60.0,0.0,,300.0,11.0,,1025.0,,
2021-10-10 09:00:00,0.0,-5.0,69.0,0.0,,339.0,4.0,,1025.0,,
