time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-09-23 04:00:00,24.0,8.8,38.0,,,350.0,9.4,,,,
2019-09-23 05:00:00,23.0,9.0,41.0,,,,0.0,,,,
2019-09-23 06:00:00,21.0,8.9,46.0,,,,0.0,,,,
2019-09-23 07:00:00,19.0,8.9,52.0,,,,0.0,,,,
2019-09-23 08:00:00,19.0,10.0,56.0,,,330.0,18.4,,,,
2019-09-23 09:00:00,18.0,11.1,64.0,,,330.0,14.8,,,,
2019-09-23 10:00:00,18.0,11.1,64.0,,,360.0,13.0,,,,
2019-09-23 11:00:00,18.0,12.0,68.0,,,340.0,7.6,,,,
2019-09-23 12:00:00,17.0,11.9,72.0,,,,0.0,,,,
2019-09-23 13:00:00,15.0,10.0,72.0,,,,0.0,,,,
2019-09-23 14:00:00,,,,,,,,,,,
2019-09-23 15:00:00,19.0,8.0,49.0,,,320.0,19.0,,,,
2019-09-23 16:00:00,23.0,7.1,36.0,,,310.0,30.0,,,,
2019-09-23 17:00:00,23.0,7.1,36.0,,,310.0,29.5,,,,
2019-09-23 18:00:00,27.0,4.7,24.0,,,310.0,37.0,,,,
2019-09-23 19:00:00,27.0,4.7,24.0,,,310.0,37.1,,,,
2019-09-23 20:00:00,29.0,5.1,22.0,,,320.0,37.1,,,,
2019-09-23 21:00:00,,,,,,,,,,,
2019-09-23 22:00:00,32.0,3.0,16.0,,,290.0,33.0,,,,
2019-09-23 23:00:00,,,,,,,,,,,
2019-09-24 00:00:00,30.0,-0.4,14.0,,,290.0,32.0,,,,
2019-09-24 01:00:00,30.0,-0.4,14.0,,,290.0,31.7,,,,
2019-09-24 02:00:00,29.0,3.0,19.0,,,300.0,18.4,,,,
2019-09-24 03:00:00,,,,,,,,,,,
2019-09-24 04:00:00,24.0,3.8,27.0,,,,0.0,,,,
2019-09-24 05:00:00,22.0,5.0,33.0,,,,0.0,,,,
2019-09-24 06:00:00,22.0,5.0,33.0,,,320.0,20.5,,,,
2019-09-24 07:00:00,20.0,6.0,40.0,,,330.0,14.8,,,,
2019-09-24 08:00:00,20.0,4.9,37.0,,,,0.0,,,,
2019-09-24 09:00:00,,,,,,,,,,,
2019-09-24 10:00:00,,,,,,,,,,,
2019-09-24 11:00:00,18.0,7.1,49.0,,,,,,,,
2019-09-24 12:00:00,18.0,7.1,49.0,,,,0.0,,,,
2019-09-24 13:00:00,18.0,5.9,45.0,,,330.0,0.0,,,,
2019-09-24 14:00:00,17.0,5.9,48.0,,,330.0,13.0,,,,
2019-09-24 15:00:00,23.0,5.0,31.0,,,310.0,22.0,,,,
2019-09-24 16:00:00,23.0,5.0,31.0,,,310.0,22.3,,,,
2019-09-24 17:00:00,,,,,,,,,,,
2019-09-24 18:00:00,32.0,3.0,16.0,,,290.0,26.0,,,,
2019-09-24 19:00:00,34.0,2.7,14.0,,,300.0,32.0,,,,
2019-09-24 20:00:00,34.0,2.7,14.0,,,300.0,31.7,,,,
2019-09-24 21:00:00,,,,,,,,,,,
2019-09-24 22:00:00,37.0,5.1,14.0,,,290.0,24.0,,,,
2019-09-24 23:00:00,38.0,4.8,13.0,,,310.0,28.0,,,,
2019-09-25 00:00:00,38.0,4.8,13.0,,,310.0,27.7,,,,
2019-09-25 01:00:00,34.0,8.6,21.0,,,290.0,19.0,,,,
2019-09-25 02:00:00,34.0,9.3,22.0,,,290.0,18.4,,,,
2019-09-25 03:00:00,,,,,,,,,,,
2019-09-25 04:00:00,28.0,9.8,32.0,,,,0.0,,,,
2019-09-25 05:00:00,28.0,8.8,30.0,,,,0.0,,,,
2019-09-25 06:00:00,27.0,8.9,32.0,,,340.0,11.2,,,,
2019-09-25 07:00:00,27.0,9.8,34.0,,,,0.0,,,,
2019-09-25 08:00:00,25.0,10.1,39.0,,,,0.0,,,,
2019-09-25 09:00:00,24.0,9.9,41.0,,,,0.0,,,,
2019-09-25 10:00:00,23.0,11.1,47.0,,,,0.0,,,,
2019-09-25 11:00:00,21.0,11.1,53.0,,,,0.0,,,,
2019-09-25 12:00:00,21.0,9.9,49.0,,,,0.0,,,,
2019-09-25 13:00:00,20.0,11.0,56.0,,,,0.0,,,,
2019-09-25 14:00:00,19.0,11.1,60.0,,,,0.0,,,,
2019-09-25 15:00:00,20.0,11.0,56.0,,,,0.0,,,,
2019-09-25 16:00:00,24.0,11.0,44.0,,,,0.0,,,,
