time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2020-10-20 06:00:00,23.0,1.9,25.0,,,70.0,9.4,,,,
2020-10-20 07:00:00,19.0,1.9,32.0,,,0.0,0.0,,,,
2020-10-20 08:00:00,17.0,2.2,37.0,,,340.0,7.6,,,,
2020-10-20 09:00:00,19.0,1.9,32.0,,,70.0,7.6,,,,
2020-10-20 10:00:00,15.0,1.8,41.0,,,290.0,7.6,,,,
2020-10-20 11:00:00,15.0,1.8,41.0,,,350.0,7.6,,,,
2020-10-20 12:00:00,15.0,1.8,41.0,,,300.0,5.4,,,,
2020-10-20 13:00:00,16.0,3.1,42.0,,,0.0,0.0,,,,
2020-10-20 14:00:00,14.0,1.9,44.0,,,270.0,7.6,,,,
2020-10-20 15:00:00,12.0,1.9,50.0,,,0.0,0.0,,,,
2020-10-20 16:00:00,18.0,1.9,34.0,,,20.0,5.4,,,,
2020-10-20 17:00:00,20.0,1.9,30.0,,,290.0,9.4,,,,
2020-10-20 18:00:00,28.0,0.7,17.0,,,,9.0,,,,
2020-10-20 19:00:00,28.0,0.7,17.0,,,300.0,9.4,,,,
2020-10-20 20:00:00,33.0,-0.2,12.0,,,300.0,20.0,,,,
2020-10-20 21:00:00,33.0,-0.2,12.0,,,300.0,7.0,,,,
2020-10-20 22:00:00,33.0,-0.2,12.0,,,300.0,7.6,,,,
2020-10-20 23:00:00,34.0,1.7,13.0,,,290.0,28.0,,,,
2020-10-21 00:00:00,33.0,3.8,16.0,,,300.0,22.0,,,,
2020-10-21 01:00:00,29.0,3.8,20.0,,,310.0,19.0,,,,
2020-10-21 02:00:00,,,,,,,,,,,
2020-10-21 03:00:00,25.0,4.2,26.0,,,,,,,,
2020-10-21 04:00:00,25.0,4.2,26.0,,,150.0,5.4,,,,
2020-10-21 05:00:00,23.0,3.0,27.0,,,0.0,0.0,,,,
2020-10-21 06:00:00,22.0,3.1,29.0,,,40.0,7.6,,,,
2020-10-21 07:00:00,22.0,3.1,29.0,,,70.0,9.4,,,,
2020-10-21 08:00:00,20.0,3.2,33.0,,,20.0,5.4,,,,
2020-10-21 09:00:00,18.0,3.1,37.0,,,0.0,0.0,,,,
2020-10-21 10:00:00,17.0,2.9,39.0,,,0.0,0.0,,,,
2020-10-21 11:00:00,17.0,2.9,39.0,,,0.0,0.0,,,,
2020-10-21 12:00:00,14.0,1.9,44.0,,,0.0,0.0,,,,
2020-10-21 13:00:00,14.0,3.2,48.0,,,100.0,5.4,,,,
2020-10-21 14:00:00,15.0,3.2,45.0,,,,9.4,,,,
2020-10-21 15:00:00,18.0,4.2,40.0,,,,9.0,,,,
2020-10-21 16:00:00,24.0,3.8,27.0,,,190.0,6.0,,,,
2020-10-21 17:00:00,24.0,3.8,27.0,,,190.0,5.4,,,,
2020-10-21 18:00:00,23.0,5.0,31.0,,,,9.4,,,,
2020-10-21 19:00:00,24.0,3.8,27.0,,,0.0,0.0,,,,
2020-10-21 20:00:00,28.0,4.3,22.0,,,,7.6,,,,
2020-10-21 21:00:00,30.0,3.1,18.0,,,,0.0,,,,
2020-10-21 22:00:00,30.0,3.1,18.0,,,0.0,0.0,,,,
2020-10-21 23:00:00,31.0,3.9,18.0,,,210.0,13.0,,,,
2020-10-22 00:00:00,32.0,2.1,15.0,,,,11.2,,,,
2020-10-22 01:00:00,29.0,3.8,20.0,,,90.0,7.6,,,,
2020-10-22 02:00:00,,,,,,,,,,,
2020-10-22 03:00:00,22.0,3.1,29.0,,,,,,,,
2020-10-22 04:00:00,22.0,3.1,29.0,,,0.0,0.0,,,,
2020-10-22 05:00:00,19.0,3.2,35.0,,,0.0,0.0,,,,
2020-10-22 06:00:00,19.0,4.0,37.0,,,0.0,0.0,,,,
2020-10-22 07:00:00,20.0,3.2,33.0,,,40.0,5.4,,,,
2020-10-22 08:00:00,18.0,3.1,37.0,,,360.0,5.4,,,,
2020-10-22 09:00:00,16.0,0.1,34.0,,,310.0,11.2,,,,
2020-10-22 10:00:00,17.0,0.2,32.0,,,340.0,7.6,,,,
2020-10-22 11:00:00,16.0,-4.0,25.0,,,350.0,9.4,,,,
2020-10-22 12:00:00,15.0,-2.0,31.0,,,330.0,18.4,,,,
2020-10-22 13:00:00,15.0,-2.0,31.0,,,330.0,22.3,,,,
2020-10-22 14:00:00,15.0,-2.9,29.0,,,310.0,24.1,,,,
2020-10-22 15:00:00,15.0,-3.9,27.0,,,310.0,27.7,,,,
