time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2021-10-13 01:00:00,18.3,-5.7,19.0,0.0,,340.0,11.2,,1015.0,,
2021-10-13 02:00:00,15.6,-5.5,23.0,0.0,,350.0,11.2,,1015.3,,
2021-10-13 03:00:00,14.4,-5.4,25.0,0.0,,40.0,5.4,,1015.5,,
2021-10-13 04:00:00,13.9,-5.8,25.0,0.0,,40.0,7.6,,1016.0,,
2021-10-13 05:00:00,12.8,-4.8,29.0,0.0,,80.0,5.4,,1016.5,,
2021-10-13 06:00:00,12.2,-4.9,30.0,0.0,,120.0,9.4,,1016.6,,
2021-10-13 07:00:00,11.7,-4.9,31.0,0.0,,130.0,5.4,,1016.7,,
2021-10-13 08:00:00,11.1,-5.0,32.0,0.0,,120.0,7.6,,1016.5,,
2021-10-13 09:00:00,11.7,-5.8,29.0,0.0,,110.0,5.4,,1016.8,,
2021-10-13 10:00:00,10.0,-5.6,33.0,0.0,,80.0,7.6,,1016.6,,
2021-10-13 11:00:00,10.6,-6.3,30.0,0.0,,100.0,11.2,,1015.8,,
2021-10-13 12:00:00,8.3,-5.9,36.0,0.0,,150.0,5.4,,1016.1,,
2021-10-13 13:00:00,7.2,-4.9,42.0,0.0,,140.0,11.2,,1016.0,,
2021-10-13 14:00:00,8.3,-4.9,39.0,0.0,,140.0,5.4,,1016.5,,
2021-10-13 15:00:00,9.4,-5.7,34.0,0.0,,120.0,5.4,,1016.9,,
2021-10-13 16:00:00,12.8,-5.8,27.0,0.0,,170.0,5.4,,1017.3,,
2021-10-13 17:00:00,15.0,-6.0,23.0,0.0,,170.0,9.4,,1017.3,,
2021-10-13 18:00:00,16.7,-5.8,21.0,0.0,,140.0,7.6,,1016.7,,5.0
2021-10-13 19:00:00,18.3,-4.4,21.0,0.0,,210.0,9.4,,1016.4,,
2021-10-13 20:00:00,20.0,-4.3,19.0,0.0,,0.0,0.0,,1015.2,,
2021-10-13 21:00:00,21.1,-4.2,18.0,0.0,,330.0,9.4,,1014.5,,
2021-10-13 22:00:00,21.7,-4.4,17.0,0.0,,310.0,14.8,,1014.0,,
2021-10-13 23:00:00,21.1,-4.2,18.0,0.0,,200.0,5.4,,1013.4,,
2021-10-14 00:00:00,21.7,-4.4,17.0,0.0,,280.0,9.4,,1013.0,,
2021-10-14 01:00:00,21.1,-4.2,18.0,0.0,,320.0,9.4,,1013.0,,
2021-10-14 02:00:00,18.3,-2.6,24.0,0.0,,330.0,7.6,,1013.3,,
2021-10-14 03:00:00,17.8,-3.6,23.0,0.0,,20.0,5.4,,1013.6,,
2021-10-14 04:00:00,16.1,-5.1,23.0,0.0,,30.0,7.6,,1014.2,,
2021-10-14 05:00:00,16.7,-4.0,24.0,0.0,,80.0,7.6,,1014.7,,
2021-10-14 06:00:00,14.4,-3.9,28.0,0.0,,0.0,0.0,,1015.3,,
2021-10-14 07:00:00,15.0,-4.4,26.0,0.0,,80.0,9.4,,1015.4,,
2021-10-14 08:00:00,13.3,-5.8,26.0,0.0,,80.0,7.6,,1015.5,,
2021-10-14 09:00:00,11.7,-5.8,29.0,0.0,,0.0,0.0,,1015.9,,
2021-10-14 10:00:00,11.1,-5.0,32.0,0.0,,10.0,5.4,,1016.2,,
2021-10-14 11:00:00,11.1,-5.4,31.0,0.0,,0.0,0.0,,1016.2,,
2021-10-14 12:00:00,9.4,-5.7,34.0,0.0,,0.0,0.0,,1016.8,,
2021-10-14 13:00:00,9.4,-1.6,46.0,0.0,,50.0,7.6,,1017.5,,
2021-10-14 14:00:00,10.0,-2.3,42.0,0.0,,120.0,5.4,,1018.1,,5.0
2021-10-14 15:00:00,10.0,-1.7,44.0,0.0,,150.0,11.2,,1019.1,,5.0
2021-10-14 16:00:00,12.2,-2.8,35.0,0.0,,140.0,16.6,,1019.6,,5.0
2021-10-14 17:00:00,14.4,-0.5,36.0,0.0,,150.0,11.2,,1020.0,,5.0
2021-10-14 18:00:00,16.7,1.5,36.0,0.0,,200.0,7.6,,1019.9,,5.0
2021-10-14 19:00:00,18.3,2.2,34.0,0.0,,233.0,5.4,,1019.5,,5.0
2021-10-14 20:00:00,20.0,2.4,31.0,0.0,,270.0,7.6,,1018.8,,
2021-10-14 21:00:00,21.7,-1.6,21.0,0.0,,270.0,11.2,,1018.0,,
2021-10-14 22:00:00,22.2,0.7,24.0,0.0,,310.0,7.6,,1017.6,,
2021-10-14 23:00:00,22.8,0.6,23.0,0.0,,310.0,13.0,,1017.3,,
2021-10-15 00:00:00,23.3,0.4,22.0,0.0,,300.0,9.4,,1017.1,,
2021-10-15 01:00:00,22.2,0.1,23.0,0.0,,290.0,11.2,,1017.2,,
2021-10-15 02:00:00,20.0,-0.1,26.0,0.0,,320.0,5.4,,1017.8,,
2021-10-15 03:00:00,19.4,-1.1,25.0,0.0,,0.0,0.0,,1018.4,,
2021-10-15 04:00:00,18.3,-0.5,28.0,0.0,,120.0,7.6,,1019.0,,
2021-10-15 05:00:00,16.7,-1.0,30.0,0.0,,80.0,7.6,,1019.4,,
2021-10-15 06:00:00,16.1,0.6,35.0,0.0,,120.0,5.4,,1019.7,,
2021-10-15 07:00:00,16.7,-0.1,32.0,0.0,,110.0,7.6,,1019.6,,
2021-10-15 08:00:00,13.9,-0.6,37.0,0.0,,0.0,0.0,,1019.6,,
2021-10-15 09:00:00,12.8,-1.2,38.0,0.0,,70.0,7.6,,1019.6,,
2021-10-15 10:00:00,12.8,-1.2,38.0,0.0,,0.0,0.0,,1019.6,,
2021-10-15 11:00:00,11.1,-0.7,44.0,0.0,,80.0,5.4,,1019.8,,
2021-10-15 12:00:00,11.1,-1.0,43.0,0.0,,0.0,0.0,,1020.0,,
2021-10-15 13:00:00,11.1,-0.1,46.0,0.0,,0.0,0.0,,1020.5,,
2021-10-15 14:00:00,10.0,-1.1,46.0,0.0,,0.0,0.0,,1020.8,,5.0
2021-10-15 15:00:00,11.7,-0.5,43.0,0.0,,0.0,0.0,,1021.3,,5.0
