time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-25 01:00:00,26.2,-3.4,14.0,,,310.0,7.6,,,,
2019-10-25 02:00:00,24.8,-3.6,15.0,,,,0.0,,,,
2019-10-25 03:00:00,21.1,-2.1,21.0,,,,0.0,,,,
2019-10-25 04:00:00,18.6,0.2,29.0,,,110.0,5.4,,,,
2019-10-25 05:00:00,17.0,-0.3,31.0,,,140.0,5.4,,,,
2019-10-25 06:00:00,16.1,-0.2,33.0,,,120.0,7.6,,,,
2019-10-25 07:00:00,15.2,-1.4,32.0,,,200.0,7.6,,,,
2019-10-25 08:00:00,15.5,-0.7,33.0,,,160.0,11.2,,,,
2019-10-25 09:00:00,15.2,-1.8,31.0,,,120.0,5.4,,,,
2019-10-25 10:00:00,13.0,-0.3,40.0,,,150.0,5.4,,,,
2019-10-25 11:00:00,14.1,-3.2,30.0,,,140.0,7.6,,,,
2019-10-25 12:00:00,12.6,-2.9,34.0,,,130.0,7.6,,,,
2019-10-25 13:00:00,12.8,-3.5,32.0,,,,0.0,,,,
2019-10-25 14:00:00,12.6,-2.5,35.0,,,,0.0,,,,
2019-10-25 15:00:00,12.2,-2.1,37.0,,,,0.0,,,,
2019-10-25 16:00:00,14.8,-2.2,31.0,,,,0.0,,,,
2019-10-25 17:00:00,19.1,-2.0,24.0,,,,0.0,,,,
2019-10-25 18:00:00,24.8,-1.9,17.0,,,,0.0,,,,
2019-10-25 19:00:00,26.5,-2.2,15.0,,,330.0,5.4,,,,
2019-10-25 20:00:00,28.2,-1.8,14.0,,,340.0,9.4,,,,
2019-10-25 21:00:00,29.8,-2.7,12.0,,,10.0,9.4,,,,
2019-10-25 22:00:00,30.0,-2.5,12.0,,,230.0,7.6,,,,
2019-10-25 23:00:00,28.7,-0.5,15.0,,,340.0,14.8,,,,
2019-10-26 00:00:00,28.0,-2.0,14.0,,,210.0,7.6,,,,
2019-10-26 01:00:00,25.1,1.2,21.0,,,320.0,14.8,,,,
2019-10-26 02:00:00,22.6,1.0,24.0,,,,0.0,,,,
2019-10-26 03:00:00,21.7,1.4,26.0,,,,0.0,,,,
2019-10-26 04:00:00,17.7,1.2,33.0,,,110.0,5.4,,,,
2019-10-26 05:00:00,16.2,1.1,36.0,,,130.0,7.6,,,,
2019-10-26 06:00:00,15.0,0.8,38.0,,,130.0,5.4,,,,
2019-10-26 07:00:00,14.7,0.9,39.0,,,,0.0,,,,
2019-10-26 08:00:00,13.9,0.5,40.0,,,,0.0,,,,
2019-10-26 09:00:00,14.0,0.6,40.0,,,,0.0,,,,
2019-10-26 10:00:00,13.0,0.4,42.0,,,,0.0,,,,
2019-10-26 11:00:00,12.7,0.4,43.0,,,180.0,5.4,,,,
2019-10-26 12:00:00,12.0,0.1,44.0,,,130.0,5.4,,,,
2019-10-26 13:00:00,9.0,0.9,57.0,,,,0.0,,,,
2019-10-26 14:00:00,11.2,0.0,46.0,,,180.0,9.4,,,,
2019-10-26 15:00:00,11.4,-0.4,44.0,,,,0.0,,,,
2019-10-26 16:00:00,13.6,-0.1,39.0,,,160.0,7.6,,,,
2019-10-26 17:00:00,18.5,0.1,29.0,,,,0.0,,,,
2019-10-26 18:00:00,22.7,-0.8,21.0,,,,0.0,,,,
2019-10-26 19:00:00,24.4,0.0,20.0,,,360.0,9.4,,,,
2019-10-26 20:00:00,25.5,0.2,19.0,,,340.0,14.8,,,,
2019-10-26 21:00:00,25.9,-0.2,18.0,,,340.0,16.6,,,,
2019-10-26 22:00:00,26.2,0.0,18.0,,,320.0,13.0,,,,
2019-10-26 23:00:00,26.2,-0.8,17.0,,,350.0,7.6,,,,
2019-10-27 00:00:00,25.9,-0.2,18.0,,,350.0,7.6,,,,
2019-10-27 01:00:00,23.3,0.4,22.0,,,330.0,9.4,,,,
2019-10-27 02:00:00,21.8,0.9,25.0,,,330.0,14.8,,,,
2019-10-27 03:00:00,19.3,1.3,30.0,,,,0.0,,,,
2019-10-27 04:00:00,15.9,1.2,37.0,,,110.0,7.6,,,,
2019-10-27 05:00:00,14.5,1.4,41.0,,,120.0,5.4,,,,
2019-10-27 06:00:00,12.8,0.8,44.0,,,170.0,7.6,,,,
2019-10-27 07:00:00,12.9,1.2,45.0,,,,0.0,,,,
2019-10-27 08:00:00,,,,,,,,,,,
2019-10-27 09:00:00,,,,,,,,,,,
2019-10-27 10:00:00,,,,,,,,,,,
2019-10-27 11:00:00,,,,,,,,,,,
2019-10-27 12:00:00,,,,,,,,,,,
2019-10-27 13:00:00,,,,,,,,,,,
2019-10-27 14:00:00,,,,,,,,,,,
2019-10-27 15:00:00,,,,,,,,,,,
2019-10-27 16:00:00,,,,,,,,,,,
2019-10-27 17:00:00,,,,,,,,,,,
2019-10-27 18:00:00,,,,,,,,,,,
2019-10-27 19:00:00,,,,,,,,,,,
2019-10-27 20:00:00,,,,,,,,,,,
2019-10-27 21:00:00,,,,,,,,,,,
2019-10-27 22:00:00,,,,,,,,,,,
2019-10-27 23:00:00,,,,,,,,,,,
2019-10-28 00:00:00,,,,,,,,,,,
2019-10-28 01:00:00,,,,,,,,,,,
2019-10-28 02:00:00,,,,,,,,,,,
2019-10-28 03:00:00,,,,,,,,,,,
2019-10-28 04:00:00,,,,,,,,,,,
2019-10-28 05:00:00,,,,,,,,,,,
2019-10-28 06:00:00,,,,,,,,,,,
2019-10-28 07:00:00,,,,,,,,,,,
2019-10-28 08:00:00,,,,,,,,,,,
2019-10-28 09:00:00,,,,,,,,,,,
2019-10-28 10:00:00,,,,,,,,,,,
2019-10-28 11:00:00,,,,,,,,,,,
2019-10-28 12:00:00,,,,,,,,,,,
2019-10-28 13:00:00,,,,,,,,,,,
2019-10-28 14:00:00,,,,,,,,,,,
2019-10-28 15:00:00,,,,,,,,,,,
2019-10-28 16:00:00,,,,,,,,,,,
2019-10-28 17:00:00,,,,,,,,,,,
2019-10-28 18:00:00,,,,,,,,,,,
2019-10-28 19:00:00,18.0,-9.1,15.0,,,,7.6,,,,
2019-10-28 20:00:00,19.0,-9.1,14.0,,,200.0,11.2,,,,
2019-10-28 21:00:00,18.0,-6.0,19.0,,,,7.6,,,,
2019-10-28 22:00:00,19.0,-5.9,18.0,,,180.0,7.6,,,,
2019-10-28 23:00:00,19.0,-6.6,17.0,,,,0.0,,,,
2019-10-29 00:00:00,18.0,-6.0,19.0,,,200.0,5.4,,,,
2019-10-29 01:00:00,15.0,-3.9,27.0,,,,0.0,,,,
2019-10-29 02:00:00,10.0,-3.0,40.0,,,,0.0,,,,
2019-10-29 03:00:00,8.0,-2.9,46.0,,,,0.0,,,,
2019-10-29 04:00:00,7.0,-4.1,45.0,,,,0.0,,,,
2019-10-29 05:00:00,6.0,-3.9,49.0,,,,0.0,,,,
2019-10-29 06:00:00,5.0,-4.0,52.0,,,,0.0,,,,
2019-10-29 07:00:00,5.0,-4.0,52.0,,,,0.0,,,,
2019-10-29 08:00:00,5.0,-4.0,52.0,,,,0.0,,,,
2019-10-29 09:00:00,4.0,-4.0,56.0,,,,0.0,,,,
2019-10-29 10:00:00,4.0,-4.0,56.0,,,,0.0,,,,
2019-10-29 11:00:00,3.0,-4.0,60.0,,,,0.0,,,,
2019-10-29 12:00:00,3.0,-2.9,65.0,,,,0.0,,,,
2019-10-29 13:00:00,3.0,-2.9,65.0,,,,0.0,,,,
2019-10-29 14:00:00,3.0,-4.0,60.0,,,,0.0,,,,
2019-10-29 15:00:00,3.0,-4.0,60.0,,,,0.0,,,,
2019-10-29 16:00:00,8.0,-2.1,49.0,,,,0.0,,,,
2019-10-29 17:00:00,14.0,-6.8,23.0,,,,0.0,,,,
2019-10-29 18:00:00,16.0,-7.0,20.0,,,240.0,7.6,,,,
2019-10-29 19:00:00,17.0,-6.8,19.0,,,220.0,13.0,,,,
2019-10-29 20:00:00,19.0,-8.2,15.0,,,,9.4,,,,
2019-10-29 21:00:00,20.0,-6.6,16.0,,,260.0,13.0,,,,
2019-10-29 22:00:00,18.4,-5.7,19.0,,,310.0,22.3,,,,
2019-10-29 23:00:00,18.9,-6.0,18.0,,,330.0,22.3,,,,
2019-10-30 00:00:00,18.4,-7.1,17.0,,,320.0,22.3,,,,
2019-10-30 01:00:00,16.0,-7.6,19.0,,,330.0,18.4,,,,
2019-10-30 02:00:00,14.3,-7.8,21.0,,,330.0,18.4,,,,
2019-10-30 03:00:00,13.4,-9.1,20.0,,,340.0,9.4,,,,
2019-10-30 04:00:00,10.6,-7.2,28.0,,,110.0,5.4,,,,
2019-10-30 05:00:00,7.9,-6.3,36.0,,,170.0,7.6,,,,
2019-10-30 06:00:00,7.4,-7.5,34.0,,,180.0,5.4,,,,
2019-10-30 07:00:00,7.3,-7.9,33.0,,,,0.0,,,,
2019-10-30 08:00:00,7.4,-11.4,25.0,,,130.0,5.4,,,,
2019-10-30 09:00:00,6.5,-8.6,33.0,,,160.0,5.4,,,,
2019-10-30 10:00:00,6.9,-4.5,44.0,,,200.0,7.6,,,,
2019-10-30 11:00:00,7.2,-4.0,45.0,,,210.0,5.4,,,,
2019-10-30 12:00:00,5.5,-8.1,37.0,,,,0.0,,,,
2019-10-30 13:00:00,6.1,-8.2,35.0,,,,0.0,,,,
2019-10-30 14:00:00,5.5,-9.9,32.0,,,,0.0,,,,
