time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2018-10-12 21:00:00,28.3,2.5,19.0,0.0,,,5.4,,1009.1,,
2018-10-12 22:00:00,28.9,5.1,22.0,0.0,,210.0,9.4,,1008.2,,
2018-10-12 23:00:00,28.9,5.1,22.0,0.0,,240.0,16.6,,1007.9,,
2018-10-13 00:00:00,27.8,4.1,22.0,0.0,,200.0,11.2,,1007.8,,
2018-10-13 01:00:00,25.0,5.2,28.0,0.0,,180.0,7.6,,1007.8,,
2018-10-13 02:00:00,21.1,5.0,35.0,0.0,,180.0,11.2,,1008.1,,
2018-10-13 03:00:00,16.7,6.2,50.0,0.0,,140.0,9.4,,1008.6,,
2018-10-13 04:00:00,15.6,6.1,53.0,0.0,,150.0,9.4,,1008.8,,
2018-10-13 05:00:00,13.9,6.7,62.0,0.0,,190.0,5.4,,1009.2,,
2018-10-13 06:00:00,12.2,6.7,69.0,0.0,,,0.0,,1009.2,,
2018-10-13 07:00:00,11.7,6.6,71.0,0.0,,,0.0,,1009.4,,
2018-10-13 08:00:00,11.1,7.8,80.0,0.0,,250.0,5.4,,1009.4,,
2018-10-13 09:00:00,8.9,7.2,89.0,0.0,,,0.0,,1009.2,,
2018-10-13 10:00:00,8.9,7.2,89.0,0.0,,,0.0,,1009.1,,
2018-10-13 11:00:00,8.3,7.2,93.0,0.0,,,0.0,,1008.6,,
2018-10-13 12:00:00,7.2,6.8,97.0,0.0,,280.0,5.4,,1008.5,,
2018-10-13 13:00:00,6.7,6.1,96.0,0.0,,,0.0,,1008.8,,
2018-10-13 14:00:00,6.7,6.1,96.0,0.0,,,0.0,,1009.1,,
2018-10-13 15:00:00,7.2,6.8,97.0,0.0,,,0.0,,1009.3,,
2018-10-13 16:00:00,10.6,8.4,86.0,0.0,,,0.0,,1009.8,,
2018-10-13 17:00:00,15.6,7.9,60.0,0.0,,,5.4,,1009.9,,
2018-10-13 18:00:00,18.9,7.6,48.0,0.0,,170.0,7.6,,1010.0,,
2018-10-13 19:00:00,21.7,7.1,39.0,0.0,,200.0,11.2,,1009.7,,
2018-10-13 20:00:00,25.0,7.6,33.0,0.0,,180.0,13.0,,1009.2,,
2018-10-13 21:00:00,23.9,7.9,36.0,0.0,,170.0,16.6,,1008.7,,
2018-10-13 22:00:00,22.8,11.8,50.0,0.0,,170.0,18.4,,1008.5,,
2018-10-13 23:00:00,21.1,11.1,53.0,0.0,,160.0,18.4,,1008.6,,
2018-10-14 00:00:00,18.9,11.7,63.0,0.0,,150.0,18.4,,1008.7,,
2018-10-14 01:00:00,16.7,11.6,72.0,0.0,,160.0,14.8,,1008.7,,
2018-10-14 02:00:00,13.9,11.1,83.0,0.0,,170.0,9.4,,1009.1,,
2018-10-14 03:00:00,11.7,10.6,93.0,0.0,,150.0,7.6,,1009.5,,
2018-10-14 04:00:00,11.1,10.0,93.0,0.0,,140.0,7.6,,1009.8,,
2018-10-14 05:00:00,10.6,10.0,96.0,0.0,,140.0,7.6,,1010.0,,
2018-10-14 06:00:00,10.6,9.4,92.0,0.0,,160.0,5.4,,1010.2,,
2018-10-14 07:00:00,8.9,8.3,96.0,0.0,,,0.0,,1010.6,,
2018-10-14 08:00:00,8.9,8.3,96.0,0.0,,150.0,5.4,,1010.9,,
2018-10-14 09:00:00,8.9,8.9,100.0,0.0,,,0.0,,1011.1,,
2018-10-14 10:00:00,10.0,10.0,100.0,0.0,,,0.0,,1011.1,,
2018-10-14 11:00:00,9.4,9.4,100.0,0.0,,,0.0,,1011.1,,
2018-10-14 12:00:00,9.4,9.4,100.0,0.0,,,0.0,,1011.4,,
2018-10-14 13:00:00,10.0,10.0,100.0,0.0,,,0.0,,1011.9,,
2018-10-14 14:00:00,10.0,10.0,100.0,0.0,,,0.0,,1012.3,,
2018-10-14 15:00:00,10.0,10.0,100.0,0.0,,260.0,5.4,,1013.0,,
2018-10-14 16:00:00,10.0,10.0,100.0,0.0,,280.0,5.4,,1013.9,,
2018-10-14 17:00:00,11.1,10.6,97.0,0.0,,160.0,7.6,,1014.4,,
2018-10-14 18:00:00,12.8,10.5,86.0,0.0,,,0.0,,1014.6,,
2018-10-14 19:00:00,16.7,11.2,70.0,0.0,,130.0,5.4,,1014.2,,
2018-10-14 20:00:00,20.0,10.1,53.0,0.0,,200.0,7.6,,1013.9,,
2018-10-14 21:00:00,22.8,9.6,43.0,0.0,,,7.6,,1013.3,,
2018-10-14 22:00:00,24.4,9.6,39.0,0.0,,200.0,7.6,,1012.8,,
2018-10-14 23:00:00,25.0,10.1,39.0,0.0,,170.0,11.2,,1012.7,,
2018-10-15 00:00:00,24.4,10.7,42.0,0.0,,190.0,9.4,,1012.9,,
2018-10-15 01:00:00,21.7,11.7,53.0,0.0,,200.0,13.0,,1012.9,,
2018-10-15 02:00:00,18.9,8.2,50.0,0.0,,200.0,13.0,,1013.3,,
2018-10-15 03:00:00,23.3,-6.7,13.0,0.0,,40.0,27.7,,1014.1,,
2018-10-15 04:00:00,21.1,-6.6,15.0,0.0,,10.0,16.6,,1014.3,,
2018-10-15 05:00:00,21.7,-9.0,12.0,0.0,,20.0,25.9,,1014.5,,
2018-10-15 06:00:00,20.6,,,0.0,,360.0,20.5,,1014.7,,
2018-10-15 07:00:00,13.3,-1.1,37.0,0.0,,,0.0,,1015.3,,
2018-10-15 08:00:00,16.1,-6.3,21.0,0.0,,10.0,18.4,,1015.7,,
2018-10-15 09:00:00,15.6,-6.1,22.0,0.0,,,7.6,,1016.7,,
2018-10-15 10:00:00,20.0,-11.4,11.0,0.0,,20.0,22.3,,1016.5,,
2018-10-15 11:00:00,14.4,-6.5,23.0,0.0,,320.0,13.0,,1016.9,,
2018-10-15 12:00:00,11.1,-2.7,38.0,0.0,,,0.0,,1017.3,,
2018-10-15 13:00:00,9.4,-2.9,42.0,0.0,,,9.4,,1017.4,,
2018-10-15 14:00:00,6.7,-1.0,58.0,0.0,,290.0,9.4,,1018.2,,
2018-10-15 15:00:00,8.9,-1.0,50.0,0.0,,,5.4,,1018.8,,
2018-10-15 16:00:00,12.8,0.5,43.0,0.0,,310.0,9.4,,1019.6,,
2018-10-15 17:00:00,18.9,-1.6,25.0,0.0,,230.0,5.4,,1019.7,,
2018-10-15 18:00:00,23.9,-4.3,15.0,0.0,,,7.6,,1019.6,,
2018-10-15 19:00:00,26.7,-7.5,10.0,0.0,,,7.6,,1019.2,,
2018-10-15 20:00:00,28.3,-7.6,9.0,0.0,,,7.6,,1018.9,,
2018-10-15 21:00:00,27.8,-5.4,11.0,0.0,,,5.4,,1018.2,,
