time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-09-23 05:00:00,20.6,12.8,61.0,0.0,,310.0,11.2,,1011.8,,
2019-09-23 06:00:00,16.7,12.2,75.0,0.0,,,0.0,,1012.1,,
2019-09-23 07:00:00,15.6,12.2,80.0,0.0,,,0.0,,1012.2,,
2019-09-23 08:00:00,15.0,12.1,83.0,0.0,,150.0,5.4,,1012.2,,
2019-09-23 09:00:00,13.9,12.1,89.0,0.0,,170.0,5.4,,1012.3,,
2019-09-23 10:00:00,12.8,11.7,93.0,0.0,,,0.0,,1012.0,,
2019-09-23 11:00:00,12.2,11.1,93.0,0.0,,,0.0,,1012.3,,
2019-09-23 12:00:00,11.1,10.6,97.0,0.0,,270.0,5.4,,1012.4,,
2019-09-23 13:00:00,11.7,11.1,96.0,0.0,,,0.0,,1012.6,,
2019-09-23 14:00:00,10.0,10.0,100.0,0.0,,,0.0,,1013.3,,
2019-09-23 15:00:00,11.7,11.1,96.0,0.0,,,0.0,,1014.2,,
2019-09-23 16:00:00,15.6,13.3,86.0,0.0,,,0.0,,1014.4,,
2019-09-23 17:00:00,21.1,13.3,61.0,0.0,,330.0,9.4,,1014.8,,
2019-09-23 18:00:00,23.9,12.8,50.0,0.0,,330.0,14.8,,1014.7,,
2019-09-23 19:00:00,27.8,13.0,40.0,0.0,,,7.6,,1014.2,,
2019-09-23 20:00:00,30.0,11.0,31.0,0.0,,,11.2,,1013.7,,
2019-09-23 21:00:00,32.2,10.3,26.0,0.0,,300.0,11.2,,1012.9,,
2019-09-23 22:00:00,32.8,9.0,23.0,0.0,,,11.2,,1012.6,,
2019-09-23 23:00:00,33.9,6.3,18.0,0.0,,80.0,16.6,,1012.3,,
2019-09-24 00:00:00,33.9,2.7,14.0,0.0,,20.0,16.6,,1012.4,,
2019-09-24 01:00:00,33.3,0.0,12.0,0.0,,50.0,11.2,,1012.4,,
2019-09-24 02:00:00,29.4,1.0,16.0,0.0,,10.0,11.2,,1012.8,,
2019-09-24 03:00:00,24.4,9.6,39.0,0.0,,350.0,7.6,,1013.6,,
2019-09-24 04:00:00,21.7,6.8,38.0,0.0,,20.0,5.4,,1014.0,,
2019-09-24 05:00:00,20.6,7.2,42.0,0.0,,,0.0,,1014.4,,
2019-09-24 06:00:00,20.6,8.9,47.0,0.0,,350.0,5.4,,1014.7,,
2019-09-24 07:00:00,16.1,10.6,70.0,0.0,,280.0,11.2,,1014.6,,
2019-09-24 08:00:00,16.7,10.1,65.0,0.0,,290.0,9.4,,1014.6,,
2019-09-24 09:00:00,17.2,10.1,63.0,0.0,,300.0,9.4,,1015.0,,
2019-09-24 10:00:00,16.7,10.1,65.0,0.0,,300.0,7.6,,1015.1,,
2019-09-24 11:00:00,18.9,9.4,54.0,0.0,,350.0,7.6,,1015.0,,
2019-09-24 12:00:00,15.6,9.9,69.0,0.0,,10.0,14.8,,1014.9,,
2019-09-24 13:00:00,14.4,10.0,75.0,0.0,,330.0,11.2,,1015.1,,
2019-09-24 14:00:00,15.0,10.0,72.0,0.0,,,0.0,,1015.5,,
2019-09-24 15:00:00,16.7,10.1,65.0,0.0,,280.0,7.6,,1015.9,,
2019-09-24 16:00:00,21.1,10.6,51.0,0.0,,320.0,7.6,,1016.1,,
2019-09-24 17:00:00,25.0,10.1,39.0,0.0,,,9.4,,1016.0,,
2019-09-24 18:00:00,30.0,10.0,29.0,0.0,,320.0,11.2,,1015.2,,
2019-09-24 19:00:00,33.3,5.8,18.0,0.0,,290.0,11.2,,1014.3,,
2019-09-24 20:00:00,35.6,5.9,16.0,0.0,,270.0,7.6,,1013.3,,
2019-09-24 21:00:00,37.2,5.3,14.0,0.0,,,5.4,,1012.2,,
2019-09-24 22:00:00,38.9,5.5,13.0,0.0,,300.0,11.2,,1011.0,,
2019-09-24 23:00:00,36.1,4.4,14.0,0.0,,220.0,14.8,,1010.4,,
2019-09-25 00:00:00,36.1,4.4,14.0,0.0,,180.0,9.4,,1010.0,,
2019-09-25 01:00:00,34.4,3.1,14.0,0.0,,180.0,11.2,,1009.7,,
2019-09-25 02:00:00,31.1,3.2,17.0,0.0,,150.0,11.2,,1009.5,,
2019-09-25 03:00:00,26.7,6.7,28.0,0.0,,180.0,7.6,,1009.7,,
2019-09-25 04:00:00,25.0,6.2,30.0,0.0,,,0.0,,1009.8,,
2019-09-25 05:00:00,21.7,7.1,39.0,0.0,,270.0,5.4,,1009.7,,
2019-09-25 06:00:00,19.4,8.4,49.0,0.0,,,0.0,,1010.0,,
2019-09-25 07:00:00,19.4,9.0,51.0,0.0,,,0.0,,1009.6,,
2019-09-25 08:00:00,17.2,10.1,63.0,0.0,,,0.0,,1009.3,,
2019-09-25 09:00:00,17.2,10.1,63.0,0.0,,,0.0,,1009.0,,
2019-09-25 10:00:00,16.1,10.0,67.0,0.0,,,5.4,,1008.7,,
2019-09-25 11:00:00,15.0,9.4,69.0,0.0,,,0.0,,1008.4,,
2019-09-25 12:00:00,15.0,10.0,72.0,0.0,,,0.0,,1008.3,,
2019-09-25 13:00:00,14.4,9.4,72.0,0.0,,,0.0,,1008.3,,
2019-09-25 14:00:00,14.4,10.0,75.0,0.0,,,0.0,,1008.5,,
2019-09-25 15:00:00,16.1,10.6,70.0,0.0,,,0.0,,1008.7,,
2019-09-25 16:00:00,21.1,12.3,57.0,0.0,,,0.0,,1008.8,,
2019-09-25 17:00:00,26.1,13.9,47.0,0.0,,,9.4,,1008.7,,
