time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-27 22:00:00,20.0,-0.6,25.0,0.0,,310.0,9.4,,1007.6,,5.0
2019-10-27 23:00:00,20.6,-1.9,22.0,0.0,,320.0,22.3,,1007.9,,7.0
2019-10-28 00:00:00,20.0,-3.0,21.0,0.0,,340.0,25.9,,1009.3,,5.0
2019-10-28 01:00:00,17.8,-3.1,24.0,0.0,,340.0,14.8,,1010.5,,5.0
2019-10-28 02:00:00,16.7,-2.4,27.0,,,230.0,7.6,,1011.3,,
2019-10-28 03:00:00,15.6,-2.4,29.0,,,50.0,11.2,,1011.9,,
2019-10-28 04:00:00,15.0,-2.0,31.0,,,90.0,9.4,,1011.7,,
2019-10-28 05:00:00,15.0,-1.6,32.0,,,70.0,5.4,,1012.1,,
2019-10-28 06:00:00,13.3,-2.2,34.0,0.0,,340.0,0.0,,1012.7,,
2019-10-28 07:00:00,13.3,-1.9,35.0,,,340.0,9.4,,1013.4,,
2019-10-28 08:00:00,12.8,-2.3,35.0,,,60.0,11.2,,1013.9,,
2019-10-28 09:00:00,11.7,-1.8,39.0,0.0,,100.0,5.4,,1014.7,,
2019-10-28 10:00:00,11.1,-2.7,38.0,0.0,,,0.0,,1016.0,,
2019-10-28 11:00:00,11.1,-3.4,36.0,0.0,,350.0,9.0,,1016.6,,
2019-10-28 12:00:00,7.8,-1.2,53.0,0.0,,350.0,9.4,,1017.5,,
2019-10-28 13:00:00,6.7,-1.0,58.0,0.0,,120.0,0.0,,1018.0,,
2019-10-28 14:00:00,7.8,-0.7,55.0,0.0,,120.0,11.2,,1018.6,,
2019-10-28 15:00:00,7.8,0.0,58.0,0.0,,150.0,9.4,,1018.7,,5.0
2019-10-28 16:00:00,10.6,-1.8,42.0,0.0,,130.0,7.6,,1018.8,,5.0
2019-10-28 17:00:00,13.3,-1.9,35.0,0.0,,220.0,5.4,,1018.4,,
2019-10-28 18:00:00,15.6,-3.3,27.0,0.0,,260.0,7.6,,1018.1,,
2019-10-28 19:00:00,17.8,-5.5,20.0,0.0,,290.0,5.4,,1017.6,,
2019-10-28 20:00:00,20.0,-7.4,15.0,0.0,,,0.0,,1016.8,,
2019-10-28 21:00:00,21.1,-8.4,13.0,0.0,,300.0,7.6,,1015.7,,
2019-10-28 22:00:00,22.2,-6.6,14.0,0.0,,300.0,11.2,,1015.0,,
2019-10-28 23:00:00,22.2,-4.0,17.0,0.0,,340.0,22.3,,1014.6,,
2019-10-29 00:00:00,21.1,-4.2,18.0,0.0,,330.0,18.4,,1014.1,,
2019-10-29 01:00:00,18.9,-3.3,22.0,,,330.0,14.8,,1014.0,,
2019-10-29 02:00:00,14.4,-2.1,32.0,,,340.0,9.4,,1014.8,,
2019-10-29 03:00:00,15.0,-2.9,29.0,,,10.0,11.2,,1015.1,,
2019-10-29 04:00:00,12.8,-3.5,32.0,,,140.0,5.4,,1015.1,,
2019-10-29 05:00:00,12.8,-2.3,35.0,,,140.0,13.0,,1015.4,,
2019-10-29 06:00:00,12.8,-3.5,32.0,,,80.0,9.4,,1015.2,,
2019-10-29 07:00:00,13.3,-2.2,34.0,,,70.0,7.6,,1015.0,,
2019-10-29 08:00:00,11.1,-2.3,39.0,,,120.0,5.4,,1015.0,,
2019-10-29 09:00:00,10.6,-2.1,41.0,0.0,,90.0,5.4,,1014.9,,
2019-10-29 10:00:00,9.4,-3.9,39.0,0.0,,,0.0,,1014.5,,
2019-10-29 11:00:00,8.9,-4.3,39.0,0.0,,50.0,5.4,,1013.9,,
2019-10-29 12:00:00,8.3,-4.9,39.0,0.0,,50.0,5.4,,1013.6,,
2019-10-29 13:00:00,8.3,-3.3,44.0,0.0,,160.0,5.4,,1013.6,,
2019-10-29 14:00:00,8.9,-4.0,40.0,0.0,,,0.0,,1013.7,,
2019-10-29 15:00:00,7.8,-3.4,45.0,0.0,,120.0,0.0,,1013.9,,
2019-10-29 16:00:00,11.7,-4.1,33.0,0.0,,120.0,5.4,,1014.2,,
2019-10-29 17:00:00,14.4,-3.4,29.0,0.0,,140.0,9.4,,1014.2,,
2019-10-29 18:00:00,16.7,-3.4,25.0,0.0,,,0.0,,1014.0,,
2019-10-29 19:00:00,18.3,-3.2,23.0,0.0,,,0.0,,1013.6,,
2019-10-29 20:00:00,20.0,-3.7,20.0,0.0,,300.0,0.0,,1012.8,,
2019-10-29 21:00:00,21.1,-4.2,18.0,0.0,,300.0,5.4,,1011.9,,
2019-10-29 22:00:00,21.1,-4.2,18.0,0.0,,320.0,13.0,,1011.5,,
2019-10-29 23:00:00,21.1,-4.2,18.0,0.0,,320.0,9.4,,1011.7,,
2019-10-30 00:00:00,20.6,-3.2,20.0,0.0,,310.0,13.0,,1011.8,,
2019-10-30 01:00:00,18.9,-3.9,21.0,,,330.0,11.2,,1012.2,,
2019-10-30 02:00:00,17.2,-4.1,23.0,,,10.0,7.6,,1012.9,,
2019-10-30 03:00:00,13.3,-3.9,30.0,,,30.0,11.2,,1013.6,,
2019-10-30 04:00:00,13.3,-3.9,30.0,,,60.0,13.0,,1014.0,,
2019-10-30 05:00:00,12.2,-2.8,35.0,,,110.0,5.4,,1014.7,,
2019-10-30 06:00:00,11.7,-3.3,35.0,0.0,,,0.0,,1015.3,,
2019-10-30 07:00:00,10.0,-4.0,37.0,0.0,,,0.0,,1015.5,,
2019-10-30 08:00:00,9.4,-4.6,37.0,0.0,,40.0,5.4,,1016.1,,
2019-10-30 09:00:00,8.9,-4.3,39.0,0.0,,,0.0,,1016.6,,
2019-10-30 10:00:00,8.9,-4.3,39.0,0.0,,190.0,5.4,,1017.0,,
2019-10-30 11:00:00,11.7,-7.2,26.0,0.0,,150.0,11.2,,1017.7,,
