time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2020-10-23 22:00:00,21.7,12.3,55.0,0.0,,250.0,16.6,,1014.3,,
2020-10-23 23:00:00,21.1,12.3,57.0,0.0,,250.0,18.4,,1014.5,,
2020-10-24 00:00:00,19.4,12.9,66.0,0.0,,250.0,16.6,,1014.6,,
2020-10-24 01:00:00,18.3,12.3,68.0,0.0,,280.0,11.2,,1014.7,,
2020-10-24 02:00:00,17.2,12.1,72.0,0.0,,0.0,0.0,,1015.1,,
2020-10-24 03:00:00,15.6,12.2,80.0,0.0,,0.0,0.0,,1015.4,,
2020-10-24 04:00:00,14.4,11.7,84.0,0.0,,320.0,7.6,,1015.5,,
2020-10-24 05:00:00,13.9,11.1,83.0,0.0,,340.0,5.4,,1015.9,,
2020-10-24 06:00:00,13.3,10.7,84.0,0.0,,0.0,0.0,,1016.1,,
2020-10-24 07:00:00,12.8,10.7,87.0,0.0,,340.0,5.4,,1016.2,,
2020-10-24 08:00:00,11.7,9.9,89.0,0.0,,340.0,5.4,,1016.2,,
2020-10-24 09:00:00,12.2,10.6,90.0,0.0,,340.0,5.4,,1016.1,,
2020-10-24 10:00:00,11.1,10.0,93.0,0.0,,340.0,5.4,,1015.9,,
2020-10-24 11:00:00,11.1,10.0,93.0,0.0,,320.0,5.4,,1015.7,,
2020-10-24 12:00:00,11.1,10.0,93.0,0.0,,340.0,7.6,,1015.8,,
2020-10-24 13:00:00,11.1,10.0,93.0,0.0,,320.0,5.4,,1016.1,,
2020-10-24 14:00:00,12.2,11.1,93.0,0.0,,340.0,5.4,,1016.4,,
2020-10-24 15:00:00,12.8,11.0,89.0,0.0,,0.0,0.0,,1016.5,,
2020-10-24 16:00:00,13.9,11.8,87.0,0.0,,0.0,0.0,,1017.0,,
2020-10-24 17:00:00,15.0,12.1,83.0,0.0,,0.0,0.0,,1017.0,,
2020-10-24 18:00:00,17.2,12.7,75.0,0.0,,0.0,0.0,,1016.8,,
2020-10-24 19:00:00,18.9,11.7,63.0,0.0,,240.0,11.2,,1016.4,,
2020-10-24 20:00:00,20.6,11.8,57.0,0.0,,260.0,14.8,,1015.6,,
2020-10-24 21:00:00,21.1,11.7,55.0,0.0,,,9.4,,1014.5,,
2020-10-24 22:00:00,21.7,11.7,53.0,0.0,,260.0,20.5,,1013.7,,
2020-10-24 23:00:00,19.4,11.7,61.0,0.0,,260.0,16.6,,1013.4,,
2020-10-25 00:00:00,19.4,11.7,61.0,0.0,,280.0,13.0,,1013.2,,
