time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2021-10-09 09:00:00,13.0,10.0,82.0,0.1,,240.0,11.0,,1021.0,,1.0
2021-10-09 10:00:00,13.0,9.1,77.0,0.0,,270.0,11.0,,1021.0,,1.0
2021-10-09 11:00:00,12.0,9.0,82.0,0.0,,240.0,19.0,,1021.0,,2.0
2021-10-09 12:00:00,12.0,9.0,82.0,0.0,,250.0,11.0,,1021.0,,2.0
2021-10-09 13:00:00,11.0,9.1,88.0,0.0,,230.0,11.0,,1022.0,,1.0
2021-10-09 14:00:00,11.0,8.0,82.0,0.0,,240.0,13.0,,1022.0,,1.0
2021-10-09 15:00:00,15.0,10.0,72.0,0.0,,330.0,15.0,,1023.0,,1.0
2021-10-09 16:00:00,16.0,9.0,63.0,0.0,,320.0,17.0,,1023.0,,1.0
2021-10-09 17:00:00,16.0,8.0,59.0,0.0,,330.0,17.0,,1023.0,,1.0
2021-10-09 18:00:00,18.0,8.0,52.0,0.0,,330.0,17.0,,1023.0,,1.0
2021-10-09 19:00:00,19.0,8.0,49.0,0.0,,340.0,17.0,,1023.0,,1.0
2021-10-09 20:00:00,20.0,7.0,43.0,0.0,,350.0,9.0,,1022.0,,1.0
2021-10-09 21:00:00,21.0,6.9,40.0,0.0,,360.0,15.0,,1021.0,,1.0
2021-10-09 22:00:00,22.0,3.1,29.0,0.0,,330.0,19.0,,1021.0,,1.0
2021-10-09 23:00:00,22.0,4.1,31.0,0.0,,280.0,9.0,,1020.0,,1.0
2021-10-10 00:00:00,22.0,3.1,29.0,0.0,,330.0,11.0,,1020.0,,1.0
2021-10-10 01:00:00,17.0,2.2,37.0,0.0,,200.0,6.0,,1020.0,,1.0
2021-10-10 02:00:00,16.0,2.0,39.0,0.0,,240.0,7.0,,1020.0,,1.0
2021-10-10 03:00:00,16.0,2.0,39.0,0.0,,250.0,13.0,,1020.0,,1.0
2021-10-10 04:00:00,16.0,3.1,42.0,0.0,,240.0,13.0,,1020.0,,1.0
2021-10-10 05:00:00,17.0,5.9,48.0,0.0,,230.0,24.0,,1020.0,,1.0
2021-10-10 06:00:00,17.0,5.9,48.0,0.0,,230.0,22.0,,1020.0,,1.0
2021-10-10 07:00:00,18.0,5.9,45.0,0.0,,230.0,22.0,,1020.0,,1.0
2021-10-10 08:00:00,17.0,5.0,45.0,0.0,,240.0,22.0,,1020.0,,1.0
2021-10-10 09:00:00,16.0,5.0,48.0,0.0,,240.0,20.0,,1020.0,,1.0
2021-10-10 10:00:00,13.0,4.9,58.0,0.0,,120.0,11.0,,1020.0,,1.0
2021-10-10 11:00:00,11.0,5.1,67.0,0.0,,227.0,8.6,,1020.0,,1.0
2021-10-10 12:00:00,11.0,4.0,62.0,0.0,,213.0,7.2,,1020.0,,1.0
2021-10-10 13:00:00,11.0,4.0,62.0,0.0,,350.0,7.0,,1020.0,,1.0
2021-10-10 14:00:00,10.0,3.9,66.0,0.0,,220.0,7.6,,1020.0,,1.0
2021-10-10 15:00:00,15.0,4.9,51.0,0.0,,10.0,7.0,,1020.0,,1.0
2021-10-10 16:00:00,19.0,7.1,46.0,0.0,,10.0,9.0,,1020.0,,1.0
2021-10-10 17:00:00,20.0,7.0,43.0,0.0,,350.0,11.0,,1020.0,,1.0
2021-10-10 18:00:00,21.0,6.9,40.0,0.0,,360.0,6.0,,1020.0,,1.0
2021-10-10 19:00:00,24.0,7.2,34.0,0.0,,30.0,9.0,,1019.0,,1.0
2021-10-10 20:00:00,24.0,7.2,34.0,0.0,,10.0,11.0,,1019.0,,5.0
2021-10-10 21:00:00,26.0,5.0,26.0,0.0,,300.0,9.0,,1017.0,,1.0
2021-10-10 22:00:00,26.0,5.0,26.0,0.0,,20.0,9.0,,1017.0,,1.0
2021-10-10 23:00:00,26.0,3.9,24.0,0.0,,80.0,11.0,,1015.0,,1.0
2021-10-11 00:00:00,25.0,4.2,26.0,0.0,,110.0,6.0,,1015.0,,1.0
2021-10-11 01:00:00,22.0,3.1,29.0,0.0,,190.0,6.0,,1014.0,,1.0
2021-10-11 02:00:00,21.0,4.1,33.0,0.0,,230.0,20.0,,1014.0,,1.0
2021-10-11 03:00:00,20.0,4.1,35.0,0.0,,230.0,30.0,,1014.0,,1.0
2021-10-11 04:00:00,19.0,6.1,43.0,0.0,,230.0,41.0,,1013.0,,1.0
2021-10-11 05:00:00,17.0,7.9,55.0,0.0,,240.0,35.0,,1014.0,,1.0
2021-10-11 06:00:00,15.0,10.0,72.0,0.0,,220.0,35.0,,1013.0,,1.0
2021-10-11 07:00:00,15.0,8.9,67.0,0.0,,240.0,35.0,,1013.0,,1.0
2021-10-11 08:00:00,15.0,7.1,59.0,0.0,,240.0,28.0,,1014.0,,1.0
2021-10-11 09:00:00,15.0,1.1,39.0,0.0,,260.0,11.0,,1015.0,,1.0
2021-10-11 10:00:00,14.0,6.1,59.0,0.0,,240.0,26.0,,1015.0,,1.0
2021-10-11 11:00:00,13.0,3.1,51.0,0.0,,240.0,15.0,,1015.0,,1.0
2021-10-11 12:00:00,12.0,3.0,54.0,0.0,,240.0,20.0,,1015.0,,1.0
2021-10-11 13:00:00,13.0,-1.0,38.0,0.0,,290.0,20.0,,1015.0,,1.0
2021-10-11 14:00:00,13.0,-2.1,35.0,0.0,,290.0,22.0,,1015.0,,1.0
2021-10-11 15:00:00,16.0,-2.0,29.0,0.0,,310.0,28.0,,1015.0,,5.0
2021-10-11 16:00:00,17.0,-3.2,25.0,0.0,,320.0,44.0,,1015.0,,5.0
2021-10-11 17:00:00,18.0,-4.7,21.0,0.0,,340.0,59.0,,1015.0,,5.0
2021-10-11 18:00:00,19.0,-5.2,19.0,0.0,,320.0,54.0,,1014.0,,5.0
2021-10-11 19:00:00,20.0,-5.1,18.0,0.0,,320.0,52.0,,1014.0,,5.0
2021-10-11 20:00:00,21.0,-5.8,16.0,0.0,,320.0,48.0,,1013.0,,5.0
2021-10-11 21:00:00,21.0,-5.8,16.0,0.0,,350.0,50.0,,1013.0,,1.0
2021-10-11 22:00:00,21.0,-7.5,14.0,0.0,,340.0,50.0,,1012.0,,1.0
2021-10-11 23:00:00,20.0,-8.3,14.0,0.0,,340.0,48.0,,1013.0,,5.0
2021-10-12 00:00:00,19.0,-8.2,15.0,0.0,,330.0,43.0,,1013.0,,1.0
2021-10-12 01:00:00,18.0,-9.1,15.0,0.0,,340.0,37.0,,1013.0,,1.0
