time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2020-10-12 21:00:00,29.4,2.6,18.0,0.0,,80.0,14.8,,1017.8,,
2020-10-12 22:00:00,30.0,3.1,18.0,0.0,,60.0,13.0,,1016.7,,
2020-10-12 23:00:00,30.6,1.9,16.0,0.0,,80.0,14.8,,1016.3,,
2020-10-13 00:00:00,29.4,4.1,20.0,0.0,,120.0,14.8,,1015.7,,
2020-10-13 01:00:00,28.3,4.6,22.0,0.0,,90.0,13.0,,1015.3,,
2020-10-13 02:00:00,25.6,5.2,27.0,0.0,,70.0,5.4,,1015.7,,
2020-10-13 03:00:00,22.8,6.1,34.0,0.0,,0.0,0.0,,1016.1,,
2020-10-13 04:00:00,20.0,4.9,37.0,0.0,,0.0,0.0,,1016.7,,
2020-10-13 05:00:00,17.2,4.5,43.0,0.0,,0.0,0.0,,1016.9,,
2020-10-13 06:00:00,16.7,4.4,44.0,0.0,,0.0,0.0,,1017.0,,
2020-10-13 07:00:00,15.6,4.0,46.0,0.0,,70.0,5.4,,1016.9,,
2020-10-13 08:00:00,13.9,3.4,49.0,0.0,,0.0,0.0,,1017.1,,
2020-10-13 09:00:00,13.9,3.9,51.0,0.0,,80.0,5.4,,1017.3,,
2020-10-13 10:00:00,13.3,3.4,51.0,0.0,,0.0,0.0,,1017.4,,
2020-10-13 11:00:00,11.7,4.0,59.0,0.0,,90.0,5.4,,1017.2,,
2020-10-13 12:00:00,11.7,3.2,56.0,0.0,,0.0,0.0,,1017.6,,
2020-10-13 13:00:00,12.2,3.9,57.0,0.0,,0.0,0.0,,1018.1,,
2020-10-13 14:00:00,12.8,4.5,57.0,0.0,,0.0,0.0,,1018.3,,
2020-10-13 15:00:00,12.2,4.9,61.0,0.0,,0.0,0.0,,1018.9,,
2020-10-13 16:00:00,16.1,6.2,52.0,0.0,,0.0,0.0,,1019.7,,
2020-10-13 17:00:00,20.0,4.1,35.0,0.0,,0.0,0.0,,1019.9,,
2020-10-13 18:00:00,22.8,4.3,30.0,0.0,,220.0,7.6,,1019.9,,
2020-10-13 19:00:00,26.7,3.9,23.0,0.0,,0.0,0.0,,1019.4,,
2020-10-13 20:00:00,30.0,4.6,20.0,0.0,,0.0,0.0,,1018.5,,
2020-10-13 21:00:00,31.7,4.5,18.0,0.0,,280.0,7.6,,1017.5,,
2020-10-13 22:00:00,33.3,4.1,16.0,0.0,,220.0,11.2,,1017.1,,
2020-10-13 23:00:00,32.8,5.4,18.0,0.0,,220.0,7.6,,1016.5,,
2020-10-14 00:00:00,33.3,2.2,14.0,0.0,,300.0,13.0,,1016.3,,
2020-10-14 01:00:00,31.1,7.5,23.0,0.0,,280.0,14.8,,1016.2,,
2020-10-14 02:00:00,26.7,10.8,37.0,0.0,,310.0,11.2,,1016.5,,
