time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2021-10-09 08:00:00,10.0,6.2,77.0,0.0,,310.0,9.4,,1020.6,,
2021-10-09 09:00:00,9.4,6.1,80.0,0.0,,330.0,5.4,,1020.9,,
2021-10-09 10:00:00,8.3,5.6,83.0,0.0,,360.0,5.4,,1021.3,,
2021-10-09 11:00:00,6.1,3.3,82.0,0.0,,60.0,9.4,,1021.3,,
2021-10-09 12:00:00,5.0,2.2,82.0,0.0,,50.0,7.6,,1021.4,,
2021-10-09 13:00:00,3.9,1.1,82.0,0.0,,60.0,7.6,,1021.8,,
2021-10-09 14:00:00,3.9,1.1,82.0,0.0,,70.0,5.4,,1022.0,,
2021-10-09 15:00:00,7.2,2.9,74.0,0.0,,0.0,0.0,,1022.4,,
2021-10-09 16:00:00,10.6,4.5,66.0,0.0,,80.0,5.4,,1022.5,,
2021-10-09 17:00:00,13.3,5.0,57.0,0.0,,10.0,5.4,,1022.3,,
2021-10-09 18:00:00,16.1,4.5,46.0,0.0,,68.0,7.6,,1021.8,,
2021-10-09 19:00:00,19.4,3.1,34.0,0.0,,180.0,7.6,,1020.9,,
2021-10-09 20:00:00,20.6,2.4,30.0,0.0,,180.0,7.6,,1020.0,,
2021-10-09 21:00:00,22.2,1.2,25.0,0.0,,0.0,0.0,,1019.1,,
2021-10-09 22:00:00,23.3,1.0,23.0,0.0,,150.0,14.8,,1018.4,,
2021-10-09 23:00:00,23.9,0.9,22.0,0.0,,90.0,13.0,,1018.2,,
2021-10-10 00:00:00,23.3,1.0,23.0,0.0,,130.0,11.2,,1018.0,,
2021-10-10 01:00:00,22.8,1.7,25.0,0.0,,120.0,18.4,,1018.3,,
2021-10-10 02:00:00,19.4,1.8,31.0,0.0,,110.0,13.0,,1018.6,,
2021-10-10 03:00:00,17.2,2.4,37.0,0.0,,130.0,9.4,,1019.4,,
2021-10-10 04:00:00,16.1,2.8,41.0,0.0,,90.0,13.0,,1019.8,,
2021-10-10 05:00:00,15.0,2.8,44.0,0.0,,0.0,0.0,,1020.5,,
2021-10-10 06:00:00,12.8,2.9,51.0,0.0,,10.0,5.4,,1020.7,,
2021-10-10 07:00:00,10.6,2.2,56.0,0.0,,0.0,0.0,,1020.8,,
2021-10-10 08:00:00,8.9,1.8,61.0,0.0,,0.0,0.0,,1020.7,,
2021-10-10 09:00:00,8.9,2.2,63.0,0.0,,0.0,0.0,,1020.6,,
2021-10-10 10:00:00,6.1,0.6,68.0,0.0,,50.0,5.4,,1020.8,,
2021-10-10 11:00:00,6.7,0.6,65.0,0.0,,0.0,0.0,,1020.2,,
2021-10-10 12:00:00,7.2,0.6,63.0,0.0,,0.0,0.0,,1019.9,,
2021-10-10 13:00:00,5.6,0.0,67.0,0.0,,0.0,0.0,,1020.4,,
2021-10-10 14:00:00,4.4,-0.6,70.0,0.0,,0.0,0.0,,1020.2,,
2021-10-10 15:00:00,6.7,0.6,65.0,0.0,,0.0,0.0,,1020.4,,
2021-10-10 16:00:00,10.0,1.6,56.0,0.0,,0.0,0.0,,1020.6,,
2021-10-10 17:00:00,14.4,2.9,46.0,0.0,,0.0,0.0,,1020.2,,
2021-10-10 18:00:00,17.8,3.3,38.0,0.0,,310.0,7.6,,1019.7,,
2021-10-10 19:00:00,22.2,3.8,30.0,0.0,,110.0,5.4,,1018.9,,
2021-10-10 20:00:00,25.0,4.2,26.0,0.0,,0.0,0.0,,1017.8,,
2021-10-10 21:00:00,26.1,4.5,25.0,0.0,,340.0,9.4,,1016.7,,
2021-10-10 22:00:00,26.1,3.3,23.0,0.0,,0.0,0.0,,1015.8,,
2021-10-10 23:00:00,26.7,3.2,22.0,0.0,,260.0,5.4,,1014.9,,
2021-10-11 00:00:00,26.7,3.2,22.0,0.0,,310.0,5.4,,1014.1,,
2021-10-11 01:00:00,25.6,2.3,22.0,0.0,,120.0,16.6,,1014.2,,
2021-10-11 02:00:00,22.8,2.3,26.0,0.0,,100.0,14.8,,1014.1,,
2021-10-11 03:00:00,22.2,2.3,27.0,0.0,,270.0,7.6,,1014.7,,
2021-10-11 04:00:00,19.4,2.7,33.0,0.0,,270.0,13.0,,1014.6,,
2021-10-11 05:00:00,16.1,6.2,52.0,0.0,,320.0,22.3,,1014.7,,
2021-10-11 06:00:00,15.0,4.9,51.0,0.0,,330.0,13.0,,1014.6,,
2021-10-11 07:00:00,13.3,5.0,57.0,0.0,,350.0,9.4,,1014.3,,
2021-10-11 08:00:00,10.6,3.8,63.0,0.0,,330.0,9.4,,1014.0,,
2021-10-11 09:00:00,12.2,5.6,64.0,0.0,,310.0,16.6,,1013.5,,
2021-10-11 10:00:00,10.6,6.7,77.0,0.0,,320.0,11.2,,1013.4,,
2021-10-11 11:00:00,11.1,8.3,83.0,0.0,,330.0,13.0,,1012.5,,
2021-10-11 12:00:00,10.6,7.8,83.0,0.0,,310.0,22.3,,1012.2,,
2021-10-11 13:00:00,10.0,6.7,80.0,0.0,,320.0,18.4,,1012.4,,
2021-10-11 14:00:00,9.4,6.1,80.0,0.0,,300.0,9.4,,1012.6,,
2021-10-11 15:00:00,10.0,6.2,77.0,0.0,,300.0,13.0,,1012.5,,
2021-10-11 16:00:00,12.2,6.0,66.0,0.0,,310.0,29.5,,1013.0,,
2021-10-11 17:00:00,14.4,3.2,47.0,0.0,,330.0,40.7,,1012.7,,
2021-10-11 18:00:00,16.1,3.8,44.0,0.0,,320.0,30.0,,1012.7,,
2021-10-11 19:00:00,17.8,0.4,31.0,0.0,,320.0,29.5,,1012.2,,
2021-10-11 20:00:00,18.9,-1.0,26.0,0.0,,320.0,31.7,,1011.2,,
2021-10-11 21:00:00,20.6,-3.8,19.0,0.0,,330.0,38.9,,1010.0,,
2021-10-11 22:00:00,19.4,-2.9,22.0,0.0,,310.0,40.7,,1009.6,,
2021-10-11 23:00:00,20.0,-3.7,20.0,0.0,,330.0,38.9,,1009.2,,
2021-10-12 00:00:00,18.9,-4.6,20.0,0.0,,320.0,40.7,,1008.9,,
2021-10-12 01:00:00,17.8,-4.8,21.0,0.0,,320.0,40.7,,1009.1,,
2021-10-12 02:00:00,16.7,-4.6,23.0,0.0,,320.0,27.7,,1009.5,,
2021-10-12 03:00:00,14.4,-1.3,34.0,0.0,,330.0,24.1,,1010.2,,
2021-10-12 04:00:00,13.9,-0.9,36.0,0.0,,330.0,31.7,,1010.6,,
2021-10-12 05:00:00,13.3,-0.7,38.0,0.0,,320.0,18.4,,1011.1,,
2021-10-12 06:00:00,11.7,1.0,48.0,0.0,,320.0,16.6,,1011.6,,
2021-10-12 07:00:00,10.6,1.1,52.0,0.0,,310.0,14.8,,1011.6,,
2021-10-12 08:00:00,10.6,0.6,50.0,0.0,,320.0,18.4,,1011.9,,
2021-10-12 09:00:00,10.6,0.0,48.0,0.0,,320.0,20.5,,1012.1,,
2021-10-12 10:00:00,9.4,-0.5,50.0,0.0,,310.0,16.6,,1012.4,,
2021-10-12 11:00:00,8.9,-1.8,47.0,0.0,,310.0,13.0,,1012.5,,
2021-10-12 12:00:00,9.4,-2.2,44.0,0.0,,310.0,14.8,,1012.6,,
