time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-24 18:00:00,22.0,-0.7,22.0,,,300.0,13.0,,,,
2019-10-24 19:00:00,27.0,-4.8,12.0,,,330.0,20.5,,,,
2019-10-24 20:00:00,29.0,-5.7,10.0,,,320.0,20.5,,,,
2019-10-24 21:00:00,30.0,-4.9,10.0,,,320.0,13.0,,,,
2019-10-24 22:00:00,31.0,-5.6,9.0,,,310.0,16.6,,,,
2019-10-24 23:00:00,32.0,-6.4,8.0,,,340.0,18.4,,,,
2019-10-25 00:00:00,30.0,-3.7,11.0,,,330.0,20.5,,,,
2019-10-25 01:00:00,28.0,-4.1,12.0,,,350.0,11.2,,,,
2019-10-25 02:00:00,25.0,-2.6,16.0,,,,0.0,,,,
2019-10-25 03:00:00,21.0,-2.2,21.0,,,,0.0,,,,
2019-10-25 04:00:00,20.0,-1.2,24.0,,,,0.0,,,,
2019-10-25 05:00:00,18.0,-0.8,28.0,,,250.0,5.4,,,,
2019-10-25 06:00:00,16.0,0.9,36.0,,,,0.0,,,,
2019-10-25 07:00:00,17.0,1.8,36.0,,,130.0,7.6,,,,
2019-10-25 08:00:00,15.0,3.2,45.0,,,150.0,9.4,,,,
2019-10-25 09:00:00,14.0,1.9,44.0,,,,0.0,,,,
2019-10-25 10:00:00,13.0,1.0,44.0,,,100.0,0.0,,,,
2019-10-25 11:00:00,12.0,1.9,50.0,,,,0.0,,,,
2019-10-25 12:00:00,11.0,2.0,54.0,,,,0.0,,,,
2019-10-25 13:00:00,11.0,2.0,54.0,,,330.0,0.0,,,,
2019-10-25 14:00:00,9.0,3.0,66.0,,,,0.0,,,,
2019-10-25 15:00:00,10.0,3.1,62.0,,,20.0,9.4,,,,
2019-10-25 16:00:00,16.0,4.1,45.0,,,,0.0,,,,
2019-10-25 17:00:00,19.0,1.0,30.0,,,,0.0,,,,
2019-10-25 18:00:00,22.0,-0.7,22.0,,,320.0,5.4,,,,
2019-10-25 19:00:00,25.0,-1.0,18.0,,,,0.0,,,,
2019-10-25 20:00:00,27.0,-1.0,16.0,,,,5.4,,,,
2019-10-25 21:00:00,28.0,-2.0,14.0,,,,0.0,,,,
2019-10-25 22:00:00,29.0,-3.3,12.0,,,290.0,11.2,,,,
2019-10-25 23:00:00,,,,,,,,,,,
2019-10-26 00:00:00,30.0,-3.7,11.0,,,,0.0,,,,
2019-10-26 01:00:00,,,,,,,,,,,
2019-10-26 02:00:00,23.0,-1.9,19.0,,,,0.0,,,,
2019-10-26 03:00:00,21.0,0.2,25.0,,,,0.0,,,,
2019-10-26 04:00:00,17.0,1.8,36.0,,,50.0,7.6,,,,
2019-10-26 05:00:00,15.0,1.1,39.0,,,60.0,9.4,,,,
2019-10-26 06:00:00,17.0,5.0,45.0,,,,0.0,,,,
2019-10-26 07:00:00,17.0,4.0,42.0,,,,0.0,,,,
2019-10-26 08:00:00,15.0,4.1,48.0,,,,0.0,,,,
2019-10-26 09:00:00,13.0,3.9,54.0,,,,0.0,,,,
2019-10-26 10:00:00,10.0,3.1,62.0,,,,0.0,,,,
2019-10-26 11:00:00,10.0,2.1,58.0,,,,0.0,,,,
2019-10-26 12:00:00,11.0,4.0,62.0,,,,0.0,,,,
2019-10-26 13:00:00,9.0,3.0,66.0,,,350.0,11.2,,,,
2019-10-26 14:00:00,11.0,4.0,62.0,,,,0.0,,,,
2019-10-26 15:00:00,9.0,3.0,66.0,,,,0.0,,,,
2019-10-26 16:00:00,12.0,4.9,62.0,,,280.0,5.4,,,,
2019-10-26 17:00:00,18.0,3.1,37.0,,,,0.0,,,,
2019-10-26 18:00:00,21.0,3.2,31.0,,,,0.0,,,,
2019-10-26 19:00:00,23.0,0.7,23.0,,,,9.4,,,,
2019-10-26 20:00:00,24.0,1.0,22.0,,,,0.0,,,,
2019-10-26 21:00:00,26.0,3.3,23.0,,,300.0,9.4,,,,
2019-10-26 22:00:00,27.0,0.7,18.0,,,300.0,5.4,,,,
2019-10-26 23:00:00,27.0,-0.1,17.0,,,290.0,7.6,,,,
2019-10-27 00:00:00,27.0,2.1,20.0,,,320.0,7.6,,,,
2019-10-27 01:00:00,25.0,1.8,22.0,,,340.0,5.4,,,,
2019-10-27 02:00:00,21.0,3.2,31.0,,,350.0,5.4,,,,
2019-10-27 03:00:00,20.0,2.8,32.0,,,,0.0,,,,
2019-10-27 04:00:00,16.0,4.1,45.0,,,,0.0,,,,
2019-10-27 05:00:00,16.0,4.1,45.0,,,180.0,7.6,,,,
2019-10-27 06:00:00,13.0,3.9,54.0,,,,0.0,,,,
2019-10-27 07:00:00,17.0,1.0,34.0,,,320.0,25.9,,,,
2019-10-27 08:00:00,17.0,-8.3,17.0,,,320.0,33.5,,,,
2019-10-27 09:00:00,16.0,-7.0,20.0,,,310.0,27.7,,,,
2019-10-27 10:00:00,16.0,-8.3,18.0,,,320.0,40.7,,,,
2019-10-27 11:00:00,14.0,-6.8,23.0,,,320.0,35.3,,,,
2019-10-27 12:00:00,14.0,-6.8,23.0,,,320.0,42.5,,,,
2019-10-27 13:00:00,13.0,-8.8,21.0,,,330.0,42.5,,,,
2019-10-27 14:00:00,12.0,-9.1,22.0,,,330.0,44.6,,,,
2019-10-27 15:00:00,13.0,-10.1,19.0,,,340.0,35.3,,,,
2019-10-27 16:00:00,15.0,-9.2,18.0,,,340.0,38.9,,,,
2019-10-27 17:00:00,17.0,-11.7,13.0,,,350.0,46.4,,,,
2019-10-27 18:00:00,18.0,-9.9,14.0,,,340.0,50.0,,,,
2019-10-27 19:00:00,20.0,-12.6,10.0,,,340.0,55.4,,,,
2019-10-27 20:00:00,21.0,-14.6,8.0,,,360.0,46.4,,,,
2019-10-27 21:00:00,22.0,-15.4,7.0,,,360.0,40.7,,,,
2019-10-27 22:00:00,22.0,-15.4,7.0,,,30.0,27.7,,,,
2019-10-27 23:00:00,22.0,-15.4,7.0,,,30.0,24.1,,,,
2019-10-28 00:00:00,22.0,-13.8,8.0,,,60.0,22.3,,,,
2019-10-28 01:00:00,20.0,-13.9,9.0,,,360.0,24.1,,,,
2019-10-28 02:00:00,16.0,-12.4,13.0,,,360.0,22.3,,,,
2019-10-28 03:00:00,15.0,-12.3,14.0,,,340.0,16.6,,,,
2019-10-28 04:00:00,14.0,-10.0,18.0,,,350.0,18.4,,,,
2019-10-28 05:00:00,13.0,-10.1,19.0,,,350.0,20.5,,,,
2019-10-28 06:00:00,13.0,-10.8,18.0,,,350.0,16.6,,,,
2019-10-28 07:00:00,12.0,-12.3,17.0,,,350.0,16.6,,,,
2019-10-28 08:00:00,11.0,-11.8,19.0,,,310.0,11.2,,,,
2019-10-28 09:00:00,10.0,-10.2,23.0,,,340.0,16.6,,,,
2019-10-28 10:00:00,8.0,-9.0,29.0,,,320.0,13.0,,,,
2019-10-28 11:00:00,7.0,-7.8,34.0,,,280.0,7.6,,,,
2019-10-28 12:00:00,8.0,-9.0,29.0,,,310.0,9.4,,,,
2019-10-28 13:00:00,4.0,-8.1,41.0,,,80.0,7.6,,,,
2019-10-28 14:00:00,5.0,-8.9,36.0,,,,0.0,,,,
2019-10-28 15:00:00,2.0,-9.0,44.0,,,,0.0,,,,
2019-10-28 16:00:00,8.0,-8.1,31.0,,,90.0,7.6,,,,
2019-10-28 17:00:00,10.0,-8.2,27.0,,,,5.4,,,,
