time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-24 21:00:00,29.0,0.6,16.0,0.0,,260.0,13.0,,1016.5,,1.0
2019-10-24 22:00:00,30.0,0.5,15.0,0.0,,70.0,22.3,,1016.1,,1.0
2019-10-24 23:00:00,32.0,1.2,14.0,0.0,,60.0,11.0,,1016.3,,1.0
2019-10-25 00:00:00,30.0,-1.4,13.0,0.0,,60.0,19.0,,1016.2,,2.0
2019-10-25 01:00:00,27.0,-1.0,16.0,,,70.0,7.0,,1016.3,,1.0
2019-10-25 02:00:00,23.9,-1.9,18.0,,,100.0,11.2,,1016.7,,1.0
2019-10-25 03:00:00,24.0,-1.1,19.0,,,50.0,6.0,,1017.5,,1.0
2019-10-25 04:00:00,22.0,-0.7,22.0,,,70.0,7.6,,1017.8,,1.0
2019-10-25 05:00:00,20.0,-1.2,24.0,,,70.0,5.4,,1018.3,,1.0
2019-10-25 06:00:00,19.0,1.0,30.0,,,130.0,0.0,,1018.9,,1.0
2019-10-25 07:00:00,19.0,-0.9,26.0,,,70.0,5.4,,1019.1,,1.0
2019-10-25 08:00:00,18.0,-0.8,28.0,,,90.0,5.4,,1018.9,,1.0
2019-10-25 09:00:00,17.0,0.2,32.0,0.0,,90.0,5.4,,1018.9,,1.0
2019-10-25 10:00:00,17.0,-0.7,30.0,0.0,,120.0,0.0,,1018.8,,1.0
2019-10-25 11:00:00,16.0,-1.1,31.0,0.0,,90.0,5.4,,1018.6,,1.0
2019-10-25 12:00:00,18.0,-0.8,28.0,0.0,,340.0,0.0,,1018.8,,1.0
2019-10-25 13:00:00,15.0,1.1,39.0,0.0,,330.0,0.0,,1018.9,,1.0
2019-10-25 14:00:00,16.0,0.9,36.0,0.0,,50.0,6.0,,1019.3,,1.0
2019-10-25 15:00:00,19.0,1.9,32.0,0.0,,134.0,0.0,,1019.5,,0.0
2019-10-25 16:00:00,22.0,3.1,29.0,0.0,,142.0,0.0,,1020.0,,0.0
2019-10-25 17:00:00,24.0,8.0,36.0,0.0,,240.0,6.0,,1019.9,,0.0
2019-10-25 18:00:00,24.0,9.2,39.0,0.0,,260.0,7.0,,1019.6,,0.0
2019-10-25 19:00:00,26.0,6.1,28.0,0.0,,260.0,9.0,,1018.9,,0.0
2019-10-25 20:00:00,27.0,2.1,20.0,0.0,,260.0,9.0,,1018.0,,0.0
2019-10-25 21:00:00,28.0,2.2,19.0,0.0,,280.0,15.0,,1017.0,,0.0
2019-10-25 22:00:00,30.0,3.9,19.0,0.0,,280.0,13.0,,1016.3,,1.0
2019-10-25 23:00:00,29.0,3.8,20.0,0.0,,280.0,11.0,,1015.7,,0.0
2019-10-26 00:00:00,26.0,3.9,24.0,0.0,,280.0,11.0,,1015.4,,0.0
2019-10-26 01:00:00,23.0,7.1,36.0,,,300.0,7.6,,1015.1,,0.0
2019-10-26 02:00:00,25.6,-1.3,17.0,,,310.0,0.0,,1015.2,,1.0
2019-10-26 03:00:00,21.0,6.9,40.0,,,120.0,6.0,,1015.3,,0.0
2019-10-26 04:00:00,20.0,4.1,35.0,0.0,,110.0,5.4,,1015.3,,0.0
