time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2020-10-12 21:00:00,28.0,6.1,25.0,0.0,,290.0,20.0,,1017.8,,2.0
2020-10-12 22:00:00,30.0,6.0,22.0,0.0,,280.0,20.0,,1016.7,,2.0
2020-10-12 23:00:00,29.0,5.1,22.0,0.0,,290.0,17.0,,1016.3,,2.0
2020-10-13 00:00:00,28.0,6.1,25.0,0.0,,290.0,17.0,,1015.7,,2.0
2020-10-13 01:00:00,20.0,5.2,38.0,0.0,,280.0,6.0,,1015.3,,2.0
2020-10-13 02:00:00,21.0,5.0,35.0,0.0,,70.0,0.0,,1015.7,,1.0
2020-10-13 03:00:00,20.0,5.2,38.0,0.0,,0.0,0.0,,1016.1,,1.0
2020-10-13 04:00:00,20.0,5.2,38.0,0.0,,0.0,0.0,,1016.7,,1.0
2020-10-13 05:00:00,21.0,5.0,35.0,0.0,,0.0,0.0,,1016.9,,1.0
2020-10-13 06:00:00,20.0,4.1,35.0,0.0,,0.0,0.0,,1017.0,,1.0
2020-10-13 07:00:00,19.0,5.1,40.0,0.0,,70.0,5.4,,1016.9,,1.0
2020-10-13 08:00:00,17.0,4.0,42.0,0.0,,0.0,0.0,,1017.1,,1.0
2020-10-13 09:00:00,15.0,7.1,59.0,0.0,,80.0,5.4,,1017.3,,1.0
2020-10-13 10:00:00,13.0,5.2,59.0,0.0,,0.0,0.0,,1017.4,,1.0
2020-10-13 11:00:00,14.0,5.1,55.0,0.0,,90.0,5.4,,1017.2,,1.0
2020-10-13 12:00:00,13.0,4.2,55.0,0.0,,0.0,0.0,,1017.6,,1.0
2020-10-13 13:00:00,14.0,3.2,48.0,0.0,,0.0,0.0,,1018.1,,1.0
2020-10-13 14:00:00,14.0,5.1,55.0,0.0,,60.0,6.0,,1018.3,,1.0
2020-10-13 15:00:00,18.0,6.2,46.0,0.0,,0.0,0.0,,1018.9,,1.0
2020-10-13 16:00:00,22.0,7.0,38.0,0.0,,0.0,0.0,,1019.7,,1.0
2020-10-13 17:00:00,24.0,7.2,34.0,0.0,,250.0,7.0,,1019.9,,1.0
2020-10-13 18:00:00,26.0,8.0,32.0,0.0,,290.0,7.0,,1019.9,,1.0
2020-10-13 19:00:00,29.0,8.1,27.0,0.0,,280.0,11.0,,1019.4,,1.0
2020-10-13 20:00:00,29.0,8.1,27.0,0.0,,290.0,11.0,,1018.5,,1.0
2020-10-13 21:00:00,32.0,6.9,21.0,0.0,,280.0,19.0,,1017.5,,1.0
2020-10-13 22:00:00,32.0,6.9,21.0,0.0,,220.0,11.2,,1017.1,,2.0
