time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2018-10-12 21:00:00,27.8,-0.3,16.0,0.0,,,0.0,,1010.3,,
2018-10-12 22:00:00,28.9,-0.3,15.0,0.0,,,0.0,,1009.2,,
2018-10-12 23:00:00,29.4,-0.9,14.0,0.0,,,0.0,,1008.8,,
2018-10-13 00:00:00,28.9,1.4,17.0,0.0,,320.0,11.2,,1008.6,,
2018-10-13 01:00:00,25.6,2.3,22.0,0.0,,300.0,5.4,,1008.7,,
2018-10-13 02:00:00,21.1,3.3,31.0,0.0,,210.0,5.4,,1009.1,,
2018-10-13 03:00:00,18.9,3.5,36.0,0.0,,,0.0,,1009.9,,
2018-10-13 04:00:00,17.2,3.5,40.0,0.0,,,0.0,,1010.1,,
2018-10-13 05:00:00,15.0,6.0,55.0,0.0,,,0.0,,1010.3,,
2018-10-13 06:00:00,14.4,4.4,51.0,0.0,,,0.0,,1010.4,,
2018-10-13 07:00:00,13.3,5.0,57.0,0.0,,,0.0,,1011.1,,
2018-10-13 08:00:00,11.7,4.9,63.0,0.0,,,0.0,,1010.8,,
2018-10-13 09:00:00,10.6,4.3,65.0,0.0,,,0.0,,1010.9,,
2018-10-13 10:00:00,8.9,5.6,80.0,0.0,,,0.0,,1010.6,,
2018-10-13 11:00:00,8.9,5.1,77.0,0.0,,,0.0,,1010.3,,
2018-10-13 12:00:00,8.3,5.1,80.0,0.0,,,0.0,,1010.3,,
2018-10-13 13:00:00,7.2,4.0,80.0,0.0,,,0.0,,1010.7,,
2018-10-13 14:00:00,7.2,4.0,80.0,0.0,,,0.0,,1010.9,,
2018-10-13 15:00:00,7.8,3.8,76.0,0.0,,,0.0,,1011.3,,
2018-10-13 16:00:00,10.6,4.3,65.0,0.0,,,0.0,,1011.4,,
2018-10-13 17:00:00,14.4,4.4,51.0,0.0,,,0.0,,1011.3,,
2018-10-13 18:00:00,18.3,3.7,38.0,0.0,,,0.0,,1010.6,,
2018-10-13 19:00:00,21.7,2.9,29.0,0.0,,320.0,5.4,,1010.0,,
2018-10-13 20:00:00,25.6,0.3,19.0,0.0,,,0.0,,1009.2,,
2018-10-13 21:00:00,27.8,2.8,20.0,0.0,,,5.4,,1008.3,,
2018-10-13 22:00:00,30.6,1.9,16.0,0.0,,,0.0,,1007.7,,
2018-10-13 23:00:00,31.1,1.4,15.0,0.0,,,7.6,,1007.5,,
2018-10-14 00:00:00,30.0,3.1,18.0,0.0,,310.0,9.4,,1007.5,,
2018-10-14 01:00:00,26.7,3.2,22.0,0.0,,,0.0,,1008.0,,
2018-10-14 02:00:00,21.7,5.6,35.0,0.0,,250.0,5.4,,1008.9,,
2018-10-14 03:00:00,18.9,4.3,38.0,0.0,,,0.0,,1009.6,,
2018-10-14 04:00:00,16.1,7.3,56.0,0.0,,,0.0,,1010.0,,
2018-10-14 05:00:00,15.6,4.3,47.0,0.0,,,0.0,,1010.4,,
2018-10-14 06:00:00,12.8,5.7,62.0,0.0,,,0.0,,1010.8,,
2018-10-14 07:00:00,12.2,3.9,57.0,0.0,,,0.0,,1011.1,,
2018-10-14 08:00:00,10.6,4.3,65.0,0.0,,80.0,5.4,,1011.3,,
2018-10-14 09:00:00,8.9,3.9,71.0,0.0,,,0.0,,1011.4,,
2018-10-14 10:00:00,8.9,3.3,68.0,0.0,,,0.0,,1011.4,,
2018-10-14 11:00:00,7.8,3.8,76.0,0.0,,,0.0,,1011.2,,
2018-10-14 12:00:00,7.8,3.3,73.0,0.0,,,0.0,,1011.5,,
2018-10-14 13:00:00,6.7,3.3,79.0,0.0,,,0.0,,1011.9,,
2018-10-14 14:00:00,6.1,3.3,82.0,0.0,,,0.0,,1012.6,,
2018-10-14 15:00:00,6.7,3.8,82.0,0.0,,,0.0,,1013.5,,
2018-10-14 16:00:00,9.4,4.4,71.0,0.0,,,0.0,,1014.2,,
2018-10-14 17:00:00,12.8,4.5,57.0,0.0,,,0.0,,1014.4,,
2018-10-14 18:00:00,17.8,4.0,40.0,0.0,,,0.0,,1014.4,,
2018-10-14 19:00:00,21.7,2.9,29.0,0.0,,,0.0,,1013.9,,
2018-10-14 20:00:00,25.0,1.8,22.0,0.0,,,0.0,,1013.6,,
2018-10-14 21:00:00,27.8,-2.1,14.0,0.0,,,5.4,,1012.9,,
2018-10-14 22:00:00,28.9,-5.8,10.0,0.0,,140.0,14.8,,1012.6,,
2018-10-14 23:00:00,28.9,-8.7,8.0,0.0,,150.0,14.8,,1012.7,,
2018-10-15 00:00:00,27.8,-11.2,7.0,0.0,,150.0,14.8,,1013.0,,
2018-10-15 01:00:00,25.0,-11.6,8.0,0.0,,220.0,5.4,,1013.6,,
2018-10-15 02:00:00,20.6,-2.5,21.0,0.0,,290.0,5.4,,1014.8,,
2018-10-15 03:00:00,18.9,-1.0,26.0,0.0,,,0.0,,1015.6,,
2018-10-15 04:00:00,16.1,0.6,35.0,0.0,,,0.0,,1016.2,,
2018-10-15 05:00:00,11.7,2.7,54.0,0.0,,320.0,7.6,,1016.9,,
2018-10-15 06:00:00,11.7,2.2,52.0,0.0,,,0.0,,1017.1,,
2018-10-15 07:00:00,10.0,0.0,50.0,0.0,,,0.0,,1017.4,,
2018-10-15 08:00:00,8.9,0.1,54.0,0.0,,,0.0,,1017.8,,
2018-10-15 09:00:00,6.1,1.6,73.0,0.0,,,0.0,,1018.1,,
2018-10-15 10:00:00,5.0,1.1,76.0,0.0,,120.0,5.4,,1018.9,,
2018-10-15 11:00:00,5.6,0.0,67.0,0.0,,330.0,5.4,,1019.2,,
2018-10-15 12:00:00,5.0,0.0,70.0,0.0,,120.0,5.4,,1019.6,,
2018-10-15 13:00:00,5.0,-0.6,67.0,0.0,,,5.4,,1020.2,,
2018-10-15 14:00:00,3.9,-0.7,72.0,0.0,,,0.0,,1021.0,,
2018-10-15 15:00:00,3.9,0.1,76.0,0.0,,,0.0,,1021.7,,
2018-10-15 16:00:00,8.9,-1.0,50.0,0.0,,40.0,5.4,,1022.1,,
