time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-24 17:00:00,23.9,-6.2,13.0,,,340.0,20.5,,1021.6,,
2019-10-24 18:00:00,25.6,-7.1,11.0,,,350.0,24.1,,1021.3,,
2019-10-24 19:00:00,26.7,-6.2,11.0,,,340.0,25.9,,1020.7,,
2019-10-24 20:00:00,28.3,-6.2,10.0,,,340.0,20.5,,1020.2,,
2019-10-24 21:00:00,28.9,-7.2,9.0,0.0,,350.0,24.1,,1019.6,,7.0
2019-10-24 22:00:00,30.6,-5.9,9.0,0.0,,350.0,24.1,,1018.9,,
2019-10-24 23:00:00,30.0,-4.9,10.0,0.0,,340.0,20.5,,1018.5,,
2019-10-25 00:00:00,30.0,-4.9,10.0,0.0,,340.0,18.4,,1018.0,,
2019-10-25 01:00:00,27.8,-4.2,12.0,,,300.0,9.4,,1017.7,,
2019-10-25 02:00:00,23.9,-4.3,15.0,,,290.0,11.2,,1017.7,,
2019-10-25 03:00:00,21.7,-4.4,17.0,,,310.0,9.4,,1018.1,,
2019-10-25 04:00:00,19.4,-4.2,20.0,0.0,,10.0,5.4,,1018.4,,
2019-10-25 05:00:00,20.0,-5.1,18.0,,,350.0,7.6,,1018.9,,
2019-10-25 06:00:00,17.8,-4.8,21.0,,,320.0,9.4,,1019.2,,
2019-10-25 07:00:00,17.2,-4.7,22.0,0.0,,330.0,14.8,,1019.3,,
2019-10-25 08:00:00,13.3,-3.9,30.0,,,320.0,7.6,,1019.5,,
2019-10-25 09:00:00,12.8,-3.9,31.0,0.0,,310.0,9.4,,1019.4,,
2019-10-25 10:00:00,13.3,-4.4,29.0,0.0,,310.0,11.2,,1019.5,,
2019-10-25 11:00:00,12.2,-4.0,32.0,0.0,,300.0,11.2,,1019.3,,
2019-10-25 12:00:00,11.1,-3.8,35.0,0.0,,330.0,9.4,,1019.5,,
2019-10-25 13:00:00,11.7,-4.1,33.0,0.0,,320.0,13.0,,1019.7,,
2019-10-25 14:00:00,12.2,-4.5,31.0,0.0,,330.0,14.8,,1020.1,,0.0
2019-10-25 15:00:00,12.8,-3.9,31.0,0.0,,320.0,11.2,,1020.3,,
2019-10-25 16:00:00,15.6,-3.3,27.0,0.0,,330.0,7.6,,1020.7,,0.0
2019-10-25 17:00:00,20.6,-3.2,20.0,0.0,,350.0,7.6,,1020.7,,
2019-10-25 18:00:00,23.9,-5.2,14.0,0.0,,10.0,16.6,,1020.3,,
2019-10-25 19:00:00,26.1,-4.5,13.0,0.0,,30.0,5.4,,1019.6,,
2019-10-25 20:00:00,28.9,-4.5,11.0,0.0,,50.0,5.4,,1018.6,,
2019-10-25 21:00:00,30.0,-6.3,9.0,0.0,,,0.0,,1017.6,,
2019-10-25 22:00:00,30.6,-7.4,8.0,0.0,,160.0,5.4,,1016.8,,0.0
2019-10-25 23:00:00,30.6,-5.9,9.0,0.0,,150.0,9.4,,1016.2,,0.0
2019-10-26 00:00:00,30.0,-4.9,10.0,0.0,,130.0,9.4,,1015.8,,0.0
2019-10-26 01:00:00,27.0,-0.1,17.0,,,30.0,0.0,,,,
2019-10-26 02:00:00,23.3,1.6,24.0,0.0,,160.0,9.4,,1015.1,,5.0
2019-10-26 03:00:00,17.2,1.2,34.0,0.0,,320.0,5.4,,,,
2019-10-26 04:00:00,16.1,-1.0,31.0,0.0,,290.0,7.6,,1015.7,,5.0
2019-10-26 05:00:00,14.4,-1.3,34.0,0.0,,310.0,7.6,,1015.7,,
2019-10-26 06:00:00,12.8,-1.5,37.0,0.0,,300.0,9.4,,1015.5,,5.0
2019-10-26 07:00:00,13.9,-1.7,34.0,0.0,,320.0,11.2,,1015.5,,5.0
2019-10-26 08:00:00,12.8,-2.3,35.0,0.0,,320.0,11.2,,1015.1,,5.0
2019-10-26 09:00:00,11.7,-1.8,39.0,,,310.0,11.2,,1014.7,,5.0
2019-10-26 10:00:00,11.7,-1.1,41.0,,,310.0,7.6,,1014.5,,5.0
2019-10-26 11:00:00,12.8,-0.5,40.0,,,330.0,11.2,,1013.7,,
2019-10-26 12:00:00,12.2,0.0,43.0,,,10.0,9.4,,1013.5,,
2019-10-26 13:00:00,10.6,0.6,50.0,,,20.0,9.4,,1013.2,,
2019-10-26 14:00:00,12.8,1.8,47.0,,,330.0,9.4,,1012.8,,5.0
2019-10-26 15:00:00,13.3,1.6,45.0,,,330.0,13.0,,1013.2,,
2019-10-26 16:00:00,16.1,2.8,41.0,,,,0.0,,1013.1,,
2019-10-26 17:00:00,22.2,5.2,33.0,,,350.0,27.7,,1012.9,,
2019-10-26 18:00:00,23.9,4.8,29.0,,,350.0,31.7,,1012.2,,
2019-10-26 19:00:00,26.1,4.0,24.0,,,360.0,29.5,,1011.3,,
2019-10-26 20:00:00,27.2,1.6,19.0,,,20.0,33.5,,1010.5,,
2019-10-26 21:00:00,27.8,1.3,18.0,,,360.0,35.3,,1009.6,,
2019-10-26 22:00:00,28.9,0.6,16.0,,,360.0,25.9,,1008.6,,
2019-10-26 23:00:00,28.9,-1.3,14.0,,,350.0,22.3,,1007.7,,
2019-10-27 00:00:00,27.8,-0.3,16.0,,,350.0,22.3,,1007.1,,
2019-10-27 01:00:00,25.6,0.3,19.0,,,350.0,13.0,,1006.9,,
2019-10-27 02:00:00,,,,,,,,,,,
2019-10-27 03:00:00,,,,,,,,,,,
2019-10-27 04:00:00,17.0,0.2,32.0,,,,0.0,,,,
2019-10-27 05:00:00,16.0,-2.0,29.0,,,340.0,9.4,,,,
2019-10-27 06:00:00,18.0,-11.9,12.0,,,310.0,40.7,,,,
2019-10-27 07:00:00,17.0,-10.7,14.0,,,350.0,20.5,,,,
2019-10-27 08:00:00,17.0,-11.7,13.0,,,300.0,25.9,,,,
2019-10-27 09:00:00,14.0,-9.3,19.0,,,320.0,18.4,,,,
2019-10-27 10:00:00,15.0,-10.7,16.0,,,350.0,20.5,,,,
2019-10-27 11:00:00,14.0,-13.1,14.0,,,350.0,24.1,,,,
2019-10-27 12:00:00,11.0,-8.8,24.0,,,330.0,37.1,,,,
2019-10-27 13:00:00,10.0,-10.2,23.0,,,330.0,20.5,,,,
2019-10-27 14:00:00,10.0,-10.2,23.0,,,310.0,0.0,,,,
2019-10-27 15:00:00,12.0,-10.3,20.0,,,310.0,25.9,,,,
2019-10-27 16:00:00,9.0,-9.0,27.0,,,340.0,9.4,,,,
2019-10-27 17:00:00,16.0,-9.1,17.0,,,310.0,32.0,,,,
2019-10-27 18:00:00,,,,,,,,,,,
2019-10-27 19:00:00,18.0,-10.9,13.0,,,350.0,9.4,,,,
2019-10-27 20:00:00,19.0,-12.2,11.0,,,,11.2,,,,
2019-10-27 21:00:00,20.0,-12.6,10.0,,,,11.2,,,,
2019-10-27 22:00:00,21.0,-13.1,9.0,,,300.0,18.4,,,,
2019-10-27 23:00:00,20.0,-12.6,10.0,,,360.0,20.0,,,,
2019-10-28 00:00:00,20.0,-12.6,10.0,,,360.0,20.5,,,,
2019-10-28 01:00:00,19.0,-14.6,9.0,,,360.0,16.6,,,,
2019-10-28 02:00:00,17.0,-12.7,12.0,,,20.0,9.4,,,,
2019-10-28 03:00:00,,,,,,,,,,,
2019-10-28 04:00:00,15.0,-13.2,13.0,,,30.0,11.2,,,,
2019-10-28 05:00:00,13.0,-13.1,15.0,,,40.0,11.2,,,,
2019-10-28 06:00:00,10.0,-12.0,20.0,,,290.0,11.2,,,,
2019-10-28 07:00:00,9.0,-10.0,25.0,,,,0.0,,,,
2019-10-28 08:00:00,7.0,-12.2,24.0,,,,0.0,,,,
2019-10-28 09:00:00,6.0,-12.1,26.0,,,,0.0,,,,
2019-10-28 10:00:00,7.0,-12.2,24.0,,,,0.0,,,,
2019-10-28 11:00:00,3.0,-11.0,35.0,,,310.0,11.2,,,,
2019-10-28 12:00:00,4.0,-12.0,30.0,,,,0.0,,,,
2019-10-28 13:00:00,5.0,-12.0,28.0,,,,0.0,,,,
2019-10-28 14:00:00,2.0,-13.0,32.0,,,,0.0,,,,
2019-10-28 15:00:00,4.0,-13.8,26.0,,,,0.0,,,,
2019-10-28 16:00:00,8.0,-13.0,21.0,,,,9.4,,,,
2019-10-28 17:00:00,13.0,-13.1,15.0,,,,0.0,,,,
2019-10-28 18:00:00,14.0,-13.1,14.0,,,,0.0,,,,
2019-10-28 19:00:00,17.0,-11.7,13.0,,,,0.0,,,,
2019-10-28 20:00:00,19.0,-12.2,11.0,,,,,,,,
2019-10-28 21:00:00,20.0,-10.3,12.0,,,,,,,,
2019-10-28 22:00:00,20.0,-9.3,13.0,,,190.0,9.0,,,,
2019-10-28 23:00:00,21.0,-13.1,9.0,,,180.0,11.0,,,,5.0
2019-10-29 00:00:00,21.1,-13.0,9.0,,,190.0,14.8,,1014.5,,
2019-10-29 01:00:00,18.9,-10.2,13.0,0.0,,150.0,11.2,,1014.2,,
2019-10-29 02:00:00,15.0,-8.5,19.0,0.0,,140.0,5.4,,1014.2,,
2019-10-29 03:00:00,12.8,-5.8,27.0,0.0,,,0.0,,1014.8,,
2019-10-29 04:00:00,10.0,-6.8,30.0,0.0,,270.0,5.4,,1015.0,,
2019-10-29 05:00:00,7.2,-7.6,34.0,0.0,,340.0,5.4,,1015.7,,
2019-10-29 06:00:00,7.2,-8.4,32.0,0.0,,300.0,9.4,,1015.8,,
2019-10-29 07:00:00,6.1,-8.2,35.0,0.0,,300.0,7.6,,1015.6,,
2019-10-29 08:00:00,6.7,-8.9,32.0,0.0,,300.0,7.6,,1015.7,,
2019-10-29 09:00:00,5.6,-9.1,34.0,0.0,,300.0,9.4,,1015.6,,
2019-10-29 10:00:00,5.0,-9.6,34.0,0.0,,310.0,9.4,,1015.6,,
2019-10-29 11:00:00,5.0,-10.0,33.0,0.0,,320.0,13.0,,1015.3,,
2019-10-29 12:00:00,5.6,-9.1,34.0,0.0,,320.0,13.0,,1015.4,,
2019-10-29 13:00:00,6.7,-8.5,33.0,0.0,,320.0,16.6,,1015.9,,
2019-10-29 14:00:00,7.8,-6.0,37.0,0.0,,320.0,22.3,,1016.2,,
2019-10-29 15:00:00,10.0,-8.2,27.0,0.0,,350.0,25.9,,1016.6,,
2019-10-29 16:00:00,13.3,-8.6,21.0,0.0,,350.0,37.1,,1017.8,,
2019-10-29 17:00:00,13.9,-9.4,19.0,0.0,,340.0,42.5,,1018.4,,
2019-10-29 18:00:00,15.0,-9.9,17.0,0.0,,350.0,40.7,,1018.4,,
