time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2021-09-18 07:00:00,21.1,9.3,47.0,0.0,,210.0,13.0,,1011.9,,
2021-09-18 08:00:00,19.4,10.1,55.0,0.0,,220.0,14.8,,1012.2,,
2021-09-18 09:00:00,18.9,9.4,54.0,0.0,,190.0,18.4,,1012.0,,
2021-09-18 10:00:00,18.3,8.8,54.0,0.0,,180.0,18.4,,1012.3,,
2021-09-18 11:00:00,17.8,8.9,56.0,0.0,,140.0,18.4,,1012.3,,
2021-09-18 12:00:00,17.2,9.4,60.0,0.0,,170.0,9.4,,1013.1,,
2021-09-18 13:00:00,15.6,9.5,67.0,0.0,,160.0,20.5,,1013.2,,
2021-09-18 14:00:00,14.4,9.4,72.0,0.0,,170.0,14.8,,1014.1,,
2021-09-18 15:00:00,14.4,10.0,75.0,0.0,,180.0,13.0,,1014.4,,
2021-09-18 16:00:00,15.6,10.6,72.0,0.0,,160.0,22.3,,1014.8,,
2021-09-18 17:00:00,16.7,10.5,67.0,0.0,,170.0,16.6,,1014.9,,
2021-09-18 18:00:00,18.3,10.6,61.0,0.0,,170.0,22.3,,1015.0,,
2021-09-18 19:00:00,18.9,10.7,59.0,0.0,,180.0,18.4,,1015.4,,
2021-09-18 20:00:00,20.6,10.7,53.0,0.0,,170.0,20.5,,1014.9,,
2021-09-18 21:00:00,21.1,11.1,53.0,0.0,,160.0,16.6,,1014.8,,
2021-09-18 22:00:00,22.2,12.2,53.0,0.0,,112.0,7.6,,1014.3,,
2021-09-18 23:00:00,22.8,12.7,53.0,0.0,,0.0,0.0,,1013.8,,
2021-09-19 00:00:00,21.7,13.3,59.0,0.0,,30.0,20.5,,1013.3,,
2021-09-19 01:00:00,17.8,13.9,78.0,0.0,,350.0,22.3,,1013.7,,
2021-09-19 02:00:00,17.8,13.3,75.0,0.1,,360.0,16.6,,1013.5,,
2021-09-19 03:00:00,17.2,13.3,78.0,0.0,,360.0,14.8,,1013.3,,
2021-09-19 04:00:00,17.2,13.3,78.0,0.0,,330.0,9.4,,1013.5,,
2021-09-19 05:00:00,16.7,12.8,78.0,0.0,,0.0,0.0,,1013.8,,
2021-09-19 06:00:00,17.2,13.9,81.0,0.0,,180.0,5.4,,1014.1,,
2021-09-19 07:00:00,16.7,14.0,84.0,0.0,,180.0,5.4,,1014.0,,
2021-09-19 08:00:00,15.0,12.9,87.0,0.0,,280.0,9.4,,1014.7,,
2021-09-19 09:00:00,17.8,14.5,81.0,0.1,,210.0,9.0,,1015.3,,
2021-09-19 10:00:00,17.8,14.5,81.0,2.4,,210.0,9.4,,1015.7,,
2021-09-19 11:00:00,17.2,13.9,81.0,1.0,,180.0,14.8,,1015.9,,
2021-09-19 12:00:00,16.1,13.9,87.0,0.0,,170.0,11.2,,1015.9,,
2021-09-19 13:00:00,15.6,14.0,90.0,0.2,,0.0,0.0,,1016.8,,
2021-09-19 14:00:00,16.7,14.3,86.0,0.3,,130.0,7.6,,1017.3,,
2021-09-19 15:00:00,16.7,14.3,86.0,0.1,,170.0,11.2,,1018.0,,
2021-09-19 16:00:00,17.2,14.5,84.0,0.0,,170.0,9.4,,1018.6,,
2021-09-19 17:00:00,18.9,14.0,73.0,0.0,,250.0,9.4,,1019.2,,
2021-09-19 18:00:00,20.6,12.8,61.0,0.1,,140.0,5.4,,1019.2,,
2021-09-19 19:00:00,22.8,9.9,44.0,0.0,,280.0,7.6,,1019.0,,
2021-09-19 20:00:00,23.3,8.2,38.0,0.0,,350.0,5.4,,1018.7,,
2021-09-19 21:00:00,23.9,9.1,39.0,0.0,,350.0,16.6,,1018.6,,
2021-09-19 22:00:00,25.6,6.7,30.0,0.0,,20.0,18.4,,1018.0,,
2021-09-19 23:00:00,26.7,5.0,25.0,0.0,,340.0,11.2,,1017.6,,
2021-09-20 00:00:00,26.7,2.6,21.0,0.0,,340.0,16.6,,1017.0,,
2021-09-20 01:00:00,26.1,5.6,27.0,0.0,,360.0,14.8,,1016.8,,
2021-09-20 02:00:00,25.0,5.2,28.0,0.0,,330.0,13.0,,1016.5,,
2021-09-20 03:00:00,22.8,5.2,32.0,0.0,,330.0,11.2,,1016.9,,
2021-09-20 04:00:00,22.2,5.6,34.0,0.0,,330.0,14.8,,1017.4,,
2021-09-20 05:00:00,21.7,6.0,36.0,0.0,,350.0,28.0,,1017.7,,
2021-09-20 06:00:00,21.1,5.4,36.0,0.0,,350.0,27.7,,1018.0,,
2021-09-20 07:00:00,21.1,4.6,34.0,0.0,,350.0,24.1,,1018.0,,
2021-09-20 08:00:00,20.6,3.8,33.0,0.0,,330.0,24.1,,1017.8,,
2021-09-20 09:00:00,20.6,3.3,32.0,0.0,,340.0,25.9,,1017.8,,
2021-09-20 10:00:00,19.4,3.1,34.0,0.0,,330.0,20.5,,1017.6,,
2021-09-20 11:00:00,19.4,2.7,33.0,0.0,,330.0,27.7,,1017.2,,
2021-09-20 12:00:00,19.4,2.7,33.0,0.0,,340.0,25.9,,1017.2,,
2021-09-20 13:00:00,19.4,2.7,33.0,0.0,,340.0,24.1,,1017.3,,
2021-09-20 14:00:00,18.9,2.7,34.0,0.0,,330.0,24.1,,1017.5,,
2021-09-20 15:00:00,20.0,2.8,32.0,0.0,,350.0,25.9,,1018.1,,
2021-09-20 16:00:00,22.2,2.3,27.0,0.0,,340.0,27.7,,1018.3,,
2021-09-20 17:00:00,23.9,1.5,23.0,0.0,,350.0,35.3,,1018.0,,
2021-09-20 18:00:00,26.1,1.4,20.0,0.0,,360.0,29.5,,1017.7,,
2021-09-20 19:00:00,27.8,-0.3,16.0,0.0,,360.0,29.5,,1017.0,,
