time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-11-18 09:00:00,-2.0,-16.9,31.0,,,,0.0,,,,
2019-11-18 10:00:00,-3.0,-19.8,26.0,,,,0.0,,,,
2019-11-18 11:00:00,-3.0,-19.8,26.0,,,,0.0,,,,
2019-11-18 12:00:00,-3.0,-19.8,26.0,,,,0.0,,,,
2019-11-18 13:00:00,-3.0,-18.2,30.0,,,,0.0,,,,
2019-11-18 14:00:00,-3.0,-17.0,33.0,,,,0.0,,,,
2019-11-18 15:00:00,-3.0,-16.0,36.0,,,,0.0,,,,
2019-11-18 16:00:00,0.0,-15.9,29.0,,,,0.0,,,,
2019-11-18 17:00:00,8.0,-11.9,23.0,,,,0.0,,,,
2019-11-18 18:00:00,17.0,-9.9,15.0,,,60.0,16.6,,,,
2019-11-18 19:00:00,18.0,-10.9,13.0,,,50.0,11.2,,,,
2019-11-18 20:00:00,19.0,-12.2,11.0,,,80.0,16.6,,,,
2019-11-18 21:00:00,19.0,-12.2,11.0,,,60.0,11.2,,,,
2019-11-18 22:00:00,18.0,-10.9,13.0,,,70.0,16.6,,,,
2019-11-18 23:00:00,17.0,-10.7,14.0,,,60.0,5.4,,,,
2019-11-19 00:00:00,16.0,-10.7,15.0,,,,0.0,,,,
2019-11-19 01:00:00,11.0,-7.8,26.0,,,,0.0,,,,
2019-11-19 02:00:00,7.0,-9.8,29.0,,,,0.0,,,,
2019-11-19 03:00:00,5.0,-11.2,30.0,,,,0.0,,,,
2019-11-19 04:00:00,3.0,-11.0,35.0,,,,0.0,,,,
2019-11-19 05:00:00,2.0,-10.9,38.0,,,,0.0,,,,
2019-11-19 06:00:00,1.0,-12.1,37.0,,,,0.0,,,,
2019-11-19 07:00:00,1.0,-11.1,40.0,,,,0.0,,,,
2019-11-19 08:00:00,,,,,,,,,,,
2019-11-19 09:00:00,,,,,,,,,,,
2019-11-19 10:00:00,,,,,,,,,,,
2019-11-19 11:00:00,,,,,,,,,,,
2019-11-19 12:00:00,,,,,,,,,,,
2019-11-19 13:00:00,,,,,,,,,,,
2019-11-19 14:00:00,,,,,,,,,,,
2019-11-19 15:00:00,,,,,,,,,,,
2019-11-19 16:00:00,,,,,,,,,,,
2019-11-19 17:00:00,,,,,,,,,,,
2019-11-19 18:00:00,,,,,,,,,,,
2019-11-19 19:00:00,,,,,,,,,,,
2019-11-19 20:00:00,,,,,,,,,,,
2019-11-19 21:00:00,,,,,,,,,,,
2019-11-19 22:00:00,,,,,,,,,,,
2019-11-19 23:00:00,,,,,,,,,,,
2019-11-20 00:00:00,9.0,2.1,62.0,,,260.0,11.2,,,,
2019-11-20 01:00:00,7.0,3.1,76.0,,,250.0,11.2,,,,
2019-11-20 02:00:00,7.0,1.9,70.0,,,,0.0,,,,
2019-11-20 03:00:00,7.0,1.9,70.0,,,230.0,5.4,,,,
2019-11-20 04:00:00,6.0,4.0,87.0,,,,0.0,,,,
2019-11-20 05:00:00,5.0,4.0,93.0,1.0,,250.0,7.6,,,,
2019-11-20 06:00:00,3.0,2.0,93.0,0.5,,240.0,7.6,,,,
2019-11-20 07:00:00,3.0,2.0,93.0,,,270.0,18.4,,,,
2019-11-20 08:00:00,4.0,3.0,93.0,,,260.0,24.1,,,,
2019-11-20 09:00:00,3.0,0.1,81.0,,,260.0,27.7,,,,
2019-11-20 10:00:00,3.0,1.0,87.0,,,240.0,18.4,,,,
2019-11-20 11:00:00,2.0,-0.9,81.0,,,230.0,24.1,,,,
2019-11-20 12:00:00,1.0,-1.1,86.0,,,270.0,25.9,,,,
2019-11-20 13:00:00,0.0,-2.1,86.0,,,,0.0,,,,
2019-11-20 14:00:00,0.0,-2.1,86.0,,,,0.0,,,,
2019-11-20 15:00:00,0.0,-1.0,93.0,,,,0.0,,,,
2019-11-20 16:00:00,0.0,-2.1,86.0,,,230.0,5.4,,,,
2019-11-20 17:00:00,0.0,-2.1,86.0,,,220.0,9.4,,,,
2019-11-20 18:00:00,0.0,-5.0,69.0,,,220.0,14.8,,,,
2019-11-20 19:00:00,0.0,-5.0,69.0,,,190.0,13.0,,,,
2019-11-20 20:00:00,-1.0,-2.0,93.0,,,230.0,9.4,,,,
2019-11-20 21:00:00,-1.0,-3.0,86.0,,,230.0,11.2,,,,
2019-11-20 22:00:00,0.0,-2.1,86.0,0.5,,230.0,9.4,,,,
2019-11-20 23:00:00,0.0,-3.0,80.0,,,250.0,11.2,,,,
