time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2020-10-20 04:00:00,7.0,-9.8,29.0,,,0.0,0.0,,,,
2020-10-20 05:00:00,5.0,-10.0,33.0,,,0.0,0.0,,,,
2020-10-20 06:00:00,5.0,-8.9,36.0,,,0.0,0.0,,,,
2020-10-20 07:00:00,3.0,-8.1,44.0,,,0.0,0.0,,,,
2020-10-20 08:00:00,2.0,-9.0,44.0,,,0.0,0.0,,,,
2020-10-20 09:00:00,1.0,-9.9,44.0,,,0.0,0.0,,,,
2020-10-20 10:00:00,0.0,-11.1,43.0,,,0.0,0.0,,,,
2020-10-20 11:00:00,0.0,-11.1,43.0,,,0.0,0.0,,,,
2020-10-20 12:00:00,0.0,-13.0,37.0,,,0.0,0.0,,,,
2020-10-20 13:00:00,0.0,-13.0,37.0,,,0.0,0.0,,,,
2020-10-20 14:00:00,-1.0,-14.9,34.0,,,0.0,0.0,,,,
2020-10-20 15:00:00,1.0,-15.1,29.0,,,0.0,0.0,,,,
2020-10-20 16:00:00,8.0,-5.8,37.0,,,0.0,0.0,,,,
2020-10-20 17:00:00,15.0,-9.9,17.0,,,0.0,0.0,,,,
2020-10-20 18:00:00,20.0,-11.4,11.0,,,60.0,7.6,,,,
2020-10-20 19:00:00,21.0,-10.6,11.0,,,60.0,11.2,,,,
2020-10-20 20:00:00,21.0,-7.5,14.0,,,60.0,18.4,,,,
2020-10-20 21:00:00,21.0,-7.5,14.0,,,70.0,14.8,,,,
2020-10-20 22:00:00,21.0,-6.6,15.0,,,90.0,9.4,,,,
2020-10-20 23:00:00,21.0,-6.6,15.0,,,0.0,0.0,,,,
2020-10-21 00:00:00,21.0,-6.6,15.0,,,60.0,7.6,,,,
2020-10-21 01:00:00,18.0,-6.0,19.0,,,0.0,0.0,,,,
2020-10-21 02:00:00,13.0,-6.1,26.0,,,0.0,0.0,,,,
2020-10-21 03:00:00,8.0,-6.9,34.0,,,0.0,0.0,,,,
2020-10-21 04:00:00,7.0,-7.1,36.0,,,0.0,0.0,,,,
2020-10-21 05:00:00,5.0,-7.8,39.0,,,0.0,0.0,,,,
2020-10-21 06:00:00,3.0,-9.0,41.0,,,0.0,0.0,,,,
2020-10-21 07:00:00,2.0,-10.9,38.0,,,0.0,0.0,,,,
2020-10-21 08:00:00,2.0,-11.9,35.0,,,0.0,0.0,,,,
2020-10-21 09:00:00,1.0,-11.1,40.0,,,0.0,0.0,,,,
2020-10-21 10:00:00,0.0,-11.1,43.0,,,0.0,0.0,,,,
2020-10-21 11:00:00,0.0,-10.0,47.0,,,0.0,0.0,,,,
2020-10-21 12:00:00,0.0,-10.0,47.0,,,0.0,0.0,,,,
2020-10-21 13:00:00,0.0,-10.0,47.0,,,0.0,0.0,,,,
2020-10-21 14:00:00,-1.0,-8.0,59.0,,,0.0,0.0,,,,
2020-10-21 15:00:00,1.0,-8.0,51.0,,,0.0,0.0,,,,
2020-10-21 16:00:00,8.0,-3.8,43.0,,,0.0,0.0,,,,
2020-10-21 17:00:00,15.0,-7.2,21.0,,,0.0,0.0,,,,
2020-10-21 18:00:00,20.0,-12.6,10.0,,,260.0,9.4,,,,
2020-10-21 19:00:00,21.0,-13.1,9.0,,,250.0,7.6,,,,
2020-10-21 20:00:00,21.0,-9.5,12.0,,,260.0,18.4,,,,
2020-10-21 21:00:00,21.0,-7.5,14.0,,,270.0,18.4,,,,
2020-10-21 22:00:00,21.0,-8.5,13.0,,,260.0,16.6,,,,
2020-10-21 23:00:00,21.0,-11.8,10.0,,,270.0,16.6,,,,
2020-10-22 00:00:00,19.0,-8.2,15.0,,,270.0,16.6,,,,
2020-10-22 01:00:00,16.0,-7.0,20.0,,,0.0,0.0,,,,
2020-10-22 02:00:00,11.0,-8.8,24.0,,,0.0,0.0,,,,
2020-10-22 03:00:00,8.0,-9.9,27.0,,,0.0,0.0,,,,
2020-10-22 04:00:00,6.0,-9.9,31.0,,,0.0,0.0,,,,
2020-10-22 05:00:00,5.0,-10.0,33.0,,,0.0,0.0,,,,
2020-10-22 06:00:00,4.0,-9.1,38.0,,,0.0,0.0,,,,
2020-10-22 07:00:00,3.0,-9.0,41.0,,,0.0,0.0,,,,
2020-10-22 08:00:00,3.0,-8.1,44.0,,,0.0,0.0,,,,
2020-10-22 09:00:00,3.0,-8.1,44.0,,,0.0,0.0,,,,
2020-10-22 10:00:00,2.0,-7.9,48.0,,,0.0,0.0,,,,
2020-10-22 11:00:00,0.0,-8.9,51.0,,,,,,,,
2020-10-22 12:00:00,0.0,-8.9,51.0,,,,,,,,
2020-10-22 13:00:00,0.0,-10.0,47.0,,,,,,,,
2020-10-22 14:00:00,0.0,-10.0,47.0,,,,,,,,
2020-10-22 15:00:00,9.0,-2.9,43.0,,,,,,,,
2020-10-22 16:00:00,13.0,-5.1,28.0,,,,,,,,
2020-10-22 17:00:00,20.0,-16.9,7.0,,,,,,,,
