time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-24 19:00:00,26.1,-5.5,12.0,0.0,,20.0,31.7,,1020.8,,
2019-10-24 20:00:00,27.8,-5.4,11.0,0.0,,10.0,27.7,,1020.3,,
2019-10-24 21:00:00,28.9,-3.4,12.0,0.0,,350.0,24.1,,1019.2,,
2019-10-24 22:00:00,30.0,-3.7,11.0,0.0,,360.0,22.3,,1018.5,,
2019-10-24 23:00:00,30.6,-4.5,10.0,0.0,,360.0,18.4,,1018.2,,
2019-10-25 00:00:00,31.1,-4.1,10.0,0.0,,350.0,20.5,,1017.6,,
2019-10-25 01:00:00,29.4,-3.0,12.0,0.0,,330.0,7.6,,1017.2,,
2019-10-25 02:00:00,26.1,-2.6,15.0,0.0,,310.0,9.4,,1017.4,,
2019-10-25 03:00:00,23.9,-1.9,18.0,0.0,,310.0,9.4,,1017.8,,
2019-10-25 04:00:00,21.1,-1.5,22.0,,,50.0,5.4,,1018.2,,
2019-10-25 05:00:00,17.8,-1.0,28.0,,,,0.0,,1018.7,,
2019-10-25 06:00:00,15.0,-1.2,33.0,0.0,,,0.0,,1019.1,,
2019-10-25 07:00:00,13.9,-0.9,36.0,,,,0.0,,1019.3,,
2019-10-25 08:00:00,13.3,-1.1,37.0,,,,0.0,,1019.2,,
2019-10-25 09:00:00,11.7,-1.1,41.0,0.0,,,0.0,,1019.3,,
2019-10-25 10:00:00,11.7,-1.8,39.0,0.0,,,0.0,,1019.4,,
2019-10-25 11:00:00,9.4,-1.1,48.0,0.0,,,0.0,,1019.2,,
2019-10-25 12:00:00,8.9,-1.0,50.0,0.0,,,0.0,,1019.4,,
2019-10-25 13:00:00,8.9,-1.0,50.0,0.0,,,0.0,,1019.6,,
2019-10-25 14:00:00,8.3,-1.0,52.0,0.0,,,0.0,,1020.1,,
2019-10-25 15:00:00,8.9,-1.0,50.0,0.0,,,0.0,,1020.1,,
2019-10-25 16:00:00,13.9,0.5,40.0,0.0,,,0.0,,1020.3,,
2019-10-25 17:00:00,20.0,1.9,30.0,0.0,,,0.0,,1020.4,,
2019-10-25 18:00:00,24.4,-1.5,18.0,0.0,,,0.0,,1019.6,,
2019-10-25 19:00:00,27.8,-3.1,13.0,0.0,,,0.0,,1018.8,,
2019-10-25 20:00:00,29.4,-4.1,11.0,0.0,,,0.0,,1018.0,,
2019-10-25 21:00:00,31.1,-4.1,10.0,0.0,,,0.0,,1017.0,,
2019-10-25 22:00:00,31.1,-5.5,9.0,0.0,,160.0,7.6,,1016.1,,
2019-10-25 23:00:00,31.1,-1.7,12.0,0.0,,160.0,9.4,,1015.7,,
2019-10-26 00:00:00,30.6,-3.2,11.0,0.0,,170.0,11.2,,1015.3,,
2019-10-26 01:00:00,28.3,-1.8,14.0,0.0,,210.0,5.4,,1014.9,,
2019-10-26 02:00:00,23.9,-1.1,19.0,0.0,,,0.0,,1014.8,,
2019-10-26 03:00:00,19.4,-0.6,26.0,,,10.0,9.4,,1015.3,,
2019-10-26 04:00:00,16.7,-0.5,31.0,,,,0.0,,1015.6,,
2019-10-26 05:00:00,15.6,0.6,36.0,0.0,,,0.0,,1015.3,,
2019-10-26 06:00:00,13.3,0.6,42.0,0.0,,,0.0,,1015.4,,
2019-10-26 07:00:00,12.8,1.2,45.0,,,,0.0,,1015.3,,
2019-10-26 08:00:00,11.7,1.6,50.0,,,,0.0,,1014.8,,
2019-10-26 09:00:00,11.7,1.6,50.0,0.0,,330.0,5.4,,1014.6,,
2019-10-26 10:00:00,10.0,0.6,52.0,0.0,,50.0,7.6,,1014.4,,
2019-10-26 11:00:00,10.0,2.1,58.0,,,,0.0,,1013.5,,
2019-10-26 12:00:00,8.9,1.1,58.0,,,,0.0,,1013.4,,
2019-10-26 13:00:00,8.9,1.1,58.0,0.0,,,0.0,,1013.1,,
2019-10-26 14:00:00,7.8,1.2,63.0,0.0,,300.0,7.6,,1012.9,,
2019-10-26 15:00:00,17.8,5.7,45.0,0.0,,340.0,13.0,,1012.8,,5.0
2019-10-26 16:00:00,20.6,6.2,39.0,0.0,,350.0,18.4,,1012.9,,
2019-10-26 17:00:00,21.7,6.0,36.0,0.0,,350.0,18.4,,1012.8,,
2019-10-26 18:00:00,23.3,5.7,32.0,0.0,,360.0,24.1,,1012.1,,
2019-10-26 19:00:00,25.0,5.2,28.0,0.0,,360.0,33.5,,1011.2,,
2019-10-26 20:00:00,25.6,5.2,27.0,0.0,,360.0,37.1,,1010.6,,
2019-10-26 21:00:00,26.7,3.9,23.0,0.0,,10.0,29.5,,1009.8,,
2019-10-26 22:00:00,27.2,3.0,21.0,0.0,,50.0,24.1,,1008.6,,
2019-10-26 23:00:00,27.2,1.6,19.0,0.0,,10.0,13.0,,1007.7,,
2019-10-27 00:00:00,27.2,-0.8,16.0,0.0,,20.0,24.1,,1007.2,,
2019-10-27 01:00:00,25.0,-8.8,10.0,0.0,,20.0,24.1,,1007.0,,
2019-10-27 02:00:00,22.8,-13.2,8.0,0.0,,360.0,16.6,,1007.1,,
2019-10-27 03:00:00,21.7,-12.6,9.0,0.0,,10.0,29.5,,1007.6,,
2019-10-27 04:00:00,20.0,-10.3,12.0,0.0,,10.0,38.9,,1008.9,,
2019-10-27 05:00:00,18.3,-6.5,18.0,0.0,,10.0,50.0,,1011.3,,
2019-10-27 06:00:00,16.1,-7.6,19.0,,,30.0,38.9,,1014.5,,
2019-10-27 07:00:00,15.0,-7.2,21.0,0.0,,20.0,31.7,,1015.5,,
2019-10-27 08:00:00,14.4,-9.0,19.0,,,20.0,64.8,,1015.9,,
2019-10-27 09:00:00,13.3,-8.6,21.0,0.0,,30.0,50.0,,1017.4,,
2019-10-27 10:00:00,12.2,-7.3,25.0,0.0,,30.0,46.4,,1018.4,,
2019-10-27 11:00:00,12.2,-6.8,26.0,0.0,,10.0,38.9,,1018.1,,
2019-10-27 12:00:00,11.7,-6.2,28.0,0.0,,10.0,31.7,,1018.3,,
2019-10-27 13:00:00,11.7,-6.2,28.0,0.0,,20.0,46.4,,1018.6,,
2019-10-27 14:00:00,11.1,-6.3,29.0,0.0,,10.0,27.7,,1019.1,,
2019-10-27 15:00:00,11.1,-6.3,29.0,0.0,,10.0,29.5,,1019.3,,
2019-10-27 16:00:00,12.2,-5.8,28.0,0.0,,20.0,38.9,,1019.4,,
2019-10-27 17:00:00,13.3,-5.8,26.0,0.0,,20.0,48.2,,1020.0,,
2019-10-27 18:00:00,13.9,-6.4,24.0,0.0,,20.0,55.4,,1019.9,,
2019-10-27 19:00:00,15.6,-6.1,22.0,0.0,,20.0,53.6,,1020.1,,
2019-10-27 20:00:00,16.7,-6.4,20.0,0.0,,350.0,38.9,,1019.4,,
2019-10-27 21:00:00,18.3,-8.0,16.0,0.0,,20.0,40.7,,1018.2,,
2019-10-27 22:00:00,18.9,-9.2,14.0,0.0,,20.0,35.3,,1017.7,,
2019-10-27 23:00:00,19.4,-9.8,13.0,0.0,,30.0,40.7,,1017.3,,
