time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2021-10-09 07:00:00,16.1,7.8,58.0,0.0,,0.0,0.0,,1019.5,,
2021-10-09 08:00:00,16.1,6.8,54.0,0.0,,150.0,9.4,,1019.7,,
2021-10-09 09:00:00,15.6,7.1,57.0,0.0,,0.0,0.0,,1019.9,,
2021-10-09 10:00:00,15.6,8.3,62.0,0.0,,30.0,5.4,,1020.6,,
2021-10-09 11:00:00,15.0,5.5,53.0,0.0,,30.0,5.4,,1020.8,,
2021-10-09 12:00:00,14.4,6.0,57.0,0.0,,240.0,5.4,,1021.1,,
2021-10-09 13:00:00,13.3,6.2,62.0,0.0,,0.0,0.0,,1022.0,,
2021-10-09 14:00:00,11.7,6.2,69.0,0.0,,0.0,0.0,,1022.5,,
2021-10-09 15:00:00,10.6,6.7,77.0,0.0,,0.0,0.0,,1023.0,,
2021-10-09 16:00:00,13.9,6.0,59.0,0.0,,0.0,0.0,,1023.4,,
2021-10-09 17:00:00,16.1,6.2,52.0,0.0,,0.0,0.0,,1023.4,,
2021-10-09 18:00:00,18.9,6.0,43.0,0.0,,250.0,5.4,,1023.0,,
2021-10-09 19:00:00,20.0,4.5,36.0,0.0,,250.0,11.2,,1022.5,,
2021-10-09 20:00:00,22.2,5.2,33.0,0.0,,0.0,0.0,,1021.7,,
2021-10-09 21:00:00,23.3,3.2,27.0,0.0,,0.0,0.0,,1020.6,,
2021-10-09 22:00:00,25.0,2.4,23.0,0.0,,40.0,11.2,,1019.8,,
2021-10-09 23:00:00,25.0,0.5,20.0,0.0,,10.0,9.4,,1019.2,,
2021-10-10 00:00:00,26.1,-0.9,17.0,0.0,,10.0,5.4,,1018.7,,
2021-10-10 01:00:00,25.6,-1.3,17.0,0.0,,270.0,5.4,,1018.1,,
2021-10-10 02:00:00,20.6,1.9,29.0,0.0,,270.0,5.4,,1018.2,,
2021-10-10 03:00:00,17.8,2.1,35.0,0.0,,0.0,0.0,,1018.4,,
2021-10-10 04:00:00,16.1,0.6,35.0,0.0,,0.0,0.0,,1019.0,,
2021-10-10 05:00:00,15.0,1.8,41.0,0.0,,0.0,0.0,,1019.5,,
2021-10-10 06:00:00,13.9,2.2,45.0,0.0,,0.0,0.0,,1019.6,,
2021-10-10 07:00:00,11.7,2.2,52.0,0.0,,0.0,0.0,,1019.8,,
2021-10-10 08:00:00,12.2,1.8,49.0,0.0,,0.0,0.0,,1019.7,,
2021-10-10 09:00:00,10.0,2.1,58.0,0.0,,0.0,0.0,,1019.8,,
2021-10-10 10:00:00,10.0,3.3,63.0,0.0,,20.0,5.4,,1019.5,,
2021-10-10 11:00:00,8.3,1.2,61.0,0.0,,0.0,0.0,,1019.4,,
2021-10-10 12:00:00,8.9,1.8,61.0,0.0,,0.0,0.0,,1019.0,,
2021-10-10 13:00:00,7.8,1.2,63.0,0.0,,0.0,0.0,,1019.3,,
2021-10-10 14:00:00,7.8,2.3,68.0,0.0,,0.0,0.0,,1019.2,,
2021-10-10 15:00:00,8.3,1.7,63.0,0.0,,0.0,0.0,,1019.4,,
2021-10-10 16:00:00,12.8,2.9,51.0,0.0,,0.0,0.0,,1019.4,,
2021-10-10 17:00:00,20.0,3.2,33.0,0.0,,320.0,7.6,,1018.9,,
2021-10-10 18:00:00,23.3,1.6,24.0,0.0,,337.0,11.2,,1018.3,,
2021-10-10 19:00:00,25.0,1.8,22.0,0.0,,337.0,11.2,,1017.8,,
2021-10-10 20:00:00,26.7,1.2,19.0,0.0,,338.0,11.2,,1017.0,,
2021-10-10 21:00:00,27.8,2.1,19.0,0.0,,0.0,0.0,,1015.0,,
2021-10-10 22:00:00,28.3,2.5,19.0,0.0,,240.0,9.4,,1013.9,,
2021-10-10 23:00:00,28.9,2.2,18.0,0.0,,0.0,0.0,,1012.5,,
2021-10-11 00:00:00,28.3,2.5,19.0,0.0,,200.0,13.0,,1011.9,,
2021-10-11 01:00:00,27.2,-3.6,13.0,0.0,,290.0,5.4,,1011.5,,
2021-10-11 02:00:00,23.3,-0.9,20.0,0.0,,290.0,13.0,,1011.7,,
2021-10-11 03:00:00,22.2,-1.8,20.0,0.0,,300.0,13.0,,1012.4,,
2021-10-11 04:00:00,20.0,-0.1,26.0,0.0,,290.0,22.3,,1013.1,,
2021-10-11 05:00:00,18.3,1.7,33.0,0.0,,320.0,27.7,,1014.2,,
2021-10-11 06:00:00,16.7,2.3,38.0,0.0,,320.0,18.4,,1015.0,,
2021-10-11 07:00:00,16.1,2.8,41.0,0.0,,300.0,14.8,,1015.7,,
2021-10-11 08:00:00,16.1,-2.9,27.0,0.0,,360.0,27.7,,1016.1,,
2021-10-11 09:00:00,15.0,-4.4,26.0,0.0,,340.0,14.8,,1016.7,,
2021-10-11 10:00:00,14.4,-3.4,29.0,0.0,,350.0,20.5,,1016.8,,
2021-10-11 11:00:00,13.9,-3.4,30.0,0.0,,10.0,18.4,,1016.9,,
2021-10-11 12:00:00,12.8,-3.1,33.0,0.0,,360.0,14.8,,1017.3,,
2021-10-11 13:00:00,12.2,-3.2,34.0,0.0,,350.0,11.2,,1017.6,,
2021-10-11 14:00:00,11.1,-3.4,36.0,0.0,,360.0,14.8,,1018.0,,
2021-10-11 15:00:00,11.7,-2.9,36.0,0.0,,360.0,13.0,,1018.1,,
2021-10-11 16:00:00,13.9,-3.0,31.0,0.0,,20.0,14.8,,1018.4,,
2021-10-11 17:00:00,15.6,-3.9,26.0,0.0,,10.0,24.1,,1018.1,,
2021-10-11 18:00:00,16.7,-4.0,24.0,0.0,,360.0,25.9,,1018.0,,
2021-10-11 19:00:00,17.2,-5.3,21.0,0.0,,350.0,27.7,,1017.5,,
2021-10-11 20:00:00,17.8,-6.2,19.0,0.0,,10.0,35.3,,1017.0,,
2021-10-11 21:00:00,18.3,-6.5,18.0,0.0,,350.0,29.5,,1016.3,,
2021-10-11 22:00:00,18.3,-8.0,16.0,0.0,,340.0,29.5,,1015.6,,
2021-10-11 23:00:00,18.9,-10.2,13.0,0.0,,360.0,38.9,,1015.5,,
