time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2020-09-05 22:00:00,35.0,7.9,19.0,,,260.0,11.2,,,,
2020-09-05 23:00:00,34.0,9.3,22.0,,,,7.6,,,,
2020-09-06 00:00:00,33.0,9.1,23.0,,,250.0,7.6,,,,
2020-09-06 01:00:00,32.0,8.9,24.0,,,0.0,0.0,,,,
2020-09-06 02:00:00,30.0,10.0,29.0,,,0.0,0.0,,,,
2020-09-06 03:00:00,28.0,11.1,35.0,,,110.0,5.4,,,,
2020-09-06 04:00:00,29.0,11.1,33.0,,,80.0,9.4,,,,
2020-09-06 05:00:00,29.0,9.2,29.0,,,110.0,9.4,,,,
2020-09-06 06:00:00,30.0,7.8,25.0,,,120.0,7.6,,,,
2020-09-06 07:00:00,29.0,8.1,27.0,,,100.0,9.4,,,,
2020-09-06 08:00:00,31.0,6.1,21.0,,,100.0,9.4,,,,
2020-09-06 09:00:00,29.0,5.8,23.0,,,80.0,9.4,,,,
2020-09-06 10:00:00,30.0,3.1,18.0,,,100.0,9.4,,,,
2020-09-06 11:00:00,30.0,2.3,17.0,,,100.0,9.4,,,,
2020-09-06 12:00:00,29.0,0.6,16.0,,,100.0,7.6,,,,
2020-09-06 13:00:00,30.0,1.4,16.0,,,100.0,11.2,,,,
2020-09-06 14:00:00,29.0,0.6,16.0,,,100.0,11.2,,,,
2020-09-06 15:00:00,29.0,3.0,19.0,,,110.0,7.6,,,,
2020-09-06 16:00:00,32.0,2.1,15.0,,,100.0,11.2,,,,
2020-09-06 17:00:00,34.0,2.7,14.0,,,110.0,7.6,,,,
2020-09-06 18:00:00,34.0,3.7,15.0,,,110.0,5.4,,,,
2020-09-06 19:00:00,34.0,4.6,16.0,,,0.0,0.0,,,,
2020-09-06 20:00:00,34.0,2.7,14.0,,,0.0,0.0,,,,
2020-09-06 21:00:00,35.0,10.1,22.0,,,0.0,0.0,,,,
2020-09-06 22:00:00,36.0,8.8,19.0,,,,7.6,,,,
2020-09-06 23:00:00,36.0,8.8,19.0,,,320.0,5.4,,,,
2020-09-07 00:00:00,36.0,7.1,17.0,,,320.0,5.4,,,,
2020-09-07 01:00:00,36.0,6.2,16.0,,,0.0,0.0,,,,
2020-09-07 02:00:00,34.0,9.3,22.0,,,0.0,0.0,,,,
2020-09-07 03:00:00,30.0,7.8,25.0,,,40.0,5.4,,,,
2020-09-07 04:00:00,29.0,5.1,22.0,,,40.0,5.4,,,,
2020-09-07 05:00:00,29.0,3.8,20.0,,,40.0,7.6,,,,
2020-09-07 06:00:00,30.0,5.3,21.0,,,0.0,0.0,,,,
2020-09-07 07:00:00,30.0,5.3,21.0,,,90.0,5.4,,,,
2020-09-07 08:00:00,30.0,3.9,19.0,,,100.0,5.4,,,,
2020-09-07 09:00:00,29.0,5.1,22.0,,,0.0,0.0,,,,
2020-09-07 10:00:00,28.0,4.9,23.0,,,0.0,0.0,,,,
2020-09-07 11:00:00,28.0,4.9,23.0,,,50.0,7.6,,,,
2020-09-07 12:00:00,28.0,4.9,23.0,,,40.0,7.6,,,,
2020-09-07 13:00:00,28.0,4.9,23.0,,,40.0,7.6,,,,
2020-09-07 14:00:00,28.0,6.1,25.0,,,40.0,7.6,,,,
2020-09-07 15:00:00,29.0,7.0,25.0,,,0.0,0.0,,,,
2020-09-07 16:00:00,30.0,7.8,25.0,,,0.0,0.0,,,,
2020-09-07 17:00:00,31.0,8.1,24.0,,,0.0,0.0,,,,
2020-09-07 18:00:00,32.0,8.9,24.0,,,0.0,0.0,,,,
2020-09-07 19:00:00,33.0,4.7,17.0,,,0.0,0.0,,,,
2020-09-07 20:00:00,34.0,4.6,16.0,,,0.0,0.0,,,,
2020-09-07 21:00:00,35.0,5.4,16.0,,,280.0,5.4,,,,
2020-09-07 22:00:00,36.0,5.3,15.0,,,270.0,13.0,,,,
2020-09-07 23:00:00,36.0,3.3,13.0,,,300.0,13.0,,,,
2020-09-08 00:00:00,35.0,4.5,15.0,,,280.0,13.0,,,,
2020-09-08 01:00:00,34.0,4.6,16.0,,,0.0,0.0,,,,
2020-09-08 02:00:00,31.0,8.1,24.0,,,0.0,0.0,,,,
2020-09-08 03:00:00,29.0,7.0,25.0,,,0.0,0.0,,,,
2020-09-08 04:00:00,28.0,7.3,27.0,,,90.0,11.2,,,,
2020-09-08 05:00:00,29.0,7.0,25.0,,,120.0,5.4,,,,
2020-09-08 06:00:00,28.0,6.1,25.0,,,0.0,0.0,,,,
2020-09-08 07:00:00,27.0,5.9,26.0,,,80.0,5.4,,,,
2020-09-08 08:00:00,26.0,6.1,28.0,,,0.0,0.0,,,,
2020-09-08 09:00:00,27.0,5.3,25.0,,,60.0,9.4,,,,
2020-09-08 10:00:00,28.0,2.9,20.0,,,60.0,14.8,,,,
2020-09-08 11:00:00,27.0,2.1,20.0,,,,11.2,,,,
2020-09-08 12:00:00,25.0,1.8,22.0,,,60.0,13.0,,,,
2020-09-08 13:00:00,24.0,-1.1,19.0,,,60.0,14.8,,,,
2020-09-08 14:00:00,23.0,-4.2,16.0,,,70.0,11.2,,,,
2020-09-08 15:00:00,23.0,-8.0,12.0,,,80.0,16.6,,,,
2020-09-08 16:00:00,24.0,-8.3,11.0,,,70.0,18.4,,,,
2020-09-08 17:00:00,26.0,-9.3,9.0,,,90.0,14.8,,,,
2020-09-08 18:00:00,28.0,-9.3,8.0,,,40.0,11.2,,,,
2020-09-08 19:00:00,30.0,-16.5,4.0,,,90.0,22.3,,,,
2020-09-08 20:00:00,30.0,-16.5,4.0,,,60.0,22.3,,,,
2020-09-08 21:00:00,30.0,-13.8,5.0,,,100.0,16.6,,,,
2020-09-08 22:00:00,30.0,-16.5,4.0,,,90.0,18.4,,,,
2020-09-08 23:00:00,28.0,-13.0,6.0,,,50.0,9.4,,,,
2020-09-09 00:00:00,28.0,-13.0,6.0,,,,7.6,,,,
2020-09-09 01:00:00,28.0,-11.0,7.0,,,60.0,16.6,,,,
2020-09-09 02:00:00,26.0,-10.8,8.0,,,60.0,11.2,,,,
2020-09-09 03:00:00,25.0,-11.6,8.0,,,70.0,25.9,,,,
2020-09-09 04:00:00,24.0,-15.8,6.0,,,80.0,27.7,,,,
2020-09-09 05:00:00,24.0,-18.0,5.0,,,90.0,22.3,,,,
2020-09-09 06:00:00,23.0,-16.6,6.0,,,90.0,27.7,,,,
2020-09-09 07:00:00,23.0,-14.7,7.0,,,90.0,20.5,,,,
2020-09-09 08:00:00,23.0,-14.7,7.0,,,100.0,18.4,,,,
2020-09-09 09:00:00,23.0,-13.1,8.0,,,100.0,14.8,,,,
2020-09-09 10:00:00,23.0,-11.6,9.0,,,100.0,14.8,,,,
2020-09-09 11:00:00,22.0,-11.1,10.0,,,110.0,13.0,,,,
