time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2020-09-05 21:00:00,36.0,10.9,22.0,0.0,,0.0,0.0,,1013.2,,
2020-09-05 22:00:00,39.0,8.6,16.0,0.0,,200.0,7.6,,1012.5,,
2020-09-05 23:00:00,37.0,8.8,18.0,0.0,,230.0,9.4,,1011.8,,
2020-09-06 00:00:00,37.0,8.8,18.0,0.0,,270.0,16.6,,1011.4,,
2020-09-06 01:00:00,34.0,9.3,22.0,0.0,,130.0,7.6,,1011.0,,
2020-09-06 02:00:00,31.0,8.1,24.0,0.0,,20.0,7.6,,1011.0,,
2020-09-06 03:00:00,27.0,6.9,28.0,0.0,,0.0,0.0,,1011.6,,
2020-09-06 04:00:00,25.0,7.2,32.0,0.0,,0.0,0.0,,1012.0,,
2020-09-06 05:00:00,22.0,8.8,43.0,0.0,,0.0,0.0,,1012.2,,
2020-09-06 06:00:00,21.0,9.9,49.0,0.0,,0.0,0.0,,1012.5,,
2020-09-06 07:00:00,19.0,11.1,60.0,0.0,,0.0,0.0,,1012.5,,
2020-09-06 08:00:00,20.0,9.0,49.0,0.0,,290.0,7.6,,1012.9,,
2020-09-06 09:00:00,19.0,8.9,52.0,0.0,,0.0,0.0,,1012.7,,
2020-09-06 10:00:00,17.0,9.9,63.0,0.0,,0.0,0.0,,1012.9,,
2020-09-06 11:00:00,18.0,10.1,60.0,0.0,,0.0,0.0,,1012.7,,
2020-09-06 12:00:00,18.0,10.1,60.0,0.0,,0.0,0.0,,1012.7,,
2020-09-06 13:00:00,16.0,10.1,68.0,0.0,,0.0,0.0,,1013.1,,
2020-09-06 14:00:00,17.0,9.9,63.0,0.0,,0.0,0.0,,1013.5,,5.0
2020-09-06 15:00:00,20.0,11.0,56.0,0.0,,0.0,0.0,,1013.9,,5.0
2020-09-06 16:00:00,24.0,11.0,44.0,0.0,,280.0,5.4,,1013.9,,5.0
2020-09-06 17:00:00,29.0,11.1,33.0,0.0,,290.0,7.6,,1014.1,,5.0
2020-09-06 18:00:00,33.0,9.8,24.0,0.0,,0.0,0.0,,1014.1,,5.0
2020-09-06 19:00:00,37.0,8.8,18.0,0.0,,0.0,0.0,,1013.8,,5.0
2020-09-06 20:00:00,38.0,11.2,20.0,0.0,,0.0,0.0,,1013.0,,5.0
2020-09-06 21:00:00,42.0,11.0,16.0,0.0,,270.0,9.4,,1012.3,,5.0
2020-09-06 22:00:00,42.0,6.8,12.0,0.0,,280.0,20.5,,1011.7,,5.0
2020-09-06 23:00:00,41.0,6.0,12.0,0.0,,280.0,24.1,,1010.8,,5.0
2020-09-07 00:00:00,40.0,4.0,11.0,0.0,,260.0,18.4,,1010.3,,
2020-09-07 01:00:00,37.0,4.0,13.0,0.0,,270.0,13.0,,1010.1,,
2020-09-07 02:00:00,33.0,2.9,15.0,0.0,,20.0,5.4,,1009.9,,
2020-09-07 03:00:00,29.0,3.8,20.0,0.0,,330.0,7.6,,1009.9,,
2020-09-07 04:00:00,27.0,5.3,25.0,0.0,,330.0,5.4,,1010.4,,
2020-09-07 05:00:00,25.0,7.2,32.0,0.0,,0.0,0.0,,1010.4,,
2020-09-07 06:00:00,23.0,7.9,38.0,0.0,,0.0,0.0,,1010.4,,
2020-09-07 07:00:00,21.0,11.1,53.0,0.0,,0.0,0.0,,1010.4,,
2020-09-07 08:00:00,23.0,7.9,38.0,0.0,,0.0,0.0,,1010.2,,
2020-09-07 09:00:00,21.0,7.9,43.0,0.0,,0.0,0.0,,1009.8,,
2020-09-07 10:00:00,21.0,8.9,46.0,0.0,,0.0,0.0,,1009.8,,
2020-09-07 11:00:00,19.0,8.0,49.0,0.0,,0.0,0.0,,1009.7,,
2020-09-07 12:00:00,19.0,8.9,52.0,0.0,,280.0,5.4,,1009.6,,
2020-09-07 13:00:00,18.0,9.1,56.0,0.0,,0.0,0.0,,1009.5,,
2020-09-07 14:00:00,17.0,8.9,59.0,0.0,,0.0,0.0,,1009.6,,
2020-09-07 15:00:00,20.0,10.1,53.0,0.0,,290.0,5.4,,1009.6,,
2020-09-07 16:00:00,24.0,11.0,44.0,0.0,,0.0,0.0,,1009.4,,
2020-09-07 17:00:00,28.0,10.2,33.0,0.0,,270.0,7.6,,1009.4,,
2020-09-07 18:00:00,32.0,10.1,26.0,0.0,,0.0,5.4,,1009.1,,5.0
2020-09-07 19:00:00,38.0,8.7,17.0,0.0,,260.0,11.2,,1008.4,,5.0
2020-09-07 20:00:00,41.0,10.2,16.0,0.0,,290.0,13.0,,1007.4,,5.0
2020-09-07 21:00:00,41.0,9.3,15.0,0.0,,290.0,13.0,,1006.4,,
2020-09-07 22:00:00,37.0,8.8,18.0,0.0,,270.0,22.3,,1005.4,,
2020-09-07 23:00:00,36.0,6.2,16.0,0.0,,310.0,13.0,,1004.7,,
2020-09-08 00:00:00,34.0,4.6,16.0,0.0,,270.0,22.3,,1003.9,,
2020-09-08 01:00:00,32.0,6.9,21.0,0.0,,290.0,11.2,,1003.3,,
2020-09-08 02:00:00,30.0,7.2,24.0,0.0,,280.0,18.4,,1003.2,,
2020-09-08 03:00:00,25.0,8.1,34.0,0.0,,320.0,11.2,,1003.4,,
2020-09-08 04:00:00,23.0,9.0,41.0,0.0,,320.0,7.6,,1003.8,,
2020-09-08 05:00:00,20.0,10.1,53.0,0.0,,30.0,7.6,,1003.8,,
2020-09-08 06:00:00,19.0,11.1,60.0,0.0,,340.0,7.6,,1004.0,,
2020-09-08 07:00:00,17.0,11.9,72.0,0.0,,360.0,7.6,,1003.9,,
2020-09-08 08:00:00,16.0,12.0,77.0,0.0,,340.0,5.4,,1003.8,,
2020-09-08 09:00:00,15.0,12.0,82.0,0.0,,310.0,7.6,,1003.5,,
2020-09-08 10:00:00,15.0,12.0,82.0,0.0,,0.0,0.0,,1003.8,,
2020-09-08 11:00:00,14.0,12.0,88.0,0.0,,0.0,7.6,,1003.9,,
2020-09-08 12:00:00,14.0,12.0,88.0,0.0,,0.0,0.0,,1003.8,,
2020-09-08 13:00:00,14.0,12.0,88.0,0.0,,0.0,7.6,,1004.0,,
2020-09-08 14:00:00,13.0,12.1,94.0,0.0,,0.0,0.0,,1004.4,,
2020-09-08 15:00:00,14.0,12.0,88.0,0.0,,0.0,0.0,,1004.8,,
2020-09-08 16:00:00,15.0,12.0,82.0,0.0,,290.0,7.6,,1005.1,,
2020-09-08 17:00:00,16.0,12.0,77.0,0.0,,0.0,0.0,,1005.7,,
2020-09-08 18:00:00,19.0,13.0,68.0,0.0,,0.0,0.0,,1005.5,,
2020-09-08 19:00:00,23.0,12.9,53.0,0.0,,210.0,7.6,,1004.7,,
2020-09-08 20:00:00,27.0,11.9,39.0,0.0,,290.0,7.6,,1004.3,,
2020-09-08 21:00:00,30.0,12.0,33.0,0.0,,360.0,5.4,,1003.5,,
2020-09-08 22:00:00,30.0,11.0,31.0,0.0,,270.0,14.8,,1002.7,,
2020-09-08 23:00:00,26.0,11.0,39.0,0.0,,290.0,11.2,,1002.3,,
2020-09-09 00:00:00,21.0,12.9,60.0,0.0,,300.0,7.6,,1002.2,,
2020-09-09 01:00:00,18.0,14.1,78.0,0.0,,360.0,5.4,,1002.2,,
2020-09-09 02:00:00,17.0,14.1,83.0,0.0,,310.0,7.6,,1002.6,,
2020-09-09 03:00:00,16.0,14.0,88.0,0.0,,310.0,5.4,,1002.9,,
2020-09-09 04:00:00,14.0,14.0,100.0,0.0,,0.0,0.0,,1003.6,,5.0
2020-09-09 05:00:00,14.0,14.0,100.0,0.0,,360.0,9.4,,1003.8,,5.0
2020-09-09 06:00:00,14.0,14.0,100.0,0.0,,0.0,11.2,,1004.3,,5.0
2020-09-09 07:00:00,14.0,14.0,100.0,0.0,,340.0,7.6,,1004.8,,5.0
