time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2020-10-23 16:00:00,0.6,-3.9,72.0,0.0,,180.0,7.6,,1019.9,,
2020-10-23 17:00:00,8.9,-1.8,47.0,0.0,,40.0,7.6,,1018.1,,
2020-10-23 18:00:00,11.7,0.8,47.0,0.0,,30.0,13.0,,1017.7,,
2020-10-23 19:00:00,13.9,0.5,40.0,0.0,,0.0,0.0,,1017.2,,
2020-10-23 20:00:00,16.1,1.8,38.0,0.0,,40.0,9.4,,1016.1,,
2020-10-23 21:00:00,17.8,1.7,34.0,0.0,,20.0,11.2,,1015.4,,
2020-10-23 22:00:00,17.8,0.0,30.0,0.0,,40.0,9.4,,1015.3,,
2020-10-23 23:00:00,18.3,-0.1,29.0,0.0,,0.0,0.0,,1015.2,,
2020-10-24 00:00:00,17.2,-1.0,29.0,0.0,,190.0,13.0,,1015.5,,
2020-10-24 01:00:00,14.4,0.6,39.0,0.0,,340.0,5.4,,1016.8,,
2020-10-24 02:00:00,12.8,1.8,47.0,0.0,,200.0,14.8,,1017.1,,
2020-10-24 03:00:00,8.9,1.1,58.0,0.0,,0.0,0.0,,1018.5,,
2020-10-24 04:00:00,6.7,-0.1,62.0,0.0,,200.0,5.4,,1018.5,,
2020-10-24 05:00:00,3.9,-1.7,67.0,0.0,,190.0,5.4,,1017.6,,
2020-10-24 06:00:00,2.8,-2.1,70.0,0.0,,190.0,5.4,,1018.0,,
2020-10-24 07:00:00,0.6,-3.3,75.0,0.0,,180.0,9.4,,1017.9,,
2020-10-24 08:00:00,0.0,-3.9,75.0,0.0,,190.0,7.6,,1017.3,,
2020-10-24 09:00:00,-1.1,-4.4,78.0,0.0,,190.0,9.4,,1017.1,,
2020-10-24 10:00:00,-1.7,-5.0,78.0,0.0,,0.0,0.0,,1016.5,,
2020-10-24 11:00:00,-1.1,-5.5,72.0,0.0,,200.0,5.4,,1016.0,,
2020-10-24 12:00:00,-1.7,-5.5,75.0,0.0,,190.0,7.6,,1016.6,,
2020-10-24 13:00:00,-2.2,-6.0,75.0,0.0,,190.0,5.4,,1017.3,,
2020-10-24 14:00:00,-2.8,-6.1,78.0,0.0,,180.0,11.2,,1017.5,,
2020-10-24 15:00:00,-1.1,-5.5,72.0,0.0,,180.0,7.6,,1017.6,,
2020-10-24 16:00:00,7.8,-3.4,45.0,0.0,,0.0,0.0,,1017.0,,
2020-10-24 17:00:00,13.9,-8.7,20.0,0.0,,190.0,20.5,,1016.3,,
2020-10-24 18:00:00,15.6,-8.7,18.0,0.0,,190.0,22.3,,1015.5,,
2020-10-24 19:00:00,16.7,-8.5,17.0,0.0,,310.0,11.2,,1015.4,,
2020-10-24 20:00:00,17.2,-7.4,18.0,0.0,,200.0,16.6,,1014.8,,
2020-10-24 21:00:00,17.2,-6.7,19.0,0.0,,200.0,25.9,,1013.8,,
2020-10-24 22:00:00,17.8,-5.5,20.0,0.0,,180.0,29.5,,1013.0,,
2020-10-24 23:00:00,16.7,-4.0,24.0,0.0,,210.0,14.8,,1013.2,,
2020-10-25 00:00:00,15.6,-0.6,33.0,0.0,,190.0,13.0,,1013.3,,
2020-10-25 01:00:00,13.3,1.0,43.0,0.0,,190.0,16.6,,1013.7,,
