time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-24 23:00:00,27.0,9.8,34.0,,,310.0,14.8,,1017.3,,
2019-10-25 00:00:00,24.0,8.0,36.0,,,320.0,9.4,,1016.9,,
2019-10-25 01:00:00,22.0,8.8,43.0,,,360.0,5.4,,1018.1,,
2019-10-25 02:00:00,20.0,4.9,37.0,,,130.0,11.2,,1018.3,,
2019-10-25 03:00:00,18.0,7.1,49.0,,,150.0,7.6,,1018.8,,
2019-10-25 04:00:00,15.0,10.0,72.0,,,140.0,13.0,,1019.2,,
2019-10-25 05:00:00,16.0,8.0,59.0,,,130.0,16.6,,1019.1,,
2019-10-25 06:00:00,14.0,9.0,72.0,,,150.0,14.8,,1018.9,,
2019-10-25 07:00:00,15.0,7.1,59.0,,,130.0,22.3,,1020.1,,
2019-10-25 08:00:00,14.0,6.1,59.0,,,140.0,20.5,,1020.1,,
2019-10-25 09:00:00,12.0,6.1,67.0,,,150.0,20.5,,1019.9,,
2019-10-25 10:00:00,13.0,3.9,54.0,,,140.0,20.5,,1020.1,,
2019-10-25 11:00:00,12.0,4.9,62.0,,,140.0,24.1,,1020.2,,
2019-10-25 12:00:00,12.0,4.0,58.0,,,140.0,22.3,,1019.7,,
2019-10-25 13:00:00,11.0,4.0,62.0,,,150.0,18.4,,1021.2,,
2019-10-25 14:00:00,12.0,4.0,58.0,,,140.0,20.5,,1021.4,,
2019-10-25 15:00:00,12.0,4.0,58.0,,,140.0,18.4,,1021.6,,
2019-10-25 16:00:00,12.0,4.9,62.0,,,140.0,16.6,,1021.8,,
2019-10-25 17:00:00,15.0,4.9,51.0,,,140.0,14.8,,1022.1,,
2019-10-25 18:00:00,19.0,7.1,46.0,,,160.0,9.4,,1021.6,,
2019-10-25 19:00:00,23.0,5.9,33.0,,,250.0,7.6,,1022.1,,
2019-10-25 20:00:00,19.0,10.0,56.0,,,290.0,14.8,,1021.7,,
2019-10-25 21:00:00,18.5,8.7,53.0,,,308.0,9.3,,1020.7,,
2019-10-25 22:00:00,18.0,10.1,60.0,,,300.0,25.9,,1020.4,,
2019-10-25 23:00:00,17.0,9.9,63.0,,,290.0,25.9,,1020.0,,
2019-10-26 00:00:00,16.0,10.1,68.0,,,300.0,20.5,,1020.1,,
