time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-24 18:00:00,22.2,0.1,23.0,0.0,,320.0,13.0,,1018.7,,1.0
2019-10-24 19:00:00,24.4,0.7,21.0,0.0,,300.0,7.6,,1018.6,,1.0
2019-10-24 20:00:00,27.2,0.8,18.0,0.0,,290.0,9.4,,1017.9,,1.0
2019-10-24 21:00:00,28.9,0.6,16.0,0.0,,320.0,9.4,,1017.3,,1.0
2019-10-24 22:00:00,30.6,1.0,15.0,0.0,,330.0,11.2,,1016.8,,1.0
2019-10-24 23:00:00,31.7,-0.1,13.0,0.0,,330.0,5.4,,1016.6,,1.0
2019-10-25 00:00:00,31.7,-0.1,13.0,0.0,,330.0,5.4,,1016.4,,1.0
2019-10-25 01:00:00,30.0,0.5,15.0,,,220.0,0.0,,1016.5,,1.0
2019-10-25 02:00:00,25.0,0.5,20.0,,,220.0,5.4,,1016.8,,1.0
2019-10-25 03:00:00,23.3,1.6,24.0,,,26.0,0.0,,1017.2,,1.0
2019-10-25 04:00:00,18.3,3.4,37.0,,,240.0,9.4,,1017.5,,5.0
2019-10-25 05:00:00,17.8,4.0,40.0,,,240.0,5.4,,1018.1,,1.0
2019-10-25 06:00:00,17.8,3.3,38.0,,,117.0,0.0,,1018.6,,1.0
2019-10-25 07:00:00,16.1,2.8,41.0,,,93.0,0.0,,1018.7,,1.0
2019-10-25 08:00:00,13.3,2.2,47.0,,,100.0,7.6,,1018.9,,1.0
2019-10-25 09:00:00,13.3,4.4,55.0,0.0,,100.0,7.6,,1018.9,,1.0
2019-10-25 10:00:00,12.8,4.5,57.0,0.0,,130.0,7.6,,1018.8,,1.0
2019-10-25 11:00:00,12.2,4.9,61.0,0.0,,120.0,9.4,,1018.6,,1.0
2019-10-25 12:00:00,10.6,3.8,63.0,0.0,,154.0,0.0,,1018.7,,1.0
2019-10-25 13:00:00,8.3,3.3,71.0,0.0,,133.0,0.0,,1018.8,,1.0
2019-10-25 14:00:00,10.0,3.9,66.0,0.0,,357.0,0.0,,1019.2,,1.0
2019-10-25 15:00:00,10.6,4.3,65.0,0.0,,310.0,0.0,,1019.5,,1.0
2019-10-25 16:00:00,15.0,4.4,49.0,0.0,,311.0,0.0,,1019.9,,1.0
2019-10-25 17:00:00,18.3,3.4,37.0,0.0,,280.0,0.0,,1020.0,,1.0
2019-10-25 18:00:00,21.7,4.3,32.0,0.0,,280.0,7.6,,1019.8,,1.0
2019-10-25 19:00:00,24.4,3.1,25.0,0.0,,290.0,9.4,,1019.3,,1.0
2019-10-25 20:00:00,26.7,4.5,24.0,0.0,,230.0,5.4,,1018.3,,1.0
2019-10-25 21:00:00,27.8,5.4,24.0,0.0,,270.0,9.4,,1017.5,,1.0
2019-10-25 22:00:00,30.0,4.6,20.0,0.0,,290.0,9.4,,1016.7,,1.0
2019-10-25 23:00:00,30.0,3.1,18.0,0.0,,300.0,9.4,,1016.1,,1.0
2019-10-26 00:00:00,30.0,4.6,20.0,0.0,,340.0,9.4,,1015.7,,1.0
2019-10-26 01:00:00,24.4,5.2,29.0,0.0,,330.0,11.2,,1015.3,,1.0
2019-10-26 02:00:00,20.6,3.8,33.0,,,297.0,0.0,,1015.0,,1.0
2019-10-26 03:00:00,21.7,5.6,35.0,0.0,,286.0,0.0,,1014.9,,1.0
2019-10-26 04:00:00,19.4,6.8,44.0,0.0,,253.0,0.0,,1014.9,,1.0
2019-10-26 05:00:00,18.3,7.1,48.0,0.0,,90.0,0.0,,1014.8,,1.0
2019-10-26 06:00:00,16.1,5.7,50.0,0.0,,90.0,7.6,,1014.8,,1.0
