time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2020-09-24 11:00:00,17.0,4.0,42.0,,,90.0,11.2,,,,
2020-09-24 12:00:00,17.0,2.9,39.0,,,110.0,13.0,,,,
2020-09-24 13:00:00,18.0,1.9,34.0,,,120.0,9.4,,,,
2020-09-24 14:00:00,17.0,2.2,37.0,,,110.0,9.4,,,,
2020-09-24 15:00:00,20.0,1.9,30.0,,,0.0,0.0,,,,
2020-09-24 16:00:00,22.0,3.1,29.0,,,150.0,5.4,,,,
2020-09-24 17:00:00,23.0,3.0,27.0,,,180.0,7.6,,,,
2020-09-24 18:00:00,24.0,2.2,24.0,,,210.0,7.6,,,,
2020-09-24 19:00:00,25.0,3.0,24.0,,,220.0,11.2,,,,
2020-09-24 20:00:00,27.0,2.8,21.0,,,260.0,13.0,,,,
2020-09-24 21:00:00,27.0,6.9,28.0,,,250.0,9.4,,,,
2020-09-24 22:00:00,27.0,8.0,30.0,,,220.0,13.0,,,,
2020-09-24 23:00:00,27.0,8.0,30.0,,,220.0,14.8,,,,
2020-09-25 00:00:00,26.0,8.9,34.0,,,210.0,11.2,,,,
2020-09-25 01:00:00,24.0,9.2,39.0,,,220.0,5.4,,,,
2020-09-25 02:00:00,23.0,10.1,44.0,,,220.0,13.0,,,,
2020-09-25 03:00:00,20.0,13.0,64.0,,,220.0,11.2,,,,
2020-09-25 04:00:00,18.0,12.0,68.0,,,180.0,9.4,,,,
2020-09-25 05:00:00,17.0,9.9,63.0,,,170.0,11.2,,,,
2020-09-25 06:00:00,17.0,8.9,59.0,,,170.0,11.2,,,,
2020-09-25 07:00:00,16.0,9.0,63.0,,,130.0,7.6,,,,
2020-09-25 08:00:00,15.0,10.0,72.0,,,130.0,13.0,,,,
2020-09-25 09:00:00,15.0,10.0,72.0,,,110.0,9.4,,,,
2020-09-25 10:00:00,15.0,8.9,67.0,,,200.0,5.4,,,,
2020-09-25 11:00:00,16.0,9.0,63.0,,,140.0,5.4,,,,
2020-09-25 12:00:00,15.0,8.0,63.0,,,310.0,5.4,,,,
2020-09-25 13:00:00,15.0,7.1,59.0,,,60.0,11.2,,,,
2020-09-25 14:00:00,14.0,8.0,67.0,,,70.0,7.6,,,,
2020-09-25 15:00:00,17.0,7.1,52.0,,,0.0,0.0,,,,
2020-09-25 16:00:00,19.0,8.0,49.0,,,270.0,5.4,,,,
2020-09-25 17:00:00,19.0,8.0,49.0,,,0.0,0.0,,,,
2020-09-25 18:00:00,22.0,8.8,43.0,,,240.0,9.4,,,,
2020-09-25 19:00:00,24.0,9.2,39.0,,,240.0,9.4,,,,
2020-09-25 20:00:00,25.0,8.9,36.0,,,260.0,5.4,,,,
2020-09-25 21:00:00,25.0,8.9,36.0,,,260.0,9.4,,,,
2020-09-25 22:00:00,27.0,8.0,30.0,,,250.0,9.4,,,,
2020-09-25 23:00:00,26.0,8.0,32.0,,,280.0,11.2,,,,
2020-09-26 00:00:00,25.0,7.2,32.0,,,270.0,9.4,,,,
2020-09-26 01:00:00,24.0,7.2,34.0,,,280.0,9.4,,,,
2020-09-26 02:00:00,22.0,7.0,38.0,,,300.0,7.6,,,,
2020-09-26 03:00:00,21.0,6.9,40.0,,,340.0,5.4,,,,
2020-09-26 04:00:00,19.0,8.0,49.0,,,100.0,11.2,,,,
2020-09-26 05:00:00,20.0,8.0,46.0,,,30.0,7.6,,,,
2020-09-26 06:00:00,19.0,8.0,49.0,,,10.0,5.4,,,,
2020-09-26 07:00:00,19.0,8.0,49.0,,,20.0,7.6,,,,
2020-09-26 08:00:00,19.0,8.0,49.0,,,20.0,7.6,,,,
2020-09-26 09:00:00,18.0,7.1,49.0,,,50.0,9.4,,,,
2020-09-26 10:00:00,19.0,7.1,46.0,,,10.0,5.4,,,,
2020-09-26 11:00:00,18.0,4.9,42.0,,,20.0,7.6,,,,
2020-09-26 12:00:00,18.0,3.1,37.0,,,50.0,14.8,,,,
2020-09-26 13:00:00,18.0,1.9,34.0,,,70.0,11.2,,,,
2020-09-26 14:00:00,18.0,0.2,30.0,,,50.0,9.4,,,,
2020-09-26 15:00:00,20.0,0.9,28.0,,,10.0,5.4,,,,
2020-09-26 16:00:00,20.0,3.2,33.0,,,0.0,0.0,,,,
2020-09-26 17:00:00,23.0,4.0,29.0,,,300.0,5.4,,,,
2020-09-26 18:00:00,24.0,7.2,34.0,,,320.0,11.2,,,,
2020-09-26 19:00:00,25.0,7.2,32.0,,,290.0,16.6,,,,
2020-09-26 20:00:00,26.0,8.0,32.0,,,300.0,20.5,,,,
2020-09-26 21:00:00,26.0,8.0,32.0,,,280.0,14.8,,,,
2020-09-26 22:00:00,26.0,8.0,32.0,,,310.0,9.4,,,,
2020-09-26 23:00:00,27.0,8.0,30.0,,,270.0,11.2,,,,
2020-09-27 00:00:00,25.0,8.1,34.0,,,290.0,11.2,,,,
2020-09-27 01:00:00,24.0,7.2,34.0,,,300.0,9.4,,,,
2020-09-27 02:00:00,23.0,7.1,36.0,,,0.0,0.0,,,,
2020-09-27 03:00:00,22.0,7.0,38.0,,,0.0,0.0,,,,
2020-09-27 04:00:00,23.0,7.1,36.0,,,10.0,9.4,,,,
2020-09-27 05:00:00,22.0,8.1,41.0,,,10.0,5.4,,,,
2020-09-27 06:00:00,22.0,8.8,43.0,,,20.0,7.6,,,,
2020-09-27 07:00:00,22.0,8.1,41.0,,,40.0,11.2,,,,
2020-09-27 08:00:00,23.0,5.9,33.0,,,90.0,13.0,,,,
2020-09-27 09:00:00,24.0,4.9,29.0,,,70.0,18.4,,,,
2020-09-27 10:00:00,22.0,5.0,33.0,,,190.0,5.4,,,,
2020-09-27 11:00:00,23.0,5.0,31.0,,,130.0,5.4,,,,
2020-09-27 12:00:00,23.0,3.0,27.0,,,40.0,11.2,,,,
2020-09-27 13:00:00,22.0,4.1,31.0,,,60.0,11.2,,,,
2020-09-27 14:00:00,23.0,3.0,27.0,,,0.0,0.0,,,,
2020-09-27 15:00:00,22.0,8.1,41.0,,,,,,,,
2020-09-27 16:00:00,22.0,8.1,41.0,,,0.0,0.0,,,,
2020-09-27 17:00:00,23.0,9.0,41.0,,,220.0,5.4,,,,
2020-09-27 18:00:00,24.0,7.2,34.0,,,300.0,9.4,,,,
2020-09-27 19:00:00,25.0,8.1,34.0,,,310.0,7.6,,,,
2020-09-27 20:00:00,28.0,7.8,28.0,,,330.0,5.4,,,,
2020-09-27 21:00:00,29.0,8.1,27.0,,,330.0,5.4,,,,
2020-09-27 22:00:00,29.0,8.1,27.0,,,270.0,9.4,,,,
2020-09-27 23:00:00,29.0,9.2,29.0,,,260.0,7.6,,,,
2020-09-28 00:00:00,29.0,8.1,27.0,,,290.0,9.4,,,,
2020-09-28 01:00:00,28.0,8.8,30.0,,,0.0,0.0,,,,
