time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-24 23:00:00,23.4,8.3,38.0,0.0,,351.0,9.3,,1017.3,,
2019-10-25 00:00:00,26.7,12.4,41.0,0.0,,210.0,9.4,,1016.9,,
2019-10-25 01:00:00,20.1,5.7,39.0,,,213.0,5.5,,1018.1,,
2019-10-25 02:00:00,17.7,6.5,48.0,0.0,,175.0,5.5,,1018.3,,
2019-10-25 03:00:00,16.3,6.7,53.0,0.0,,165.0,3.7,,1018.8,,
2019-10-25 04:00:00,14.7,7.3,61.0,0.0,,138.0,5.5,,1019.2,,
2019-10-25 05:00:00,12.8,8.1,73.0,0.0,,128.0,7.4,,1019.1,,
2019-10-25 06:00:00,13.3,9.4,77.0,,,80.0,7.6,,1018.9,,
2019-10-25 07:00:00,10.0,7.2,83.0,,,117.0,3.7,,1020.1,,
2019-10-25 08:00:00,9.3,7.1,86.0,,,121.0,3.7,,1020.1,,
2019-10-25 09:00:00,9.1,6.0,81.0,0.0,,104.0,3.7,,1019.9,,
2019-10-25 10:00:00,8.6,6.0,84.0,0.0,,97.0,5.5,,1020.1,,
2019-10-25 11:00:00,8.2,6.0,86.0,0.0,,90.0,5.5,,1020.2,,
2019-10-25 12:00:00,11.7,4.9,63.0,0.0,,117.0,0.0,,1019.7,,
2019-10-25 13:00:00,8.3,5.1,80.0,0.0,,79.0,3.7,,1021.2,,
2019-10-25 14:00:00,8.6,5.3,80.0,0.0,,80.0,3.7,,1021.4,,
2019-10-25 15:00:00,10.6,6.7,77.0,0.0,,259.0,3.7,,1021.6,,
2019-10-25 16:00:00,12.7,7.4,70.0,0.0,,300.0,5.5,,1021.8,,
2019-10-25 17:00:00,14.8,8.1,64.0,0.0,,303.0,5.5,,1022.1,,
2019-10-25 18:00:00,17.2,8.3,56.0,0.0,,330.0,11.2,,1021.6,,
2019-10-25 19:00:00,17.7,8.3,54.0,0.0,,313.0,7.4,,1022.1,,
2019-10-25 20:00:00,18.3,8.3,52.0,0.0,,318.0,7.4,,1021.7,,
2019-10-25 21:00:00,18.5,8.7,53.0,0.0,,308.0,9.3,,1020.7,,
2019-10-25 22:00:00,18.4,8.6,53.0,0.0,,308.0,11.1,,1020.4,,
2019-10-25 23:00:00,18.3,8.8,54.0,0.0,,307.0,11.1,,1020.0,,
2019-10-26 00:00:00,15.0,10.6,75.0,0.0,,240.0,7.6,,1020.1,,
2019-10-26 01:00:00,16.8,10.0,64.0,0.0,,329.0,11.1,,1021.3,,
2019-10-26 02:00:00,15.5,9.4,67.0,0.0,,325.0,9.3,,1021.1,,
2019-10-26 03:00:00,14.4,9.6,73.0,0.0,,324.0,7.4,,1021.2,,
2019-10-26 04:00:00,13.4,9.3,76.0,0.0,,4.0,5.5,,1021.4,,
2019-10-26 05:00:00,12.5,8.2,75.0,0.0,,127.0,5.5,,1020.8,,
2019-10-26 06:00:00,11.7,11.1,96.0,,,150.0,5.4,,1021.3,,
2019-10-26 07:00:00,11.2,9.5,89.0,,,35.0,5.5,,1020.9,,
2019-10-26 08:00:00,11.0,9.3,89.0,,,82.0,5.5,,1020.3,,
2019-10-26 09:00:00,10.5,9.6,94.0,0.0,,105.0,5.5,,1020.0,,
2019-10-26 10:00:00,10.1,9.5,96.0,0.0,,101.0,5.5,,1019.5,,
2019-10-26 11:00:00,9.6,9.3,98.0,0.0,,99.0,5.5,,1018.9,,
2019-10-26 12:00:00,11.7,10.6,93.0,0.0,,35.0,0.0,,1018.6,,
2019-10-26 13:00:00,9.2,8.4,95.0,0.0,,14.0,5.5,,1019.1,,
2019-10-26 14:00:00,9.6,9.1,97.0,0.0,,358.0,7.4,,1019.0,,
2019-10-26 15:00:00,10.3,8.2,87.0,0.0,,337.0,9.3,,1018.8,,
2019-10-26 16:00:00,11.2,8.4,83.0,0.0,,331.0,7.4,,1018.1,,
2019-10-26 17:00:00,12.2,8.9,80.0,0.0,,325.0,7.4,,1017.4,,
2019-10-26 18:00:00,12.8,8.9,77.0,0.0,,338.0,0.0,,1017.6,,
2019-10-26 19:00:00,14.1,7.8,66.0,0.0,,339.0,14.8,,1017.6,,
2019-10-26 20:00:00,14.8,7.6,62.0,0.0,,341.0,18.5,,1016.9,,
2019-10-26 21:00:00,15.2,7.5,60.0,0.0,,345.0,22.2,,1015.5,,
2019-10-26 22:00:00,15.5,7.0,57.0,0.0,,346.0,25.9,,1014.7,,
2019-10-26 23:00:00,15.7,6.7,55.0,0.0,,347.0,29.6,,1013.9,,
2019-10-27 00:00:00,14.4,3.8,49.0,0.0,,350.0,24.1,,1015.3,,
2019-10-27 01:00:00,14.2,6.8,61.0,,,351.0,22.2,,1016.1,,
2019-10-27 02:00:00,12.8,6.6,66.0,,,353.0,20.4,,1015.5,,
2019-10-27 03:00:00,11.4,6.5,72.0,0.0,,358.0,16.7,,1015.6,,
2019-10-27 04:00:00,10.1,5.3,72.0,0.0,,12.0,13.0,,1015.3,,
2019-10-27 05:00:00,8.7,3.5,70.0,0.0,,48.0,9.3,,1014.1,,
2019-10-27 06:00:00,11.1,-0.7,44.0,0.0,,10.0,24.1,,1013.9,,
2019-10-27 07:00:00,6.8,4.3,84.0,,,99.0,7.4,,1015.1,,
2019-10-27 08:00:00,6.0,3.2,82.0,0.0,,108.0,7.4,,1014.8,,
2019-10-27 09:00:00,5.6,1.9,77.0,0.0,,22.0,7.4,,1015.5,,
2019-10-27 10:00:00,4.7,1.2,78.0,0.0,,6.0,7.4,,1015.8,,
2019-10-27 11:00:00,3.9,0.8,80.0,0.0,,357.0,9.3,,1016.1,,
2019-10-27 12:00:00,9.4,-4.6,37.0,0.0,,360.0,18.4,,1017.7,,
2019-10-27 13:00:00,4.7,-0.1,71.0,0.0,,46.0,9.3,,1017.7,,
2019-10-27 14:00:00,5.6,0.8,71.0,0.0,,29.0,9.3,,1018.3,,
2019-10-27 15:00:00,8.2,0.9,60.0,0.0,,355.0,9.3,,1018.6,,
2019-10-27 16:00:00,9.9,1.8,57.0,0.0,,345.0,11.1,,1019.3,,
2019-10-27 17:00:00,11.6,2.6,54.0,0.0,,339.0,13.0,,1020.0,,
2019-10-27 18:00:00,15.0,-2.9,29.0,0.0,,10.0,14.8,,1020.1,,
2019-10-27 19:00:00,14.4,2.0,43.0,0.0,,340.0,14.8,,1019.9,,
2019-10-27 20:00:00,15.2,2.4,42.0,0.0,,336.0,14.8,,1019.7,,
2019-10-27 21:00:00,15.7,3.5,44.0,0.0,,341.0,14.8,,1019.3,,
2019-10-27 22:00:00,16.0,3.7,44.0,0.0,,340.0,16.7,,1019.3,,
2019-10-27 23:00:00,16.3,3.7,43.0,0.0,,338.0,16.7,,1019.3,,
2019-10-28 00:00:00,16.1,-3.4,26.0,0.0,,350.0,20.5,,1019.1,,
2019-10-28 01:00:00,14.2,2.4,45.0,0.0,,334.0,11.1,,1019.2,,
2019-10-28 02:00:00,12.6,2.7,51.0,0.0,,339.0,9.3,,1019.2,,
2019-10-28 03:00:00,11.0,3.3,59.0,0.0,,13.0,7.4,,1019.3,,
2019-10-28 04:00:00,9.3,2.4,62.0,,,91.0,5.5,,1019.5,,
2019-10-28 05:00:00,7.4,2.3,70.0,0.0,,116.0,5.5,,1019.1,,
2019-10-28 06:00:00,7.2,1.1,65.0,0.0,,60.0,7.6,,1019.3,,
2019-10-28 07:00:00,5.4,2.2,80.0,,,109.0,5.5,,1019.3,,
2019-10-28 08:00:00,4.9,1.4,78.0,,,104.0,5.5,,1019.2,,
2019-10-28 09:00:00,4.3,1.0,79.0,0.0,,94.0,5.5,,1018.8,,
2019-10-28 10:00:00,3.7,0.7,81.0,0.0,,91.0,5.5,,1018.6,,
2019-10-28 11:00:00,3.2,0.6,83.0,0.0,,88.0,5.5,,1018.4,,
2019-10-28 12:00:00,6.1,-3.3,51.0,0.0,,90.0,5.4,,1017.9,,
2019-10-28 13:00:00,2.6,-0.2,82.0,0.0,,103.0,7.4,,1018.9,,
2019-10-28 14:00:00,2.3,0.7,89.0,0.0,,111.0,7.4,,1019.1,,
2019-10-28 15:00:00,4.2,1.1,80.0,0.0,,93.0,5.5,,1019.5,,
