time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-24 22:00:00,37.2,-6.4,6.0,0.0,,50.0,13.0,,1012.9,,
2019-10-24 23:00:00,36.7,-6.7,6.0,0.0,,100.0,9.4,,1012.6,,
2019-10-25 00:00:00,36.1,-9.5,5.0,0.0,,40.0,22.3,,1012.6,,
2019-10-25 01:00:00,33.9,-8.7,6.0,0.0,,50.0,22.3,,1013.0,,
2019-10-25 02:00:00,32.2,-9.9,6.0,,,50.0,20.5,,1013.4,,
2019-10-25 03:00:00,31.1,-10.7,6.0,0.0,,50.0,18.4,,1014.3,,
2019-10-25 04:00:00,30.0,-11.5,6.0,0.0,,40.0,13.0,,1014.4,,
2019-10-25 05:00:00,29.4,-12.0,6.0,0.0,,60.0,0.0,,1014.9,,
2019-10-25 06:00:00,27.2,-11.6,7.0,,,20.0,5.4,,1015.3,,
2019-10-25 07:00:00,25.6,-8.3,10.0,,,220.0,5.4,,1015.4,,
2019-10-25 08:00:00,25.6,-8.3,10.0,,,100.0,9.4,,1015.0,,
2019-10-25 09:00:00,23.9,-7.3,12.0,0.0,,70.0,0.0,,1014.5,,
2019-10-25 10:00:00,22.8,-7.1,13.0,0.0,,120.0,9.4,,1014.5,,
2019-10-25 11:00:00,22.2,-6.6,14.0,0.0,,70.0,0.0,,1014.3,,
2019-10-25 12:00:00,19.4,-4.2,20.0,0.0,,20.0,0.0,,1014.1,,
2019-10-25 13:00:00,21.1,-4.2,18.0,0.0,,10.0,0.0,,1014.6,,
2019-10-25 14:00:00,21.7,-4.4,17.0,0.0,,140.0,5.4,,1015.2,,
2019-10-25 15:00:00,24.4,-3.1,16.0,0.0,,110.0,13.0,,1015.3,,
2019-10-25 16:00:00,26.1,-0.9,17.0,0.0,,270.0,7.6,,1015.9,,
2019-10-25 17:00:00,28.9,-0.3,15.0,0.0,,230.0,5.4,,1016.2,,
2019-10-25 18:00:00,31.7,-0.1,13.0,0.0,,60.0,7.6,,1015.8,,
2019-10-25 19:00:00,32.8,-1.5,11.0,0.0,,220.0,9.4,,1015.1,,
2019-10-25 20:00:00,33.9,-3.4,9.0,0.0,,270.0,9.4,,1014.2,,
