time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-24 21:00:00,33.9,2.7,14.0,0.0,,260.0,14.8,,1013.8,,0.0
2019-10-24 22:00:00,34.4,-1.6,10.0,0.0,,260.0,18.4,,1013.5,,0.0
2019-10-24 23:00:00,33.3,0.0,12.0,0.0,,270.0,16.6,,1013.4,,0.0
2019-10-25 00:00:00,34.0,-3.3,9.0,0.0,,300.0,14.8,,1013.2,,0.0
2019-10-25 01:00:00,31.7,-3.7,10.0,,,210.0,7.6,,1013.4,,0.0
2019-10-25 02:00:00,30.0,0.5,15.0,,,290.0,7.6,,1013.8,,1.0
2019-10-25 03:00:00,31.1,-13.0,5.0,,,340.0,16.6,,1014.2,,1.0
2019-10-25 04:00:00,30.0,-11.5,6.0,,,150.0,5.4,,1014.5,,1.0
2019-10-25 05:00:00,30.0,-7.9,8.0,,,200.0,5.4,,1015.1,,1.0
2019-10-25 06:00:00,28.0,-6.5,10.0,,,230.0,5.4,,1015.3,,0.0
2019-10-25 07:00:00,26.1,-4.5,13.0,,,30.0,5.4,,1015.7,,0.0
2019-10-25 08:00:00,26.1,-7.9,10.0,,,260.0,7.6,,1015.3,,0.0
2019-10-25 09:00:00,24.4,-5.8,13.0,0.0,,260.0,5.4,,1015.1,,1.0
2019-10-25 10:00:00,22.2,-2.5,19.0,0.0,,66.0,0.0,,1014.6,,0.0
2019-10-25 11:00:00,21.7,-2.9,19.0,0.0,,60.0,0.0,,1014.6,,0.0
2019-10-25 12:00:00,19.0,-3.2,22.0,0.0,,60.0,5.4,,1014.7,,1.0
2019-10-25 13:00:00,21.7,-2.9,19.0,0.0,,280.0,9.4,,1015.0,,1.0
2019-10-25 14:00:00,21.1,-2.1,21.0,0.0,,10.0,0.0,,1015.5,,1.0
2019-10-25 15:00:00,22.2,-1.8,20.0,0.0,,10.0,5.4,,1015.9,,1.0
2019-10-25 16:00:00,27.2,-5.8,11.0,0.0,,24.0,0.0,,1016.3,,1.0
2019-10-25 17:00:00,29.4,-5.4,10.0,0.0,,250.0,5.4,,1016.6,,2.0
2019-10-25 18:00:00,32.2,-9.9,6.0,0.0,,250.0,7.6,,1016.2,,2.0
2019-10-25 19:00:00,33.9,-11.0,5.0,0.0,,260.0,9.4,,1015.6,,0.0
2019-10-25 20:00:00,34.4,-10.7,5.0,0.0,,250.0,13.0,,1014.8,,0.0
2019-10-25 21:00:00,33.3,-9.2,6.0,0.0,,270.0,16.6,,1013.9,,2.0
2019-10-25 22:00:00,31.7,-3.7,10.0,0.0,,250.0,16.6,,1013.5,,2.0
2019-10-25 23:00:00,30.0,-1.4,13.0,0.0,,260.0,18.4,,1013.3,,2.0
2019-10-26 00:00:00,28.9,3.0,19.0,0.0,,260.0,20.5,,1013.0,,2.0
2019-10-26 01:00:00,28.3,0.9,17.0,,,260.0,24.1,,1012.5,,1.0
2019-10-26 02:00:00,25.6,5.7,28.0,0.0,,250.0,22.3,,1012.6,,1.0
2019-10-26 03:00:00,23.9,9.8,41.0,0.0,,250.0,14.8,,1012.6,,1.0
2019-10-26 04:00:00,22.8,12.7,53.0,0.0,,204.0,0.0,,1012.6,,1.0
2019-10-26 05:00:00,22.8,11.2,48.0,0.0,,80.0,0.0,,1012.6,,1.0
2019-10-26 06:00:00,22.2,10.0,46.0,0.0,,80.0,11.2,,1012.7,,1.0
2019-10-26 07:00:00,23.3,6.1,33.0,0.0,,50.0,11.2,,1012.2,,1.0
