time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-07 04:00:00,17.8,4.0,40.0,0.0,,200.0,5.4,,1015.1,,
2019-10-07 05:00:00,15.6,4.3,47.0,0.0,,,0.0,,1015.1,,
2019-10-07 06:00:00,13.3,5.0,57.0,0.0,,,0.0,,1015.2,,
2019-10-07 07:00:00,11.7,5.6,66.0,0.0,,,0.0,,1015.3,,
2019-10-07 08:00:00,12.8,6.2,64.0,0.0,,260.0,5.4,,1015.1,,
2019-10-07 09:00:00,12.2,6.7,69.0,0.0,,,0.0,,1014.9,,
2019-10-07 10:00:00,10.0,5.6,74.0,0.0,,140.0,5.4,,1014.8,,
2019-10-07 11:00:00,11.1,6.0,71.0,0.0,,310.0,5.4,,1014.4,,
2019-10-07 12:00:00,11.7,5.6,66.0,0.0,,320.0,7.6,,1014.4,,
2019-10-07 13:00:00,10.0,5.6,74.0,0.0,,,0.0,,1014.6,,
2019-10-07 14:00:00,10.0,5.6,74.0,0.0,,,0.0,,1015.1,,
2019-10-07 15:00:00,9.4,5.0,74.0,0.0,,310.0,5.4,,1015.2,,
2019-10-07 16:00:00,15.6,6.1,53.0,0.0,,320.0,5.4,,1015.7,,
2019-10-07 17:00:00,18.9,5.7,42.0,0.0,,310.0,5.4,,1015.6,,
2019-10-07 18:00:00,23.3,5.7,32.0,0.0,,,0.0,,1015.2,,
2019-10-07 19:00:00,26.7,6.2,27.0,0.0,,200.0,5.4,,1014.6,,
2019-10-07 20:00:00,29.4,4.1,20.0,0.0,,,5.4,,1013.8,,
2019-10-07 21:00:00,30.0,3.1,18.0,0.0,,240.0,11.2,,1012.8,,
2019-10-07 22:00:00,31.7,2.8,16.0,0.0,,,7.6,,1011.9,,
2019-10-07 23:00:00,32.2,1.3,14.0,0.0,,,7.6,,1011.6,,
2019-10-08 00:00:00,30.6,3.6,18.0,0.0,,220.0,14.8,,1011.3,,
2019-10-08 01:00:00,28.3,2.5,19.0,0.0,,240.0,9.4,,1011.0,,
2019-10-08 02:00:00,24.4,3.7,26.0,0.0,,,0.0,,1011.3,,
2019-10-08 03:00:00,20.0,5.6,39.0,0.0,,170.0,7.6,,1011.6,,
2019-10-08 04:00:00,18.9,5.7,42.0,0.0,,140.0,5.4,,1012.0,,
2019-10-08 05:00:00,15.6,5.5,51.0,0.0,,260.0,5.4,,1012.0,,
2019-10-08 06:00:00,14.4,5.5,55.0,0.0,,,0.0,,1011.9,,
2019-10-08 07:00:00,12.2,6.0,66.0,0.0,,300.0,5.4,,1011.7,,
2019-10-08 08:00:00,11.7,6.6,71.0,0.0,,,0.0,,1011.7,,
2019-10-08 09:00:00,11.1,6.6,74.0,0.0,,,0.0,,1011.7,,
2019-10-08 10:00:00,9.4,5.6,77.0,0.0,,,0.0,,1011.5,,
2019-10-08 11:00:00,8.9,5.6,80.0,0.0,,,0.0,,1010.9,,
2019-10-08 12:00:00,9.4,6.7,83.0,0.0,,,0.0,,1010.8,,
2019-10-08 13:00:00,7.2,5.0,86.0,0.0,,,0.0,,1011.1,,
2019-10-08 14:00:00,7.2,5.7,90.0,0.0,,310.0,5.4,,1011.4,,
2019-10-08 15:00:00,7.2,5.7,90.0,0.0,,290.0,7.6,,1011.3,,
2019-10-08 16:00:00,12.8,6.6,66.0,0.0,,,0.0,,1011.7,,
2019-10-08 17:00:00,17.8,6.0,46.0,0.0,,,0.0,,1011.7,,
2019-10-08 18:00:00,21.7,5.6,35.0,0.0,,,0.0,,1011.6,,
2019-10-08 19:00:00,25.0,6.7,31.0,0.0,,180.0,9.4,,1011.1,,
2019-10-08 20:00:00,27.2,4.3,23.0,0.0,,150.0,5.4,,1010.4,,
2019-10-08 21:00:00,28.9,6.9,25.0,0.0,,200.0,14.8,,1009.8,,
2019-10-08 22:00:00,25.0,8.9,36.0,0.0,,180.0,13.0,,1009.4,,
2019-10-08 23:00:00,26.1,7.7,31.0,0.0,,170.0,14.8,,1009.3,,
2019-10-09 00:00:00,25.6,7.2,31.0,0.0,,140.0,11.2,,1009.0,,
2019-10-09 01:00:00,23.9,9.8,41.0,0.0,,170.0,5.4,,1008.8,,
2019-10-09 02:00:00,19.4,11.2,59.0,0.0,,180.0,5.4,,1008.8,,
2019-10-09 03:00:00,17.2,11.0,67.0,0.0,,160.0,5.4,,1009.2,,
2019-10-09 04:00:00,16.1,11.1,72.0,0.0,,,5.4,,1009.5,,
